"","S6914","S6916","S6939","S7049","S7064","S7080","S7081","S7084","S7085","S7087","S7090","S7091","S7092","S7095","S7109","S7111","S7112","S7113","S7116","S7124","S7125","S7129","S7132","S7140","S7144","S7148","S7151","S7153","S7154","S7155","S7158","S7159","S7164","S7168","S7169","S7170","S7171","S7173","S7174","S7178","S7185"
"S6914",1,0.999915112536231,0.999915112536231,0.999952838124886,0.999952838124886,0.999891491765863,0.999891491765863,0.99976007821307,0.999805590914475,0.999749601936469,0.999749601936469,0.999749601936469,0.999805590914475,0.999705868721451,0.999622730494643,0.999710438354865,0.999533144740305,0.999533144740305,0.999533144740305,0.999477141393295,0.999728976890952,0.999679162594346,0.999477141393295,0.999728976890952,0.999407914118479,0.999728976890952,0.999477141393295,0.999477141393295,0.999679162594346,0.999460399612207,0.999476775740079,0.999394678218015,0.999524821152057,0.999524821152057,0.999337811507414,0.99939750212657,0.999525726260763,0.999564061615691,0.999362025976909,0.999393502801036,0.999519150910517
"S6916",0.999915112536231,1,1,0.999844366225738,0.999844366225738,0.999799756615095,0.999799756615095,0.999716639406669,0.999801398538673,0.999663865740404,0.999663865740404,0.999663865740404,0.999801398538673,0.999717727064061,0.999602350279273,0.99961244728547,0.999494541717253,0.999494541717253,0.999494541717253,0.999418878332152,0.999679756621745,0.999649110842326,0.999418878332152,0.999679756621745,0.999306394272665,0.999679756621745,0.999418878332152,0.999418878332152,0.999649110842326,0.999454372623429,0.999416251126205,0.99929250714319,0.999428872751318,0.999428872751318,0.999236849996927,0.999316643433832,0.999423170231917,0.999527013586853,0.999267511157749,0.999359478176249,0.999392392674739
"S6939",0.999915112536231,1,1,0.999844366225738,0.999844366225738,0.999799756615095,0.999799756615095,0.999716639406669,0.999801398538673,0.999663865740404,0.999663865740404,0.999663865740404,0.999801398538673,0.999717727064061,0.999602350279273,0.99961244728547,0.999494541717253,0.999494541717253,0.999494541717253,0.999418878332152,0.999679756621745,0.999649110842326,0.999418878332152,0.999679756621745,0.999306394272665,0.999679756621745,0.999418878332152,0.999418878332152,0.999649110842326,0.999454372623429,0.999416251126205,0.99929250714319,0.999428872751318,0.999428872751318,0.999236849996927,0.999316643433832,0.999423170231917,0.999527013586853,0.999267511157749,0.999359478176249,0.999392392674739
"S7049",0.999952838124886,0.999844366225738,0.999844366225738,1,1,0.999850908139037,0.999850908139037,0.999834717053188,0.999831809992294,0.999797806183452,0.999797806183452,0.999797806183452,0.999831809992294,0.999740396656937,0.999656923799483,0.999775213456491,0.999624924189236,0.999624924189236,0.999624924189236,0.999618083035246,0.999801323175741,0.999765756482506,0.999618083035246,0.999801323175741,0.999521994689607,0.999801323175741,0.999618083035246,0.999618083035246,0.999765756482506,0.999577861828046,0.999634097338756,0.999521000544719,0.999625766520982,0.999625766520982,0.999475204016364,0.999587469322067,0.999676111487083,0.999684418363075,0.999515585268765,0.999530976213739,0.999640944888859
"S7064",0.999952838124886,0.999844366225738,0.999844366225738,1,1,0.999850908139037,0.999850908139037,0.999834717053188,0.999831809992294,0.999797806183452,0.999797806183452,0.999797806183452,0.999831809992294,0.999740396656937,0.999656923799483,0.999775213456491,0.999624924189236,0.999624924189236,0.999624924189236,0.999618083035246,0.999801323175741,0.999765756482506,0.999618083035246,0.999801323175741,0.999521994689607,0.999801323175741,0.999618083035246,0.999618083035246,0.999765756482506,0.999577861828046,0.999634097338756,0.999521000544719,0.999625766520982,0.999625766520982,0.999475204016364,0.999587469322067,0.999676111487083,0.999684418363075,0.999515585268765,0.999530976213739,0.999640944888859
"S7080",0.999891491765863,0.999799756615095,0.999799756615095,0.999850908139037,0.999850908139037,1,1,0.999778219713997,0.999821727280857,0.999888683165734,0.999888683165734,0.999888683165734,0.999821727280857,0.999840291003862,0.999760852989847,0.99974389138186,0.999674972468043,0.999674972468043,0.999674972468043,0.999621321675788,0.999797680535238,0.999679742396671,0.999621321675788,0.999797680535238,0.999545432043055,0.999797680535238,0.999621321675788,0.999621321675788,0.999679742396671,0.999557660381976,0.999668644907659,0.999588519918642,0.999655519652377,0.999655519652377,0.999547652751614,0.999522235856918,0.999661734459437,0.999601788494901,0.999564550137482,0.999586669048966,0.999661544631804
"S7081",0.999891491765863,0.999799756615095,0.999799756615095,0.999850908139037,0.999850908139037,1,1,0.999778219713997,0.999821727280857,0.999888683165734,0.999888683165734,0.999888683165734,0.999821727280857,0.999840291003862,0.999760852989847,0.99974389138186,0.999674972468043,0.999674972468043,0.999674972468043,0.999621321675788,0.999797680535238,0.999679742396671,0.999621321675788,0.999797680535238,0.999545432043055,0.999797680535238,0.999621321675788,0.999621321675788,0.999679742396671,0.999557660381976,0.999668644907659,0.999588519918642,0.999655519652377,0.999655519652377,0.999547652751614,0.999522235856918,0.999661734459437,0.999601788494901,0.999564550137482,0.999586669048966,0.999661544631804
"S7084",0.99976007821307,0.999716639406669,0.999716639406669,0.999834717053188,0.999834717053188,0.999778219713997,0.999778219713997,1,0.999954238521126,0.999899561573777,0.999899561573777,0.999899561573777,0.999954238521126,0.999927495719623,0.999828478000187,0.999907441045045,0.9998311367295,0.9998311367295,0.9998311367295,0.999802510978326,0.999945840398008,0.999922887385844,0.999802510978326,0.999945840398008,0.999800762699733,0.999945840398008,0.999802510978326,0.999802510978326,0.999922887385844,0.999864277358334,0.999841579038554,0.99977416520994,0.999783687240292,0.999783687240292,0.999805232849029,0.999847871172528,0.999869442632688,0.999904124902741,0.999806171827032,0.999770332130831,0.999872077909804
"S7085",0.999805590914475,0.999801398538673,0.999801398538673,0.999831809992294,0.999831809992294,0.999821727280857,0.999821727280857,0.999954238521126,1,0.999912003016082,0.999912003016082,0.999912003016082,1,0.999945074048188,0.999895595850635,0.999945034941299,0.999887787245468,0.999887787245468,0.999887787245468,0.999841093497243,0.999950956553513,0.999959908645189,0.999841093497243,0.999950956553513,0.999832976632345,0.999950956553513,0.999841093497243,0.999841093497243,0.999959908645189,0.999889208243061,0.999826027666332,0.99981693088199,0.999853815514161,0.999853815514161,0.999800263763851,0.999807640933325,0.999857875839281,0.999920034310466,0.999802169525927,0.999807428440805,0.999858736864646
"S7087",0.999749601936469,0.999663865740404,0.999663865740404,0.999797806183452,0.999797806183452,0.999888683165734,0.999888683165734,0.999899561573777,0.999912003016082,1,1,1,0.999912003016082,0.999931690107774,0.999919478015503,0.999888695108985,0.999875376153527,0.999875376153527,0.999875376153527,0.999888849497423,0.999946774457666,0.999837252320701,0.999888849497423,0.999946774457666,0.999850030990777,0.999946774457666,0.999888849497423,0.999888849497423,0.999837252320701,0.999839502640154,0.999888440272997,0.99984763671317,0.999872528160775,0.999872528160775,0.999844918167198,0.99979978755947,0.99986522028248,0.99982519204711,0.999843150401823,0.999783964768277,0.999883823643562
