"","S1559","S1581","S1587","S1598","S1619","S1674","S417","S469","S491","S517","S561","S591","S666","S678"
"S1559",1,0.999846390831666,0.999891108278712,0.999778966332181,0.999778966332181,0.999938051033099,0.99902989825527,0.999274359976004,0.999274359976004,0.999202625851179,0.999202625851179,0.999202625851179,0.999213259388059,0.99938453524913
"S1581",0.999846390831666,1,0.999980698409051,0.999968734878015,0.999968734878015,0.999709780249763,0.99879128846502,0.998998179805416,0.998998179805416,0.998974817113987,0.998974817113987,0.998974817113987,0.998941430877544,0.999166356882415
"S1587",0.999891108278712,0.999980698409051,1,0.999937980987321,0.999937980987321,0.999752037009795,0.998891949922394,0.99908274641662,0.99908274641662,0.999084280478861,0.999084280478861,0.999084280478861,0.999052396582836,0.999254255040963
"S1598",0.999778966332181,0.999968734878015,0.999937980987321,1,1,0.9996401885842,0.998583675043333,0.99882379540291,0.99882379540291,0.998768301304893,0.998768301304893,0.998768301304893,0.998728876086452,0.998974067570254
"S1619",0.999778966332181,0.999968734878015,0.999937980987321,1,1,0.9996401885842,0.998583675043333,0.99882379540291,0.99882379540291,0.998768301304893,0.998768301304893,0.998768301304893,0.998728876086452,0.998974067570254
"S1674",0.999938051033099,0.999709780249763,0.999752037009795,0.9996401885842,0.9996401885842,1,0.999053066002104,0.999327340167465,0.999327340167465,0.999219857877754,0.999219857877754,0.999219857877754,0.999205955378973,0.999412630430116
"S417",0.99902989825527,0.99879128846502,0.998891949922394,0.998583675043333,0.998583675043333,0.999053066002104,1,0.999954306154521,0.999954306154521,0.999980910497126,0.999980910497126,0.999980910497126,0.999959745552646,0.999905264588506
"S469",0.999274359976004,0.998998179805416,0.99908274641662,0.99882379540291,0.99882379540291,0.999327340167465,0.999954306154521,1,1,0.999959473440209,0.999959473440209,0.999959473440209,0.99996602947246,0.999945501505339
"S491",0.999274359976004,0.998998179805416,0.99908274641662,0.99882379540291,0.99882379540291,0.999327340167465,0.999954306154521,1,1,0.999959473440209,0.999959473440209,0.999959473440209,0.99996602947246,0.999945501505339
"S517",0.999202625851179,0.998974817113987,0.999084280478861,0.998768301304893,0.998768301304893,0.999219857877754,0.999980910497126,0.999959473440209,0.999959473440209,1,1,1,0.999978096527409,0.999949109921231
"S561",0.999202625851179,0.998974817113987,0.999084280478861,0.998768301304893,0.998768301304893,0.999219857877754,0.999980910497126,0.999959473440209,0.999959473440209,1,1,1,0.999978096527409,0.999949109921231
"S591",0.999202625851179,0.998974817113987,0.999084280478861,0.998768301304893,0.998768301304893,0.999219857877754,0.999980910497126,0.999959473440209,0.999959473440209,1,1,1,0.999978096527409,0.999949109921231
"S666",0.999213259388059,0.998941430877544,0.999052396582836,0.998728876086452,0.998728876086452,0.999205955378973,0.999959745552646,0.99996602947246,0.99996602947246,0.999978096527409,0.999978096527409,0.999978096527409,1,0.999944620477038
"S678",0.99938453524913,0.999166356882415,0.999254255040963,0.998974067570254,0.998974067570254,0.999412630430116,0.999905264588506,0.999945501505339,0.999945501505339,0.999949109921231,0.999949109921231,0.999949109921231,0.999944620477038,1
