"","S6720","S6728","S6742","S7053","S7179","S7181","S7186","S7203","S7313","S7315","S7327","S7331"
"S6720",1,0.644297563880489,0.75633087799951,NA,0.597153760179327,-0.473036285347352,-0.38206858012385,-0.542015450305437,-0.413386733029659,-0.0409034709089336,-0.354855697722925,NA
"S6728",0.644297563880489,1,0.300335264704096,NA,0.307247812003377,-0.00523321359677427,0.0918418662924613,-0.447458421983167,-0.274107899841907,-0.161389331986327,0.224054204859993,NA
"S6742",0.75633087799951,0.300335264704096,1,NA,0.491313670475425,-0.383149903668736,-0.651163897243421,-0.267749895244574,-0.794180772686372,-0.108897695512511,-0.547680057609318,NA
"S7053",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S7179",0.597153760179327,0.307247812003377,0.491313670475425,NA,1,0.127745903847906,0.0824458013367133,-0.493044954949251,-0.230204252851232,-0.364238200093454,0.00232625385919442,NA
"S7181",-0.473036285347352,-0.00523321359677427,-0.383149903668736,NA,0.127745903847906,1,0.766341594405109,-0.0827773532531861,0.197748720223867,-0.283932406294216,0.504752024584599,NA
"S7186",-0.38206858012385,0.0918418662924613,-0.651163897243421,NA,0.0824458013367133,0.766341594405109,1,-0.225668217854085,0.53762048309472,-0.333575428227672,0.66336530164062,NA
"S7203",-0.542015450305437,-0.447458421983167,-0.267749895244574,NA,-0.493044954949251,-0.0827773532531861,-0.225668217854085,1,0.148028288534114,-0.140224103943538,0.178246034242182,NA
"S7313",-0.413386733029659,-0.274107899841907,-0.794180772686372,NA,-0.230204252851232,0.197748720223867,0.53762048309472,0.148028288534114,1,0.289786676706497,0.168319560618286,NA
"S7315",-0.0409034709089336,-0.161389331986327,-0.108897695512511,NA,-0.364238200093454,-0.283932406294216,-0.333575428227672,-0.140224103943538,0.289786676706497,1,-0.609820667305897,NA
"S7327",-0.354855697722925,0.224054204859993,-0.547680057609318,NA,0.00232625385919442,0.504752024584599,0.66336530164062,0.178246034242182,0.168319560618286,-0.609820667305897,1,NA
"S7331",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
