"","S1468","S1481","S1548","S1578","S3412","S3440","S5166","S5193","S5212","S5448","S5449","S5471","S5472","S5490","S5546"
"S1468",1,0.9231093033181,0.444645527718876,0.385024222435372,0.31960624987821,-0.0012457355217744,0.527982769243364,0.845733860423241,-0.473680673823188,0.569658085662945,0.981683608010765,0.872398338030565,0.627903102444181,0.229042193053779,0.906837019401227
"S1481",0.9231093033181,1,0.338040520185104,0.44210253017712,0.378801832953935,-0.00803983977743306,0.507616628475711,0.795445665445782,-0.415998286747872,0.717025981595408,0.971372607589138,0.853767504186485,0.671383689573381,0.282342707951276,0.885869138407392
"S1548",0.444645527718876,0.338040520185104,1,0.82010092897963,-0.213398234889165,-0.369281501312916,-0.0666024817905335,0.389486933411117,-0.354920591039679,0.352188970562335,0.390853548989255,0.551834327020596,0.652016757039339,0.22345313561132,0.50730736522764
"S1578",0.385024222435372,0.44210253017712,0.82010092897963,1,0.121359765701593,-0.251148553018538,0.0645103808122309,0.438175851900968,-0.235230485469975,0.705882339122814,0.387691001475908,0.457775993015051,0.855555907186082,0.345417787455634,0.423481192600944
"S3412",0.31960624987821,0.378801832953935,-0.213398234889165,0.121359765701593,1,0.747235710472182,0.814524849304217,0.678774162065513,0.414364087390365,0.534191954184377,0.32201124466259,0.266452774541545,0.510976733682356,0.362327880546586,0.27938793379158
"S3440",-0.0012457355217744,-0.00803983977743306,-0.369281501312916,-0.251148553018538,0.747235710472182,1,0.617794200372584,0.422995746994146,0.65970754740119,0.179551418880016,0.000384128962443553,0.0883898303545957,0.178832624285992,0.417613897508302,0.0469154963559064
"S5166",0.527982769243364,0.507616628475711,-0.0666024817905335,0.0645103808122309,0.814524849304217,0.617794200372584,1,0.786767333363838,0.368781792645022,0.378875020929684,0.485442640966422,0.509066908260746,0.529778496803367,0.174590439400994,0.549150727349535
"S5193",0.845733860423241,0.795445665445782,0.389486933411117,0.438175851900968,0.678774162065513,0.422995746994146,0.786767333363838,1,0.00908281865018585,0.644891491907231,0.818466816549224,0.860884484762359,0.803076597021542,0.363137349060459,0.861192659755444
"S5212",-0.473680673823188,-0.415998286747872,-0.354920591039679,-0.235230485469975,0.414364087390365,0.65970754740119,0.368781792645022,0.00908281865018585,1,-0.244424888112451,-0.485825980845553,-0.175319748168937,-0.029250234365986,-0.164722110803847,-0.215372888497232
"S5448",0.569658085662945,0.717025981595408,0.352188970562335,0.705882339122814,0.534191954184377,0.179551418880016,0.378875020929684,0.644891491907231,-0.244424888112451,1,0.636503438881484,0.523025870546523,0.839836281187783,0.687114981565506,0.509589584483673
"S5449",0.981683608010765,0.971372607589138,0.390853548989255,0.387691001475908,0.32201124466259,0.000384128962443553,0.485442640966422,0.818466816549224,-0.485825980845553,0.636503438881484,1,0.873891498561601,0.626293993066641,0.278592743433775,0.903279846661066
"S5471",0.872398338030565,0.853767504186485,0.551834327020596,0.457775993015051,0.266452774541545,0.0883898303545957,0.509066908260746,0.860884484762359,-0.175319748168937,0.523025870546523,0.873891498561601,1,0.704188912042132,0.192797143669969,0.990905058943758
"S5472",0.627903102444181,0.671383689573381,0.652016757039339,0.855555907186082,0.510976733682356,0.178832624285992,0.529778496803367,0.803076597021542,-0.029250234365986,0.839836281187783,0.626293993066641,0.704188912042132,1,0.477373286373226,0.678694886627568
"S5490",0.229042193053779,0.282342707951276,0.22345313561132,0.345417787455634,0.362327880546586,0.417613897508302,0.174590439400994,0.363137349060459,-0.164722110803847,0.687114981565506,0.278592743433775,0.192797143669969,0.477373286373226,1,0.134744593472902
"S5546",0.906837019401227,0.885869138407392,0.50730736522764,0.423481192600944,0.27938793379158,0.0469154963559064,0.549150727349535,0.861192659755444,-0.215372888497232,0.509589584483673,0.903279846661066,0.990905058943758,0.678694886627568,0.134744593472902,1
