"","S1026","S1029","S1031","S1038","S1054","S1065","S1528","S1531","S1554","S2123","S2310","S2329","S2355","S2364","S2366","S2376","S2380","S998"
"S1026",1,0.999762012381748,0.999762012381748,1,0.999752121417311,0.999823266421628,0.997577353341799,0.997577353341799,0.99731845571301,0.995034754004308,0.996684710068793,0.995992072816984,0.996059909011893,0.994945067369581,0.996059909011893,0.994945067369581,0.994945067369581,0.999926614455341
"S1029",0.999762012381748,1,1,0.999762012381748,0.999884656402158,0.999587892483565,0.996900041641743,0.996900041641743,0.996675005114852,0.994152874903313,0.99585711295566,0.995183181701576,0.995257307605631,0.994054734750696,0.995257307605631,0.994054734750696,0.994054734750696,0.999762025286046
"S1031",0.999762012381748,1,1,0.999762012381748,0.999884656402158,0.999587892483565,0.996900041641743,0.996900041641743,0.996675005114852,0.994152874903313,0.99585711295566,0.995183181701576,0.995257307605631,0.994054734750696,0.995257307605631,0.994054734750696,0.994054734750696,0.999762025286046
"S1038",1,0.999762012381748,0.999762012381748,1,0.999752121417311,0.999823266421628,0.997577353341799,0.997577353341799,0.99731845571301,0.995034754004308,0.996684710068793,0.995992072816984,0.996059909011893,0.994945067369581,0.996059909011893,0.994945067369581,0.994945067369581,0.999926614455341
"S1054",0.999752121417311,0.999884656402158,0.999884656402158,0.999752121417311,1,0.99952124916412,0.997031412993417,0.997031412993417,0.996691571091581,0.994101248468929,0.995849275954583,0.995217429912122,0.995230735243475,0.993987120024772,0.995230735243475,0.993987120024772,0.993987120024772,0.999832072691172
"S1065",0.999823266421628,0.999587892483565,0.999587892483565,0.999823266421628,0.99952124916412,1,0.997932422830869,0.997932422830869,0.997815705752417,0.99531487603455,0.996687077315853,0.995889784338601,0.99607424215069,0.995061657979283,0.99607424215069,0.995061657979283,0.995061657979283,0.99981897605859
"S1528",0.997577353341799,0.996900041641743,0.996900041641743,0.997577353341799,0.997031412993417,0.997932422830869,1,1,0.999941863777867,0.999008811956637,0.998792476980198,0.998602729651444,0.998718668464424,0.998539101876869,0.998718668464424,0.998539101876869,0.998539101876869,0.997403399308371
"S1531",0.997577353341799,0.996900041641743,0.996900041641743,0.997577353341799,0.997031412993417,0.997932422830869,1,1,0.999941863777867,0.999008811956637,0.998792476980198,0.998602729651444,0.998718668464424,0.998539101876869,0.998718668464424,0.998539101876869,0.998539101876869,0.997403399308371
"S1554",0.99731845571301,0.996675005114852,0.996675005114852,0.99731845571301,0.996691571091581,0.997815705752417,0.999941863777867,0.999941863777867,1,0.99906302873795,0.998741722696019,0.998502625046061,0.998702122650242,0.99856897997199,0.998702122650242,0.99856897997199,0.99856897997199,0.997148675187339
"S2123",0.995034754004308,0.994152874903313,0.994152874903313,0.995034754004308,0.994101248468929,0.99531487603455,0.999008811956637,0.999008811956637,0.99906302873795,1,0.999482281525857,0.999582154638575,0.999632259768908,0.999857904062176,0.999632259768908,0.999857904062176,0.999857904062176,0.994523395772717
"S2310",0.996684710068793,0.99585711295566,0.99585711295566,0.996684710068793,0.995849275954583,0.996687077315853,0.998792476980198,0.998792476980198,0.998741722696019,0.999482281525857,1,0.999895703309295,0.999871227249407,0.999725697179715,0.999871227249407,0.999725697179715,0.999725697179715,0.996248065165073
"S2329",0.995992072816984,0.995183181701576,0.995183181701576,0.995992072816984,0.995217429912122,0.995889784338601,0.998602729651444,0.998602729651444,0.998502625046061,0.999582154638575,0.999895703309295,1,0.999942850300917,0.999830711075344,0.999942850300917,0.999830711075344,0.999830711075344,0.99551371153417
"S2355",0.996059909011893,0.995257307605631,0.995257307605631,0.996059909011893,0.995230735243475,0.99607424215069,0.998718668464424,0.998718668464424,0.998702122650242,0.999632259768908,0.999871227249407,0.999942850300917,1,0.999819389261458,1,0.999819389261458,0.999819389261458,0.995619764091589
"S2364",0.994945067369581,0.994054734750696,0.994054734750696,0.994945067369581,0.993987120024772,0.995061657979283,0.998539101876869,0.998539101876869,0.99856897997199,0.999857904062176,0.999725697179715,0.999830711075344,0.999819389261458,1,0.999819389261458,1,1,0.994399711700328
"S2366",0.996059909011893,0.995257307605631,0.995257307605631,0.996059909011893,0.995230735243475,0.99607424215069,0.998718668464424,0.998718668464424,0.998702122650242,0.999632259768908,0.999871227249407,0.999942850300917,1,0.999819389261458,1,0.999819389261458,0.999819389261458,0.995619764091589
"S2376",0.994945067369581,0.994054734750696,0.994054734750696,0.994945067369581,0.993987120024772,0.995061657979283,0.998539101876869,0.998539101876869,0.99856897997199,0.999857904062176,0.999725697179715,0.999830711075344,0.999819389261458,1,0.999819389261458,1,1,0.994399711700328
"S2380",0.994945067369581,0.994054734750696,0.994054734750696,0.994945067369581,0.993987120024772,0.995061657979283,0.998539101876869,0.998539101876869,0.99856897997199,0.999857904062176,0.999725697179715,0.999830711075344,0.999819389261458,1,0.999819389261458,1,1,0.994399711700328
"S998",0.999926614455341,0.999762025286046,0.999762025286046,0.999926614455341,0.999832072691172,0.99981897605859,0.997403399308371,0.997403399308371,0.997148675187339,0.994523395772717,0.996248065165073,0.99551371153417,0.995619764091589,0.994399711700328,0.995619764091589,0.994399711700328,0.994399711700328,1
