"","S1283","S1362","S374","S439","S553","S560","S592","S609","S660","S969"
"S1283",1,-0.300294859681438,-0.700780640771644,-0.110309386537971,-0.0584147424192523,0.0813423953683508,-0.0498507390966485,0.260008313612983,0.0176333998187559,0.370559292435138
"S1362",-0.300294859681438,1,0.466487703294789,-0.277537605470526,0.665179986061806,-0.222638738043224,0.755092011659532,-0.82963773221016,-0.481338450339449,0.00635115050615629
"S374",-0.700780640771644,0.466487703294789,1,0.0444101691668183,0.475193808563399,0.0482049394367935,0.281899042339514,-0.636186813674125,0.31077300888647,-0.136740123394353
"S439",-0.110309386537971,-0.277537605470526,0.0444101691668183,1,-0.00981938160828881,0.361510073295601,-0.0447649183682219,0.346431959553768,-0.0888253654094429,-0.384626652205894
"S553",-0.0584147424192523,0.665179986061806,0.475193808563399,-0.00981938160828881,1,0.244274141911446,0.417512983937417,-0.750683589335162,-0.276685300113858,-0.0212032394187063
"S560",0.0813423953683508,-0.222638738043224,0.0482049394367935,0.361510073295601,0.244274141911446,1,-0.00342722089240809,0.0140925238290709,0.172697145827574,-0.00567231658964638
"S592",-0.0498507390966485,0.755092011659532,0.281899042339514,-0.0447649183682219,0.417512983937417,-0.00342722089240809,1,-0.668242030378468,-0.281930649952833,0.0282697249241725
"S609",0.260008313612983,-0.82963773221016,-0.636186813674125,0.346431959553768,-0.750683589335162,0.0140925238290709,-0.668242030378468,1,0.188135022013432,0.110184050298978
"S660",0.0176333998187559,-0.481338450339449,0.31077300888647,-0.0888253654094429,-0.276685300113858,0.172697145827574,-0.281930649952833,0.188135022013432,1,0.408871106771339
"S969",0.370559292435138,0.00635115050615629,-0.136740123394353,-0.384626652205894,-0.0212032394187063,-0.00567231658964638,0.0282697249241725,0.110184050298978,0.408871106771339,1
