"","S7831","S7850","S7878","S7935","S7987","S8057","S8064","S8079","S8081","S8084","S8143","S8146","S8174","S8177","S8180","S8261","S8272","S8289","S8321","S8329","S8335","S8337","S8338","S8345","S8346","S8347","S8354","S8356","S8370","S8383"
"S7831",1,0.0792447952004774,0.138646065706229,0.275891490896924,-0.145682147743548,0.073737773804405,-0.151065368301763,-0.113624770113928,-0.164178674708841,0.0474492425608848,-0.158959983347614,-0.252662936440874,0.142376471014823,-0.223285282226446,-0.0861130395121526,0.30512213495519,0.17873728821533,-0.320561614088639,0.0251881928256579,-0.0372605074705937,0.0723484380592189,0.142576143896341,-0.0231287240074671,0.159481869292856,0.0994493082304734,-0.00395738030748284,0.312624409039136,-0.756984225835281,0.480875295839749,-0.232257916354812
"S7850",0.0792447952004774,1,0.79801450945137,0.9023756901685,0.109535177944774,0.571988916103407,0.514798970815089,0.357993741686557,0.626065593139381,0.519238235403852,0.310205916652901,0.42047865556323,0.597091195279315,0.442165186882985,0.463139012312785,-0.0432242213376938,-0.182074742696065,0.165815468234553,0.0602215076161434,0.0212695370517406,0.179126368375169,-0.0150618007011171,0.502610993592561,0.0634845534244443,0.0548186468057211,-0.86799998551256,0.489576814161629,-0.437418242470019,0.345754017526881,-0.42155335441882
"S7878",0.138646065706229,0.79801450945137,1,0.767513495246511,-0.395978520519617,0.489903082297203,0.246609809400964,0.469936945880857,0.673041749221688,0.536090741452275,0.254323847002997,0.389921612628801,0.36084727559205,0.262441591385197,0.440013883504131,-0.160180907429674,0.0299038534436255,0.377753145828636,0.247857885154826,0.18396356064005,-0.104208963203522,-0.160786996735458,0.285254893327863,0.316647305022907,0.176346695622833,-0.732475678706561,0.487617241882218,-0.344158600810823,0.0500369269430656,-0.472421816325858
"S7935",0.275891490896924,0.9023756901685,0.767513495246511,1,0.0431570345226358,0.534762799474686,0.401768747301646,0.234177742515388,0.514192380154453,0.495233928105515,0.359736032674442,0.383933284965048,0.537948349721593,0.454840722615096,0.442865405653569,0.0253531775555552,0.0817529706232944,0.0918709811383078,0.0675722812320057,0.0660564077528663,0.180965107246743,0.0522575622030767,0.442219100103169,0.0100073416823179,0.314581695197745,-0.891852433640027,0.52410961081949,-0.560851839201063,0.529043420561617,-0.419619844305439
"S7987",-0.145682147743548,0.109535177944774,-0.395978520519617,0.0431570345226358,1,0.0865516941135823,0.334576030397092,0.134838352152191,-0.136818864917022,0.103589688040449,0.228548107504578,0.210928531980876,0.404806893799366,0.341421714665681,0.219819510257895,0.291168771239947,0.0349473736966256,0.0780567555844891,0.284195473144123,0.336536094194863,0.830885703953405,0.710092200408312,0.0782220553446646,-0.509213222633895,-0.335033522408475,-0.103478528749056,-0.0765776168057013,-0.143878441070628,0.295510084956586,0.12580589063483
"S8057",0.073737773804405,0.571988916103407,0.489903082297203,0.534762799474686,0.0865516941135823,1,0.0318026355450711,0.522481211886555,-0.0399895503739802,-0.0510278967401076,-0.0542629279726694,0.111827798640153,0.0552603953968281,0.571191228040813,0.0199054481872914,0.075941875657981,-0.00616209501974329,0.0970056009195006,0.174655580337745,0.187262200269247,0.199610874455431,0.180920887690923,-0.20794419654103,-0.255835588132191,-0.0750341852390934,-0.562635974038618,-0.111791968542778,0.00991730735489196,-0.0863422666180008,0.0738522519419698
"S8064",-0.151065368301763,0.514798970815089,0.246609809400964,0.401768747301646,0.334576030397092,0.0318026355450711,1,0.459622727149638,0.647578464465951,0.00256768080772324,0.0430342585544944,0.146891370997787,0.334784468240241,0.13631011320568,0.0857454851796966,-0.169793811345407,-0.164509688293595,0.378097587500745,0.0146278500948596,0.0386275617401584,0.3990080061455,0.276704456151757,0.772918873841126,-0.388796555143332,-0.016310638554659,-0.159131005209109,0.0132502955124516,-0.162203810097745,0.196657318358013,0.124264870015655
"S8079",-0.113624770113928,0.357993741686557,0.469936945880857,0.234177742515388,0.134838352152191,0.522481211886555,0.459622727149638,1,0.413168181257412,0.0177108245640719,-0.111365766208059,0.13534196293658,0.11626149505488,0.33164758084383,0.0733906134031181,-0.187656546113627,0.115711123999487,0.820191079105103,0.668915069690759,0.662228509255929,0.468220867228106,0.545719148995298,0.0440812348150746,-0.316083999226151,-0.31992092244452,-0.158162352775339,-0.131272092965663,0.0152994316277113,-0.370354375434878,0.101890856788884
"S8081",-0.164178674708841,0.626065593139381,0.673041749221688,0.514192380154453,-0.136818864917022,-0.0399895503739802,0.647578464465951,0.413168181257412,1,0.454945091182773,0.112017379319814,0.171213400784785,0.562796703262662,0.261852960015386,0.269265707077198,-0.469563585590296,-0.125480385508648,0.566225963595497,0.156723764276429,0.112786382767531,-0.0248774190933559,-0.0933040993413042,0.778026089109523,0.287651890919877,0.0719850784861937,-0.433412983222692,0.586806089305591,-0.241094779784501,0.170714348157968,-0.516914649135439
"S8084",0.0474492425608848,0.519238235403852,0.536090741452275,0.495233928105515,0.103589688040449,-0.0510278967401076,0.00256768080772324,0.0177108245640719,0.454945091182773,1,0.695857567489085,0.691820456601984,0.637352449581743,0.0957979179906557,0.876760787986573,0.108356211592308,0.109030723896975,0.249172660141035,0.417402663062058,0.344798435343662,0.190258105134256,0.0419278087936022,0.146560421024601,0.426980348633699,-0.0106423105336544,-0.671656545160888,0.730419240788177,-0.555422532115297,0.284514992297812,-0.730237562852444
