"","S791","S804","S809","S831","S850","S864","S869","S891","S893","S911","S928"
"S791",1,0.999756165281394,1,0.999858410303074,0.999792955554533,0.999792955554533,0.999792955554533,0.999792955554533,0.999792955554533,0.999792955554533,0.99985453275775
"S804",0.999756165281394,1,0.999756165281394,0.999771991722546,0.999732427234835,0.999732427234835,0.999732427234835,0.999732427234835,0.999732427234835,0.999732427234835,0.999512508083657
"S809",1,0.999756165281394,1,0.999858410303074,0.999792955554533,0.999792955554533,0.999792955554533,0.999792955554533,0.999792955554533,0.999792955554533,0.99985453275775
"S831",0.999858410303074,0.999771991722546,0.999858410303074,1,0.999808284721231,0.999808284721231,0.999808284721231,0.999808284721231,0.999808284721231,0.999808284721231,0.999777715950501
"S850",0.999792955554533,0.999732427234835,0.999792955554533,0.999808284721231,1,1,1,1,1,1,0.999757077171211
"S864",0.999792955554533,0.999732427234835,0.999792955554533,0.999808284721231,1,1,1,1,1,1,0.999757077171211
"S869",0.999792955554533,0.999732427234835,0.999792955554533,0.999808284721231,1,1,1,1,1,1,0.999757077171211
"S891",0.999792955554533,0.999732427234835,0.999792955554533,0.999808284721231,1,1,1,1,1,1,0.999757077171211
"S893",0.999792955554533,0.999732427234835,0.999792955554533,0.999808284721231,1,1,1,1,1,1,0.999757077171211
"S911",0.999792955554533,0.999732427234835,0.999792955554533,0.999808284721231,1,1,1,1,1,1,0.999757077171211
"S928",0.99985453275775,0.999512508083657,0.99985453275775,0.999777715950501,0.999757077171211,0.999757077171211,0.999757077171211,0.999757077171211,0.999757077171211,0.999757077171211,1
