"","S1133","S1157","S1159","S2247","S2252","S2257","S2290","S3715","S3723","S4684","S4690","S4692","S4693","S4707","S4723","S5017","S5513","S810","S811","S813","S819","S892","S894","S903"
"S1133",1,0.996524228883561,0.99539243278273,0.998897260767854,0.984508251021591,0.989997875149811,0.992349587236507,0.943416407893981,0.949275142668049,0.988976135372681,0.997400912218974,0.995365213843248,0.998663831915269,0.994788844597162,0.989916076281388,0.983248815771193,0.921209421220656,0.969789199090363,0.965514230974638,0.959297863516142,0.956119964439607,0.898270092242281,0.904031532704474,0.903576432834539
"S1157",0.996524228883561,1,0.99981673807952,0.994009413123247,0.976720988563365,0.989202324936017,0.989648118632358,0.927525949866747,0.93402596190732,0.990000685898821,0.998948499942498,0.994832030657003,0.998090172954272,0.995359658753043,0.989257889776496,0.981188162759737,0.90130751615466,0.956532347818411,0.951252422856076,0.944418348528411,0.939785088364022,0.875022334070005,0.881504517222688,0.882610982871712
"S1159",0.99539243278273,0.99981673807952,1,0.992924662930764,0.975551518763603,0.988812968745257,0.989069954431031,0.925675997814907,0.931848235579982,0.990277318640925,0.99867141481916,0.994678045332748,0.9976115211316,0.995337218903854,0.988982010870632,0.980932291173267,0.898232681357765,0.954195119365615,0.948650347738696,0.941833798157814,0.937036919612909,0.871659291552826,0.878089861455615,0.879521790304544
"S2247",0.998897260767854,0.994009413123247,0.992924662930764,1,0.990875489244259,0.99357109860124,0.995819537116127,0.95411236810782,0.959631351463495,0.991944474502322,0.996183670913518,0.996712984179711,0.998352637328367,0.996041450366994,0.993473026751624,0.988362517859147,0.930801990338071,0.977845328096332,0.973412477099308,0.967642719677786,0.964548735160323,0.908219130307635,0.914400696429791,0.913541514214996
"S2252",0.984508251021591,0.976720988563365,0.975551518763603,0.990875489244259,1,0.995527208146713,0.996440995215247,0.981434411364545,0.984071547253824,0.992294844009139,0.982231268189276,0.990854888416106,0.986291497556349,0.989929261997327,0.995249776817153,0.996491916896411,0.950226869075873,0.991669200333763,0.984966051083109,0.980614698865611,0.97802747507016,0.931281348220871,0.937870000794145,0.93490492510508
"S2257",0.989997875149811,0.989202324936017,0.988812968745257,0.99357109860124,0.995527208146713,1,0.999486312554977,0.964332740866226,0.96760085855773,0.999068731188465,0.992743355228375,0.997541395094314,0.994013809889518,0.997472487238413,0.999885526301721,0.998561707843105,0.927482344585967,0.979269714995219,0.971358832742008,0.965711119724003,0.961609173441848,0.904331157162076,0.911711862416761,0.909807342978611
"S2290",0.992349587236507,0.989648118632358,0.989069954431031,0.995819537116127,0.996440995215247,0.999486312554977,1,0.965781356478087,0.969097111849581,0.998368742155815,0.993428688938014,0.997908969426681,0.995210166310779,0.997711521649242,0.999434347272224,0.997761049608551,0.931494732440415,0.981432228154315,0.974228893377686,0.968757952888081,0.965040261593597,0.909128608756812,0.916077744695109,0.913949935935418
"S3715",0.943416407893981,0.927525949866747,0.925675997814907,0.95411236810782,0.981434411364545,0.964332740866226,0.965781356478087,1,0.998662453901493,0.957553455888449,0.935745325497014,0.951260998658348,0.943140241359977,0.949166697948003,0.963157564930149,0.97374218588734,0.977729559206916,0.990621439356789,0.985717601786691,0.985729243285648,0.986110623767337,0.971120998290725,0.974508706216839,0.969649329068131
"S3723",0.949275142668049,0.93402596190732,0.931848235579982,0.959631351463495,0.984071547253824,0.96760085855773,0.969097111849581,0.998662453901493,1,0.959655927397146,0.940990049055058,0.954523647838742,0.948454761201748,0.952866940099614,0.966224161553723,0.974999587012849,0.983618213566408,0.995486372872043,0.992470444379063,0.99245995472988,0.992450441668294,0.975234247136791,0.979228676267543,0.975478927071052
"S4684",0.988976135372681,0.990000685898821,0.990277318640925,0.991944474502322,0.992294844009139,0.999068731188465,0.998368742155815,0.957553455888449,0.959655927397146,1,0.993420546195288,0.998203466685929,0.994002701849516,0.998274492986075,0.999314500781196,0.997562692334769,0.915411302489725,0.971551720169883,0.96233916446622,0.956215063739381,0.951759327468489,0.891471331476095,0.89874878283489,0.897005010672458
"S4690",0.997400912218974,0.998948499942498,0.99867141481916,0.996183670913518,0.982231268189276,0.992743355228375,0.993428688938014,0.935745325497014,0.940990049055058,0.993420546195288,1,0.997616713271419,0.999440461265028,0.997629249297747,0.992812591044301,0.98607202910023,0.904838596443496,0.961551598532214,0.955252106419587,0.948406787419777,0.944184200902712,0.879116445724872,0.885682909170144,0.885530483538151
"S4692",0.995365213843248,0.994832030657003,0.994678045332748,0.996712984179711,0.990854888416106,0.997541395094314,0.997908969426681,0.951260998658348,0.954523647838742,0.998203466685929,0.997616713271419,1,0.998354892129545,0.999709120926231,0.99786212271471,0.993810819694651,0.913641185354073,0.970224547660897,0.962190587955469,0.955527460748613,0.95150412364457,0.889352767965296,0.896200523566992,0.894793506054098
"S4693",0.998663831915269,0.998090172954272,0.9976115211316,0.998352637328367,0.986291497556349,0.994013809889518,0.995210166310779,0.943140241359977,0.948454761201748,0.994002701849516,0.999440461265028,0.998354892129545,1,0.998283746885306,0.994173699906177,0.987960018380363,0.914418242623088,0.968063330318934,0.962357197443704,0.955849579004177,0.951980238110806,0.889799014319729,0.896161912419691,0.895800807691601
"S4707",0.994788844597162,0.995359658753043,0.995337218903854,0.996041450366994,0.989929261997327,0.997472487238413,0.997711521649242,0.949166697948003,0.952866940099614,0.998274492986075,0.997629249297747,0.999709120926231,0.998283746885306,1,0.997960133037658,0.993482769063659,0.911938360006031,0.969076303001223,0.961181106049506,0.954539924324146,0.9502115562803,0.887206124286155,0.894064147606665,0.89294805678298
"S4723",0.989916076281388,0.989257889776496,0.988982010870632,0.993473026751624,0.995249776817153,0.999885526301721,0.999434347272224,0.963157564930149,0.966224161553723,0.999314500781196,0.992812591044301,0.99786212271471,0.994173699906177,0.997960133037658,1,0.998463227792559,0.924804255351886,0.977967378488987,0.969753281669301,0.963923251727145,0.959752202025311,0.901518862326139,0.90883228045917,0.906827512542218
