"","S2805","S2867","S2896","S2966","S2976","S3039","S3090","S3103","S3109","S3115","S3149","S3151","S3154","S3165","S3176","S3191","S3217","S3224","S3253","S3269","S3271","S3282","S3338","S3346","S3410"
"S2805",1,-0.202841576609214,-0.0518746038031438,0.173665638033234,NA,-0.501990655459852,0.133018533127627,0.223889062291311,-0.353459904540007,0.245461119606554,-0.226614102498278,NA,0.338469466147056,NA,0.723538495757773,NA,-0.123789350995009,-0.266261011472176,0.098800805054523,NA,-0.418272186520836,-0.138482914058734,-0.260940673226858,0.104009550479467,0.298756805740388
"S2867",-0.202841576609214,1,0.493318633590316,-0.189617740593918,NA,-0.28836225933873,-0.148453475468326,-0.172005853125923,0.207620775265372,0.0930649341754264,-0.141304732244571,NA,-0.111111111111111,NA,0.0262249650385219,NA,0.165067263600512,-0.155760425339927,-0.178979582635754,NA,0.158699313858886,-0.111582510374553,-0.191554133614412,0.55006133909707,-0.166419442191403
"S2896",-0.0518746038031438,0.493318633590316,1,-0.232290053119505,NA,-0.137717294945402,-0.175436772639976,-0.0563856512389614,0.0074708547225659,-0.024306199189665,-0.168975833307406,NA,0.484166523671903,NA,0.440478086974285,NA,-0.510789335119322,0.18077142276315,-0.560013379761872,NA,0.386508254922475,0.48973727347477,-0.249159169901114,0.674539787703408,-0.112643605255672
"S2966",0.173665638033234,-0.189617740593918,-0.232290053119505,1,NA,-0.149577514102409,0.960728220927733,0.936979818918477,-0.00089533003364677,0.848104380818991,0.314375274639063,NA,-0.192389616937998,NA,0.181158150301544,NA,0.139452396137392,-0.153423888893031,0.136277336146519,NA,-0.286278372704282,-0.166358134452474,0.523621419943365,-0.352631923234982,-0.315713453056487
"S2976",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S3039",-0.501990655459852,-0.28836225933873,-0.137717294945402,-0.149577514102409,NA,1,-0.221127556778288,-0.170145969818731,0.574356081319408,-0.363487589608736,0.61416837862197,NA,-0.281742326931272,NA,-0.297601634679395,NA,0.0924059169665698,-0.321283977282505,0.0540571488690396,NA,0.573607390196577,0.403092725944129,0.549720559488428,-0.256145785588416,-0.0450435799040926
"S3090",0.133018533127627,-0.148453475468326,-0.175436772639976,0.960728220927733,NA,-0.221127556778288,1,0.961406295784136,-0.187170490733243,0.930380932902355,0.130550291314453,NA,-0.131184047965285,NA,0.149451182243003,NA,0.0990972921548183,-0.10694919498306,0.238075067066914,NA,-0.341185398574675,-0.125062077097692,0.373011644112536,-0.327292144222519,-0.21180411314052
"S3103",0.223889062291311,-0.172005853125923,-0.0563856512389614,0.936979818918477,NA,-0.170145969818731,0.961406295784136,1,-0.211142806506631,0.881478462569329,0.0998192314764654,NA,-0.152539321466655,NA,0.331558388284453,NA,-0.0241602890446183,-0.209567240106896,0.165393846025861,NA,-0.159129384095004,0.107613517961853,0.312923774373453,-0.231345146005023,-0.173455157106201
"S3109",-0.353459904540007,0.207620775265372,0.0074708547225659,-0.00089533003364677,NA,0.574356081319408,-0.187170490733243,-0.211142806506631,1,-0.207635278643545,0.882045882374655,NA,-0.166176290681706,NA,-0.257607126530983,NA,0.427589691872216,-0.262650606997724,-0.129620054387537,NA,0.392876919304053,-0.132174961158126,0.7586765526693,-0.0151123071866292,-0.247135129948014
"S3115",0.245461119606554,0.0930649341754264,-0.024306199189665,0.848104380818991,NA,-0.363487589608736,0.930380932902355,0.881478462569329,-0.207635278643545,1,0.0272084208182582,NA,0.0236925747139822,NA,0.242919359780472,NA,0.151284689124364,-0.20561638088557,0.311665284343835,NA,-0.411972813203241,-0.203431363141798,0.240463122917913,-0.133217166678322,-0.0758494487194072
