"","S7831","S7850","S7878","S7935","S7987","S8057","S8064","S8079","S8081","S8084","S8143","S8146","S8174","S8177","S8180","S8261","S8272","S8289","S8321","S8329","S8335","S8337","S8338","S8345","S8346","S8347","S8354","S8356","S8370","S8383"
"S7831",1,-0.0737587754631552,0.346077509385851,0.454611164420542,0.64173289071588,0.209968772020582,0.481956645244743,0.330568359555922,0.871272835100676,0.64173289071588,0.573456774902165,0.620904348569764,0.64173289071588,0.817684349950286,0.797962669452511,0.746952008456154,0.801126940812823,-0.0737587754631552,0.194776066309965,0.487383319466229,-0.131004825781067,0.671168295035895,NA,0.538126102591675,0.469575122323298,NA,0.424973274855934,0.640210651991701,0.4119111231699,0.482210007621927
"S7850",-0.0737587754631552,1,0.670820393249937,0.346410161513775,0.346410161513775,0.670820393249937,0.592556828924972,0.516397779494322,-0.190577719465414,0.346410161513775,0.446904212138473,0.242363028117685,0.346410161513775,-0.0848174514867459,0.103451433533746,-0.0964228915980568,-0.103697696640821,1,0,-0.401120055326219,0.346410161513775,-0.0828599669082215,NA,-0.285113411799691,-0.388147517345945,NA,-0.326085426649201,-0.430331482911935,-0.327760795087789,0.288675134594813
"S7878",0.346077509385851,0.670820393249937,1,0.516397779494322,0.516397779494322,0.388888888888889,0.688998622004134,0.769800358919501,0.235960642061523,0.516397779494322,0.617993227569905,0.595071598859116,0.516397779494322,0.351713590908278,0.588408589676811,0.354134998726017,0.425104347798218,0.670820393249937,0,-0.113363181954145,0.516397779494322,0.386001080458681,NA,0.00247562728766672,-0.119669900043526,NA,-0.0726069136047668,0.0641500299099584,-0.0751565710701436,0.430331482911935
"S7935",0.454611164420542,0.346410161513775,0.516397779494322,1,0.633333333333333,0.516397779494322,0.807386313468361,0.260874597374975,0.255344509006621,0.633333333333333,0.729925755838511,0.790183677319672,0.633333333333333,0.287831124432368,0.679936018512682,0.399462560877628,0.335586505891933,0.346410161513775,0.428174419288838,-0.224334635698359,0.266666666666667,0.55015107829431,NA,-0.159100973466615,-0.238975731468982,NA,-0.180493128230088,0.397523195999963,-0.229315585344697,0.833333333333333
"S7987",0.64173289071588,0.346410161513775,0.516397779494322,0.633333333333333,1,0.516397779494322,0.807386313468361,0.670820393249937,0.549398916469352,1,0.953995987863357,0.880725557012551,1,0.592721515997221,0.562613725122259,0.637865216890766,0.642813588750744,0.346410161513775,0.428174419288838,0.0162323205272332,0.266666666666667,0.576462651604038,NA,0.211880978821716,0.0218386325174933,NA,0.114602851011091,0.397523195999963,0.118797748008742,0.833333333333333
"S8057",0.209968772020582,0.670820393249937,0.388888888888889,0.516397779494322,0.516397779494322,1,0.688998622004134,0.240562612162344,0.00340106885713919,0.516397779494322,0.521568752346232,0.361293470735892,0.516397779494322,0.0435510015057948,0.214801263626168,-0.00795500771731565,-0.0427138339892945,0.670820393249937,0,-0.379106793665621,0.0430331482911935,0.0123520345746778,NA,-0.245204988492693,-0.366264369692206,NA,-0.274835785151377,-0.288675134594813,-0.295742619800457,0.430331482911935
"S8064",0.481956645244743,0.592556828924972,0.688998622004134,0.807386313468361,0.807386313468361,0.688998622004134,1,0.64258956443021,0.201643454006483,0.807386313468361,0.893406039582575,0.868441503982302,0.807386313468361,0.221324259493885,0.497996456688874,0.28062083961613,0.307233891441543,0.592556828924972,0.175780762327663,-0.345137722980632,0.20526770681399,0.328964902880958,NA,-0.22475302830263,-0.348936734770249,NA,-0.313868710827389,0.0815986748482806,-0.330729913661492,0.848439854831159
"S8079",0.330568359555922,0.516397779494322,0.769800358919501,0.260874597374975,0.670820393249937,0.240562612162344,0.64258956443021,1,0.308029951817688,0.670820393249937,0.7401672178457,0.671791783621983,0.670820393249937,0.35690902611713,0.261545651711412,0.422144044661119,0.521400692238908,0.516397779494322,0,0.0607793384993622,0.260874597374975,0.221966396399464,NA,0.177347142869311,0.0691007292523806,NA,0.0770344168562162,0.0833333333333333,0.101567440279383,0.559016994374947
"S8081",0.871272835100676,-0.190577719465414,0.235960642061523,0.255344509006621,0.549398916469352,0.00340106885713919,0.201643454006483,0.308029951817688,1,0.549398916469352,0.420698673381199,0.450199878894927,0.549398916469352,0.972431895710583,0.717065431612599,0.931010254453907,0.942632795529821,-0.190577719465414,0.228345186342835,0.765594066033733,-0.0349678624925413,0.702950798237026,NA,0.854660513338794,0.760528526600646,NA,0.784667792473433,0.757374817161308,0.776518129726136,0.348080546141818
"S8084",0.64173289071588,0.346410161513775,0.516397779494322,0.633333333333333,1,0.516397779494322,0.807386313468361,0.670820393249937,0.549398916469352,1,0.953995987863357,0.880725557012551,1,0.592721515997221,0.562613725122259,0.637865216890766,0.642813588750744,0.346410161513775,0.428174419288838,0.0162323205272332,0.266666666666667,0.576462651604038,NA,0.211880978821716,0.0218386325174933,NA,0.114602851011091,0.397523195999963,0.118797748008742,0.833333333333333
"S8143",0.573456774902165,0.446904212138473,0.617993227569905,0.729925755838511,0.953995987863357,0.521568752346232,0.893406039582575,0.7401672178457,0.420698673381199,0.953995987863357,1,0.945643417750617,0.953995987863357,0.458514322995597,0.541809683864498,0.553276851550301,0.564684199353812,0.446904212138473,0.436096097623424,-0.0627156112228484,0.244440253118013,0.528415036766895,NA,0.0769000969456916,-0.0617937901185128,NA,-0.0139953272758329,0.364390014939422,-0.018398246148366,0.913255945677021
"S8146",0.620904348569764,0.242363028117685,0.595071598859116,0.790183677319672,0.880725557012551,0.361293470735892,0.868441503982302,0.671791783621983,0.450199878894927,0.880725557012551,0.945643417750617,1,0.880725557012551,0.462812295829382,0.625152058776248,0.588063779552461,0.610805043246389,0.242363028117685,0.422920546459836,-0.0439742235405054,0.246932399162397,0.616641439975016,NA,0.0654936742149151,-0.0512887416820486,NA,-0.0142988245845223,0.503076952118745,-0.0277092701515136,0.93011203684503
"S8174",0.64173289071588,0.346410161513775,0.516397779494322,0.633333333333333,1,0.516397779494322,0.807386313468361,0.670820393249937,0.549398916469352,1,0.953995987863357,0.880725557012551,1,0.592721515997221,0.562613725122259,0.637865216890766,0.642813588750744,0.346410161513775,0.428174419288838,0.0162323205272332,0.266666666666667,0.576462651604038,NA,0.211880978821716,0.0218386325174933,NA,0.114602851011091,0.397523195999963,0.118797748008742,0.833333333333333
"S8177",0.817684349950286,-0.0848174514867459,0.351713590908278,0.287831124432368,0.592721515997221,0.0435510015057948,0.221324259493885,0.35690902611713,0.972431895710583,0.592721515997221,0.458514322995597,0.462812295829382,0.592721515997221,1,0.775614260227136,0.954004655954804,0.955223946301417,-0.0848174514867459,0.305877877917722,0.702975965148039,0.167776131910872,0.778108953842342,NA,0.835204071929648,0.700094550165824,NA,0.770942889519518,0.747645804325302,0.766674875969974,0.334624086060314
"S8180",0.797962669452511,0.103451433533746,0.588408589676811,0.679936018512682,0.562613725122259,0.214801263626168,0.497996456688874,0.261545651711412,0.717065431612599,0.562613725122259,0.541809683864498,0.625152058776248,0.562613725122259,0.775614260227136,1,0.748032895613339,0.74426608691311,0.103451433533746,0.408725384851463,0.286693134700491,0.372942684141074,0.887059858991253,NA,0.389906237501999,0.266580697241332,NA,0.332623311099414,0.691492784337316,0.303421410959017,0.458090227374427
"S8261",0.746952008456154,-0.0964228915980568,0.354134998726017,0.399462560877628,0.637865216890766,-0.00795500771731565,0.28062083961613,0.422144044661119,0.931010254453907,0.637865216890766,0.553276851550301,0.588063779552461,0.637865216890766,0.954004655954804,0.748032895613339,1,0.977206034674852,-0.0964228915980568,0.439426334921124,0.687224560608973,0.207805523690596,0.819924830757564,NA,0.808640798071762,0.686428929290088,NA,0.7669330641834,0.846346942288134,0.755173265053698,0.502727882466207
"S8272",0.801126940812823,-0.103697696640821,0.425104347798218,0.335586505891933,0.642813588750744,-0.0427138339892945,0.307233891441543,0.521400692238908,0.942632795529821,0.642813588750744,0.564684199353812,0.610805043246389,0.642813588750744,0.955223946301417,0.74426608691311,0.977206034674852,1,-0.103697696640821,0.323807453028616,0.689266872980208,0.168581014696886,0.783150916866265,NA,0.799123780609901,0.685318843048928,NA,0.731401234217971,0.802064578376517,0.728494610295969,0.472657050552018
"S8289",-0.0737587754631552,1,0.670820393249937,0.346410161513775,0.346410161513775,0.670820393249937,0.592556828924972,0.516397779494322,-0.190577719465414,0.346410161513775,0.446904212138473,0.242363028117685,0.346410161513775,-0.0848174514867459,0.103451433533746,-0.0964228915980568,-0.103697696640821,1,0,-0.401120055326219,0.346410161513775,-0.0828599669082215,NA,-0.285113411799691,-0.388147517345945,NA,-0.326085426649201,-0.430331482911935,-0.327760795087789,0.288675134594813
"S8321",0.194776066309965,0,0,0.428174419288838,0.428174419288838,0,0.175780762327663,0,0.228345186342835,0.428174419288838,0.436096097623424,0.422920546459836,0.428174419288838,0.305877877917722,0.408725384851463,0.439426334921124,0.323807453028616,0,1,0.09747005070295,0.428174419288838,0.706681855409382,NA,0.187673756204694,0.0996381992883275,NA,0.215475817515492,0.638284738504225,0.202394364139343,0.428174419288838
"S8329",0.487383319466229,-0.401120055326219,-0.113363181954145,-0.224334635698359,0.0162323205272332,-0.379106793665621,-0.345137722980632,0.0607793384993622,0.765594066033733,0.0162323205272332,-0.0627156112228484,-0.0439742235405054,0.0162323205272332,0.702975965148039,0.286693134700491,0.687224560608973,0.689266872980208,-0.401120055326219,0.09747005070295,1,-0.30597782550549,0.364261618824389,NA,0.943944244525857,0.998870692553325,NA,0.935240237635084,0.635915461116085,0.931455028974632,-0.0821611995372447
"S8335",-0.131004825781067,0.346410161513775,0.516397779494322,0.266666666666667,0.266666666666667,0.0430331482911935,0.20526770681399,0.260874597374975,-0.0349678624925413,0.266666666666667,0.244440253118013,0.246932399162397,0.266666666666667,0.167776131910872,0.372942684141074,0.207805523690596,0.168581014696886,0.346410161513775,0.428174419288838,-0.30597782550549,1,0.497527931674855,NA,-0.0739447672102985,-0.297183033076326,NA,-0.0516073349251462,0.124225998749988,-0.0408974024471198,0.1
"S8337",0.671168295035895,-0.0828599669082215,0.386001080458681,0.55015107829431,0.576462651604038,0.0123520345746778,0.328964902880958,0.221966396399464,0.702950798237026,0.576462651604038,0.528415036766895,0.616641439975016,0.576462651604038,0.778108953842342,0.887059858991253,0.819924830757564,0.783150916866265,-0.0828599669082215,0.706681855409382,0.364261618824389,0.497527931674855,1,NA,0.501413154926149,0.354162298886369,NA,0.476941215138954,0.859339783650938,0.459106205434359,0.449688707475349
"S8338",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S8345",0.538126102591675,-0.285113411799691,0.00247562728766672,-0.159100973466615,0.211880978821716,-0.245204988492693,-0.22475302830263,0.177347142869311,0.854660513338794,0.211880978821716,0.0769000969456916,0.0654936742149151,0.211880978821716,0.835204071929648,0.389906237501999,0.808640798071762,0.799123780609901,-0.285113411799691,0.187673756204694,0.943944244525857,-0.0739447672102985,0.501413154926149,NA,1,0.95193723668102,NA,0.984312436418993,0.652178595962071,0.987217458732734,-0.00239447928946628
"S8346",0.469575122323298,-0.388147517345945,-0.119669900043526,-0.238975731468982,0.0218386325174933,-0.366264369692206,-0.348936734770249,0.0691007292523806,0.760528526600646,0.0218386325174933,-0.0617937901185128,-0.0512887416820486,0.0218386325174933,0.700094550165824,0.266580697241332,0.686428929290088,0.685318843048928,-0.388147517345945,0.0996381992883275,0.998870692553325,-0.297183033076326,0.354162298886369,NA,0.95193723668102,1,NA,0.945865876042643,0.621912750103663,0.943125302841263,-0.084474254325553
"S8347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S8354",0.424973274855934,-0.326085426649201,-0.0726069136047668,-0.180493128230088,0.114602851011091,-0.274835785151377,-0.313868710827389,0.0770344168562162,0.784667792473433,0.114602851011091,-0.0139953272758329,-0.0142988245845223,0.114602851011091,0.770942889519518,0.332623311099414,0.7669330641834,0.731401234217971,-0.326085426649201,0.215475817515492,0.935240237635084,-0.0516073349251462,0.476941215138954,NA,0.984312436418993,0.945865876042643,NA,1,0.647778277866953,0.997071221371913,-0.0553503777089097
