"","S1133","S1157","S1159","S2247","S2252","S2257","S2290","S3715","S3723","S4684","S4690","S4692","S4693","S4707","S4723","S5017","S5513","S810","S811","S813","S819","S892","S894","S903"
"S1133",1,0.396927088864538,-0.279525927294177,0.0760565855019401,-0.125260331870715,0.150153689232308,-0.388523170365928,-0.0276162807478322,-0.109735630758873,0.223465153894337,-0.199387144306122,-0.0279400980045214,-0.0695918517786337,-0.373203877622459,-0.219816416699431,0.884802022887875,0.133397347200221,0.496179595245579,0.0849331727685639,-0.129048521957657,-0.217153415198344,-0.857848607779717,-0.387886068959706,-0.829839025296696
"S1157",0.396927088864538,1,-0.268157444444336,0.166040273849003,-0.00193823260324452,0.366030262658127,-0.0649843600371018,0.488432641531759,-0.362002216927922,0.360847699119253,-0.108786952479276,-0.308567616295614,0.389271482781678,-0.220675270233659,-0.180022879649759,-0.0574706635929067,0.104596611566021,0.617728632391437,-0.190019742568131,0.351248542717407,-0.146429564574898,-0.33375528293436,-0.932365927649994,0.14327443608939
"S1159",-0.279525927294177,-0.268157444444336,1,0.0772871681797185,-0.261282325369134,-0.309915647644394,0.402670624201627,0.37317701160365,0.630621203590695,0.0437817122983575,0.634372926881396,-0.245591762887573,-0.213747820649633,-0.186632714376095,-0.193868557845443,-0.139026376431451,0.149271405244375,-0.303821738556215,0.424410900984611,-0.544294669219605,0.647463513301318,0.440435056084546,0.354902425373781,0.216910541679229
"S2247",0.0760565855019401,0.166040273849003,0.0772871681797185,1,-0.372424793870225,0.137549040940092,0.0135257864022991,0.0977328542970415,0.0125101865102454,-0.599067950001364,0.433028924754515,-0.0548982577671848,-0.359981127766212,-0.0690881270094787,0.16513728499679,0.0754580653246951,0.314794285755141,-0.0286346674420197,-0.419692818331083,-0.176551341020663,0.416277683139296,-0.121506547587903,-0.145992737725972,-0.129810167032566
"S2252",-0.125260331870715,-0.00193823260324452,-0.261282325369134,-0.372424793870225,1,-0.426732751608677,-0.317706490689688,-0.28004366099373,-0.636689693602837,-0.102173664974822,-0.218045635114319,0.400406211346333,0.332486988365897,0.501280960477027,-0.189097775399199,-0.21236071189245,0.168344585334082,0.642223157784544,-0.333313926752582,0.520169676089808,-0.279300322870269,0.261733428946197,0.0295463187262371,0.196387648341634
"S2257",0.150153689232308,0.366030262658127,-0.309915647644394,0.137549040940092,-0.426732751608677,1,0.0948455833331527,0.365605401741236,0.280146532778672,0.383377170950687,-0.00543083810122441,0.196534917412878,0.491888746702164,-0.294897119333813,-0.0917137152938261,0.0358483308107183,-0.379896959751281,-0.0279901436218049,-0.00711813675228438,-0.189694571995518,0.0358246280748802,-0.517290944945381,-0.257011749077566,0.00582133824434739
"S2290",-0.388523170365928,-0.0649843600371018,0.402670624201627,0.0135257864022991,-0.317706490689688,0.0948455833331527,1,0.488760713552975,0.526467616968262,-0.122850730068194,0.329886442484672,-0.00532973472422765,-0.250095857653983,-0.315157190174804,-0.588645555208409,-0.403669220126949,0.394737759816643,-0.470132833865691,0.386337948912017,-0.535147752332441,0.364772055551264,0.465825105004623,-0.0380038989835602,0.413072578676669
"S3715",-0.0276162807478322,0.488432641531759,0.37317701160365,0.0977328542970415,-0.28004366099373,0.365605401741236,0.488760713552975,1,0.335029787842418,0.367948170293873,0.473003230856469,-0.186779628916008,0.432717425891347,-0.0659566919468294,-0.434971052124781,-0.250183078208652,0.263258202297884,0.103175900868073,0.393476160775456,-0.314185901674752,0.499834865056504,0.120350760824295,-0.430525588946744,0.323735114233236
"S3723",-0.109735630758873,-0.362002216927922,0.630621203590695,0.0125101865102454,-0.636689693602837,0.280146532778672,0.526467616968262,0.335029787842418,1,0.0895812052506165,0.610483728443692,-0.152944119023438,-0.132001433939288,-0.563436142089199,-0.260154665792093,0.128974811147236,-0.221869008482766,-0.622523313957514,0.40653723704849,-0.733408081508713,0.665032039639829,0.0710149101668916,0.33900101723693,-0.0816596971935094
"S4684",0.223465153894337,0.360847699119253,0.0437817122983575,-0.599067950001364,-0.102173664974822,0.383377170950687,-0.122850730068194,0.367948170293873,0.0895812052506165,1,-0.349623047232439,-0.0847493770873535,0.593193448890941,-0.0852523355102473,-0.0597160640260983,0.0418359615074629,-0.376215571488866,0.19564577512525,0.553691729571151,-0.00973735079509508,-0.317021263770402,-0.334185137427998,-0.176688017948883,0.096914855867442
