"","S4939","S4948","S5173","S5226","S5241","S5258","S5263","S5267","S5358","S5373","S5432","S5537","S5603","S5648"
"S4939",1,0.853962371366049,0.933721964651887,0.940744916259874,0.942647848235644,0.960525095644919,0.976778310135224,0.976778310135224,0.948233945295537,0.975295074172289,0.993018957365029,0.299288538910979,0.916243303426333,0.903539709042439
"S4948",0.853962371366049,1,0.974595499288978,0.965935240313155,0.949310614916643,0.916745162850786,0.904081561369671,0.904081561369671,0.904334997955608,0.906552146687206,0.860117804628166,0.318556918184268,0.820382216059814,0.952850826849893
"S5173",0.933721964651887,0.974595499288978,1,0.983577837847627,0.980955281347716,0.961015619232156,0.958544445196022,0.958544445196022,0.954913970498639,0.962552325276475,0.934336729788285,0.353616743597491,0.878369472557732,0.958363921634169
"S5226",0.940744916259874,0.965935240313155,0.983577837847627,1,0.967426853528138,0.945930567215759,0.962591268450104,0.962591268450104,0.937094383196506,0.946738597500618,0.951063889225145,0.27354047229834,0.902113331711526,0.965951455718693
"S5241",0.942647848235644,0.949310614916643,0.980955281347716,0.967426853528138,1,0.972543431462891,0.977293348960446,0.977293348960446,0.953631641007684,0.970515998149111,0.940018805493157,0.255138604794752,0.861361848561849,0.923024622354525
"S5258",0.960525095644919,0.916745162850786,0.961015619232156,0.945930567215759,0.972543431462891,1,0.98248452887067,0.98248452887067,0.929468871670258,0.977683634425371,0.955476362985217,0.23622615115727,0.841439614429319,0.910953813117735
"S5263",0.976778310135224,0.904081561369671,0.958544445196022,0.962591268450104,0.977293348960446,0.98248452887067,1,1,0.9252095168616,0.966916359467668,0.976073552644672,0.190870886713784,0.864577860869435,0.898253243602996
"S5267",0.976778310135224,0.904081561369671,0.958544445196022,0.962591268450104,0.977293348960446,0.98248452887067,1,1,0.9252095168616,0.966916359467668,0.976073552644672,0.190870886713784,0.864577860869435,0.898253243602996
"S5358",0.948233945295537,0.904334997955608,0.954913970498639,0.937094383196506,0.953631641007684,0.929468871670258,0.9252095168616,0.9252095168616,1,0.97722846443873,0.938450138382102,0.448388070485058,0.942671944473889,0.94821860739217
"S5373",0.975295074172289,0.906552146687206,0.962552325276475,0.946738597500618,0.970515998149111,0.977683634425371,0.966916359467668,0.966916359467668,0.97722846443873,1,0.971902170519021,0.370976774945023,0.913204938782782,0.925706492567013
"S5432",0.993018957365029,0.860117804628166,0.934336729788285,0.951063889225145,0.940018805493157,0.955476362985217,0.976073552644672,0.976073552644672,0.938450138382102,0.971902170519021,1,0.279621030512511,0.925143133246462,0.903592927127548
"S5537",0.299288538910979,0.318556918184268,0.353616743597491,0.27354047229834,0.255138604794752,0.23622615115727,0.190870886713784,0.190870886713784,0.448388070485058,0.370976774945023,0.279621030512511,1,0.38952308322336,0.365955872927718
"S5603",0.916243303426333,0.820382216059814,0.878369472557732,0.902113331711526,0.861361848561849,0.841439614429319,0.864577860869435,0.864577860869435,0.942671944473889,0.913204938782782,0.925143133246462,0.38952308322336,1,0.91143601440308
"S5648",0.903539709042439,0.952850826849893,0.958363921634169,0.965951455718693,0.923024622354525,0.910953813117735,0.898253243602996,0.898253243602996,0.94821860739217,0.925706492567013,0.903592927127548,0.365955872927718,0.91143601440308,1
