"","S6720","S6728","S6742","S7053","S7179","S7181","S7186","S7203","S7313","S7315","S7327","S7331"
"S6720",1,1,0.999724014610503,0.994797067353014,0.993680250858712,0.993097245220742,0.993251057709852,0.993061047219005,0.992358550973819,0.992358550973819,0.99177201096898,0.992058337500655
"S6728",1,1,0.999724014610503,0.994797067353014,0.993680250858712,0.993097245220742,0.993251057709852,0.993061047219005,0.992358550973819,0.992358550973819,0.99177201096898,0.992058337500655
"S6742",0.999724014610503,0.999724014610503,1,0.996354802613103,0.995386132417937,0.994838489539201,0.994961934641501,0.994728331056297,0.994206450250355,0.994206450250355,0.993679022303991,0.99394008852411
"S7053",0.994797067353014,0.994797067353014,0.996354802613103,1,0.999876088366834,0.999778810350793,0.999779857010491,0.999669482679484,0.999294668649694,0.999294668649694,0.999093546768797,0.999162666128909
"S7179",0.993680250858712,0.993680250858712,0.995386132417937,0.999876088366834,1,0.999945046020621,0.999956658664086,0.999911076136401,0.999645799666562,0.999645799666562,0.999504035550163,0.999582136806956
"S7181",0.993097245220742,0.993097245220742,0.994838489539201,0.999778810350793,0.999945046020621,1,0.999956394431732,0.999942406382588,0.999725744449968,0.999725744449968,0.999578469950177,0.999624004568276
"S7186",0.993251057709852,0.993251057709852,0.994961934641501,0.999779857010491,0.999956658664086,0.999956394431732,1,0.999962103628443,0.999732016713485,0.999732016713485,0.999604742965439,0.999642497173251
"S7203",0.993061047219005,0.993061047219005,0.994728331056297,0.999669482679484,0.999911076136401,0.999942406382588,0.999962103628443,1,0.999761717921701,0.999761717921701,0.999642274135331,0.999694892500272
"S7313",0.992358550973819,0.992358550973819,0.994206450250355,0.999294668649694,0.999645799666562,0.999725744449968,0.999732016713485,0.999761717921701,1,1,0.999969246273904,0.999963192938258
"S7315",0.992358550973819,0.992358550973819,0.994206450250355,0.999294668649694,0.999645799666562,0.999725744449968,0.999732016713485,0.999761717921701,1,1,0.999969246273904,0.999963192938258
"S7327",0.99177201096898,0.99177201096898,0.993679022303991,0.999093546768797,0.999504035550163,0.999578469950177,0.999604742965439,0.999642274135331,0.999969246273904,0.999969246273904,1,0.999977722221062
"S7331",0.992058337500655,0.992058337500655,0.99394008852411,0.999162666128909,0.999582136806956,0.999624004568276,0.999642497173251,0.999694892500272,0.999963192938258,0.999963192938258,0.999977722221062,1
