"","S6720","S6728","S6742","S7053","S7179","S7181","S7186","S7203","S7313","S7315","S7327","S7331"
"S6720",1,0.909558855847298,0.523614173525237,0.449285886236983,0.424665392995601,0.571209593289488,0.451564870544742,0.35262966257981,-0.0618066833229257,-0.0618066833229257,0.263415118831202,0.157285893177513
"S6728",0.909558855847298,1,0.783351628444718,0.689814808276347,0.671008897812193,0.798524137626239,0.699397802501713,0.615295040489459,0.0993382525150807,0.0993382525150807,0.479987949716098,0.420403222918833
"S6742",0.523614173525237,0.783351628444718,1,0.947749798271369,0.891965490257502,0.937916789137502,0.914558309275513,0.896074676712012,0.56327546115216,0.56327546115216,0.609400128763857,0.662733167183907
"S7053",0.449285886236983,0.689814808276347,0.947749798271369,1,0.96436875502615,0.969396039439304,0.958973628697992,0.973911707639038,0.686284296366702,0.686284296366702,0.655796720130512,0.740212653290751
"S7179",0.424665392995601,0.671008897812193,0.891965490257502,0.96436875502615,1,0.961549304900393,0.970320423412866,0.980131816950814,0.584076209203113,0.584076209203113,0.735937341923856,0.811277114125219
"S7181",0.571209593289488,0.798524137626239,0.937916789137502,0.969396039439304,0.961549304900393,1,0.942217178345255,0.958951479717883,0.557416083020684,0.557416083020684,0.645534464837412,0.702756111257769
"S7186",0.451564870544742,0.699397802501713,0.914558309275513,0.958973628697992,0.970320423412866,0.942217178345255,1,0.946235550473809,0.501814731865834,0.501814731865834,0.641368020099561,0.725872773530714
"S7203",0.35262966257981,0.615295040489459,0.896074676712012,0.973911707639038,0.980131816950814,0.958951479717883,0.946235550473809,1,0.677180624772051,0.677180624772051,0.654253462948221,0.755925803639894
"S7313",-0.0618066833229257,0.0993382525150807,0.56327546115216,0.686284296366702,0.584076209203113,0.557416083020684,0.501814731865834,0.677180624772051,1,1,0.427810743901493,0.530384618360016
"S7315",-0.0618066833229257,0.0993382525150807,0.56327546115216,0.686284296366702,0.584076209203113,0.557416083020684,0.501814731865834,0.677180624772051,1,1,0.427810743901493,0.530384618360016
"S7327",0.263415118831202,0.479987949716098,0.609400128763857,0.655796720130512,0.735937341923856,0.645534464837412,0.641368020099561,0.654253462948221,0.427810743901493,0.427810743901493,1,0.97279096881455
"S7331",0.157285893177513,0.420403222918833,0.662733167183907,0.740212653290751,0.811277114125219,0.702756111257769,0.725872773530714,0.755925803639894,0.530384618360016,0.530384618360016,0.97279096881455,1
