"","S1835","S1849","S1852","S1908","S2071","S2168","S2201","S2267","S2301","S2308","S2446","S2472","S2749"
"S1835",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S1849",NA,1,-0.0901467674196478,-0.279956010766033,-0.476309610462464,-0.279728475439855,-0.10436819941258,0.42555746789946,-0.656446989920919,0.223015360543845,0.044288349818789,0.127251780551108,-0.178682491039266
"S1852",NA,-0.0901467674196478,1,-0.295990742994102,0.0767167355205867,-0.11608655716249,-0.197594520438561,-0.301410365059833,-0.398923916452945,-0.253804364822844,-0.171001517081441,0.402179309105771,0.238191492719551
"S1908",NA,-0.279956010766033,-0.295990742994102,1,0.0581174159327099,-0.208073542683099,0.606720083899234,-0.186105408762062,0.110214783681812,0.696892536807805,0.477583786141441,-0.271405749637007,-0.0423464535468535
"S2071",NA,-0.476309610462464,0.0767167355205867,0.0581174159327099,1,-0.143788069203289,-0.0839895506380177,-0.0414491818537547,0.390557668624444,-0.2215496350313,-0.156864906492815,0.27764351564574,-0.130236945636417
"S2168",NA,-0.279728475439855,-0.11608655716249,-0.208073542683099,-0.143788069203289,1,-0.206442608326973,-0.428067414769772,0.498149801209839,-0.42140396678016,-0.0021200470235173,0.159012133291377,0.0994162265514465
"S2201",NA,-0.10436819941258,-0.197594520438561,0.606720083899234,-0.0839895506380177,-0.206442608326973,1,0.362282284967661,0.351251350734362,0.717877797553339,0.515805031340335,-0.13022960557452,0.0951199475621347
"S2267",NA,0.42555746789946,-0.301410365059833,-0.186105408762062,-0.0414491818537547,-0.428067414769772,0.362282284967661,1,0.0695403985475258,0.423303162144279,-0.216349155980282,0.0813002888555777,-0.270765991942222
"S2301",NA,-0.656446989920919,-0.398923916452945,0.110214783681812,0.390557668624444,0.498149801209839,0.351251350734362,0.0695403985475258,1,-0.141261857653647,0.130010741478822,-0.113205124006388,0.111857827577586
"S2308",NA,0.223015360543845,-0.253804364822844,0.696892536807805,-0.2215496350313,-0.42140396678016,0.717877797553339,0.423303162144279,-0.141261857653647,1,0.152535305316348,0.0702266122892686,-0.293543351504226
"S2446",NA,0.044288349818789,-0.171001517081441,0.477583786141441,-0.156864906492815,-0.0021200470235173,0.515805031340335,-0.216349155980282,0.130010741478822,0.152535305316348,1,-0.556930860483379,0.609387422662155
"S2472",NA,0.127251780551108,0.402179309105771,-0.271405749637007,0.27764351564574,0.159012133291377,-0.13022960557452,0.0813002888555777,-0.113205124006388,0.0702266122892686,-0.556930860483379,1,-0.477211377890906
"S2749",NA,-0.178682491039266,0.238191492719551,-0.0423464535468535,-0.130236945636417,0.0994162265514465,0.0951199475621347,-0.270765991942222,0.111857827577586,-0.293543351504226,0.609387422662155,-0.477211377890906,1
