"","S1468","S1481","S1548","S1578","S3412","S3440","S5166","S5193","S5212","S5448","S5449","S5471","S5472","S5490","S5546"
"S1468",1,0.228769927890976,0.163921929863483,-0.642274526147457,-0.476522405400942,0.0882984549986345,NA,-0.246128641365084,-0.326010278840254,NA,0.355984788166341,-0.464432365069359,0.0617363692176193,-0.083973518979169,-0.134934760504664
"S1481",0.228769927890976,1,0.0946302354853341,0.303319172186157,-0.0564003601337999,0.537314153952997,NA,0.0965232617328484,0.310040718343343,NA,0.551509863621007,-0.33466335331296,-0.262176366548715,-0.226329367452055,0.234609413109124
"S1548",0.163921929863483,0.0946302354853341,1,0.279929482357086,0.133732725553031,-0.322262200275447,NA,-0.777171571281524,-0.293211968614625,NA,0.382905294834569,-0.379996807132936,-0.51175490647743,-0.523114068734821,0.304961174433335
"S1578",-0.642274526147457,0.303319172186157,0.279929482357086,1,0.296808948578913,0.137971120063968,NA,0.0983982953643212,0.240234129524546,NA,0.266299321375863,0.284479271476204,-0.569097069278205,-0.0507505253435573,0.353066493481749
"S3412",-0.476522405400942,-0.0564003601337999,0.133732725553031,0.296808948578913,1,-0.0247136806412294,NA,-0.0440420845111682,-0.181962537920456,NA,-0.115410406458088,0.0107358938775379,0.264450376674771,0.200418295926165,0.698260820031806
"S3440",0.0882984549986345,0.537314153952997,-0.322262200275447,0.137971120063968,-0.0247136806412294,1,NA,0.598286309688161,0.305384669695855,NA,0.629123376262403,-0.17592744297474,0.322712498405252,-0.0468394913096496,0.0393053746682419
"S5166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S5193",-0.246128641365084,0.0965232617328484,-0.777171571281524,0.0983982953643212,-0.0440420845111682,0.598286309688161,NA,1,0.0947090201202979,NA,0.00418237201538088,0.323666306284188,0.415177139779293,0.234841835341935,0.0290976106592274
"S5212",-0.326010278840254,0.310040718343343,-0.293211968614625,0.240234129524546,-0.181962537920456,0.305384669695855,NA,0.0947090201202979,1,NA,-0.00595755077894983,0.379366211199467,-0.100888759573651,0.123708945896719,-0.522679080712379
"S5448",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S5449",0.355984788166341,0.551509863621007,0.382905294834569,0.266299321375863,-0.115410406458088,0.629123376262403,NA,0.00418237201538088,-0.00595755077894983,NA,1,-0.456850809062678,-0.296476139983969,-0.410101306369781,0.32108244882351
"S5471",-0.464432365069359,-0.33466335331296,-0.379996807132936,0.284479271476204,0.0107358938775379,-0.17592744297474,NA,0.323666306284188,0.379366211199467,NA,-0.456850809062678,1,-0.0158178010166882,0.609592476687427,-0.301579057841985
"S5472",0.0617363692176193,-0.262176366548715,-0.51175490647743,-0.569097069278205,0.264450376674771,0.322712498405252,NA,0.415177139779293,-0.100888759573651,NA,-0.296476139983969,-0.0158178010166882,1,0.207679028001004,-0.118184588952785
"S5490",-0.083973518979169,-0.226329367452055,-0.523114068734821,-0.0507505253435573,0.200418295926165,-0.0468394913096496,NA,0.234841835341935,0.123708945896719,NA,-0.410101306369781,0.609592476687427,0.207679028001004,1,-0.132457264933349
"S5546",-0.134934760504664,0.234609413109124,0.304961174433335,0.353066493481749,0.698260820031806,0.0393053746682419,NA,0.0290976106592274,-0.522679080712379,NA,0.32108244882351,-0.301579057841985,-0.118184588952785,-0.132457264933349,1
