"","S26","S3870","S3901","S3957","S3966","S3972","S42","S5","S6","S62","S63","S7","S8"
"S26",1,0.457844742790442,-0.0890191654391087,-0.0888492286703953,0.613922597598667,0.30128809570221,0.146010250337149,-0.0884113385494994,0.256379814749958,0.935778026766335,-0.426984022909972,-0.200073931595277,-0.163261425563707
"S3870",0.457844742790442,1,0.183700269208302,-0.235942039005607,0.500581067125679,0.196716724969771,0.493120614308947,-0.263997986805042,0.389736794537958,0.340022496838332,-0.306050979594467,-0.171125157165507,-0.292289938465625
"S3901",-0.0890191654391087,0.183700269208302,1,-0.0456787631110277,-0.145284734814482,-0.036005601135276,0.260021297056736,0.196591760452783,-0.376840791692461,0.043811193932243,0.420687784382757,-0.0974164935929939,-0.0650224599238227
"S3957",-0.0888492286703953,-0.235942039005607,-0.0456787631110277,1,-0.146628020139528,-0.144365812142818,-0.169284913771981,0.75257230046469,0.35045059715537,0.184494636104313,-0.101717654912466,0.961315352934276,0.990891046343723
"S3966",0.613922597598667,0.500581067125679,-0.145284734814482,-0.146628020139528,1,0.380020855516784,0.425803315394255,-0.383246466509526,0.225350220215747,0.525676816749838,-0.740912730466043,-0.218022975231279,-0.162771918284846
"S3972",0.30128809570221,0.196716724969771,-0.036005601135276,-0.144365812142818,0.380020855516784,1,-0.154805984075265,-0.28089577720584,-0.281402119397397,0.264113518645267,-0.278101047414373,-0.148488570895008,-0.223233004213491
"S42",0.146010250337149,0.493120614308947,0.260021297056736,-0.169284913771981,0.425803315394255,-0.154805984075265,1,-0.0928911197735149,-0.135892293427867,0.159309345762737,-0.186384603312594,-0.165114121826789,-0.138602515619664
"S5",-0.0884113385494994,-0.263997986805042,0.196591760452783,0.75257230046469,-0.383246466509526,-0.28089577720584,-0.0928911197735149,1,0.148143261036471,0.234044673452833,0.32448035677733,0.651145141328958,0.77168369996507
"S6",0.256379814749958,0.389736794537958,-0.376840791692461,0.35045059715537,0.225350220215747,-0.281402119397397,-0.135892293427867,0.148143261036471,1,0.209224670146239,-0.205659636292035,0.332870842951295,0.335534267903184
"S62",0.935778026766335,0.340022496838332,0.043811193932243,0.184494636104313,0.525676816749838,0.264113518645267,0.159309345762737,0.234044673452833,0.209224670146239,1,-0.354490368113236,0.0375826280283408,0.117558731763603
"S63",-0.426984022909972,-0.306050979594467,0.420687784382757,-0.101717654912466,-0.740912730466043,-0.278101047414373,-0.186384603312594,0.32448035677733,-0.205659636292035,-0.354490368113236,1,-0.168272387887095,-0.0859634683872249
"S7",-0.200073931595277,-0.171125157165507,-0.0974164935929939,0.961315352934276,-0.218022975231279,-0.148488570895008,-0.165114121826789,0.651145141328958,0.332870842951295,0.0375826280283408,-0.168272387887095,1,0.950060013220965
"S8",-0.163261425563707,-0.292289938465625,-0.0650224599238227,0.990891046343723,-0.162771918284846,-0.223233004213491,-0.138602515619664,0.77168369996507,0.335534267903184,0.117558731763603,-0.0859634683872249,0.950060013220965,1
