"","S791","S804","S809","S831","S850","S864","S869","S891","S893","S911","S928"
"S791",1,0.999812425181114,1,0.99974787120011,0.999813178863756,0.999813178863756,0.999813178863756,0.999813178863756,0.999813178863756,0.999813178863756,0.999791266062011
"S804",0.999812425181114,1,0.999812425181114,0.999838587002217,0.999772958427752,0.999772958427752,0.999772958427752,0.999772958427752,0.999772958427752,0.999772958427752,0.999769749219109
"S809",1,0.999812425181114,1,0.99974787120011,0.999813178863756,0.999813178863756,0.999813178863756,0.999813178863756,0.999813178863756,0.999813178863756,0.999791266062011
"S831",0.99974787120011,0.999838587002217,0.99974787120011,1,0.999876656265644,0.999876656265644,0.999876656265644,0.999876656265644,0.999876656265644,0.999876656265644,0.999952883700843
"S850",0.999813178863756,0.999772958427752,0.999813178863756,0.999876656265644,1,1,1,1,1,1,0.999952792044557
"S864",0.999813178863756,0.999772958427752,0.999813178863756,0.999876656265644,1,1,1,1,1,1,0.999952792044557
"S869",0.999813178863756,0.999772958427752,0.999813178863756,0.999876656265644,1,1,1,1,1,1,0.999952792044557
"S891",0.999813178863756,0.999772958427752,0.999813178863756,0.999876656265644,1,1,1,1,1,1,0.999952792044557
"S893",0.999813178863756,0.999772958427752,0.999813178863756,0.999876656265644,1,1,1,1,1,1,0.999952792044557
"S911",0.999813178863756,0.999772958427752,0.999813178863756,0.999876656265644,1,1,1,1,1,1,0.999952792044557
"S928",0.999791266062011,0.999769749219109,0.999791266062011,0.999952883700843,0.999952792044557,0.999952792044557,0.999952792044557,0.999952792044557,0.999952792044557,0.999952792044557,1
