"","S1283","S1362","S374","S439","S553","S560","S592","S609","S660","S969"
"S1283",1,0.999913737650795,0.998046059702903,0.998832970071606,0.999115093893398,0.998287762133451,0.9983393231888,0.9983393231888,0.998794798391674,0.999535674849108
"S1362",0.999913737650795,1,0.997875632206989,0.998642077219315,0.998982400793421,0.99829817128953,0.998287873679858,0.998287873679858,0.998753198156459,0.999479826420689
"S374",0.998046059702903,0.997875632206989,1,0.999761005947225,0.999405130123735,0.999590359491415,0.999285807882364,0.999285807882364,0.999396539484557,0.999182302789498
"S439",0.998832970071606,0.998642077219315,0.999761005947225,1,0.99968959349076,0.999618677657807,0.999496450535892,0.999496450535892,0.999572031908714,0.999619692714629
"S553",0.999115093893398,0.998982400793421,0.999405130123735,0.99968959349076,1,0.999054347727167,0.998879640072046,0.998879640072046,0.999364600624052,0.999537231219984
"S560",0.998287762133451,0.99829817128953,0.999590359491415,0.999618677657807,0.999054347727167,1,0.999810139576665,0.999810139576665,0.999772256245839,0.999481479759581
"S592",0.9983393231888,0.998287873679858,0.999285807882364,0.999496450535892,0.998879640072046,0.999810139576665,1,1,0.99981343393696,0.999583279005024
"S609",0.9983393231888,0.998287873679858,0.999285807882364,0.999496450535892,0.998879640072046,0.999810139576665,1,1,0.99981343393696,0.999583279005024
"S660",0.998794798391674,0.998753198156459,0.999396539484557,0.999572031908714,0.999364600624052,0.999772256245839,0.99981343393696,0.99981343393696,1,0.999757502073914
"S969",0.999535674849108,0.999479826420689,0.999182302789498,0.999619692714629,0.999537231219984,0.999481479759581,0.999583279005024,0.999583279005024,0.999757502073914,1
