"","S7990","S7991","S7997","S7998","S7999","S8000","S8001","S8002"
"S7990",1,0.982700630096866,0.977350100917749,0.96724906792516,0.979150592668962,0.985752928900946,0.991769263281924,0.98098155297137
"S7991",0.982700630096866,1,0.987040051069801,0.993099192334479,0.9978424398929,0.99861737233569,0.971577565993515,0.973761973355257
"S7997",0.977350100917749,0.987040051069801,1,0.982457656372289,0.989870266568672,0.991653701379864,0.980843579111313,0.99183966874704
"S7998",0.96724906792516,0.993099192334479,0.982457656372289,1,0.993236752918684,0.991259763942618,0.957382411553415,0.963516778618586
"S7999",0.979150592668962,0.9978424398929,0.989870266568672,0.993236752918684,1,0.996206749152299,0.966883917214563,0.97422851146057
"S8000",0.985752928900946,0.99861737233569,0.991653701379864,0.991259763942618,0.996206749152299,1,0.978873712504011,0.97970944296833
"S8001",0.991769263281924,0.971577565993515,0.980843579111313,0.957382411553415,0.966883917214563,0.978873712504011,1,0.990524670418164
"S8002",0.98098155297137,0.973761973355257,0.99183966874704,0.963516778618586,0.97422851146057,0.97970944296833,0.990524670418164,1
