"","S1041","S1060","S1081","S1100","S1111","S1121","S1129","S1173","S1191","S1208","S1213","S1215","S1266"
"S1041",1,0.741619848709566,0.689279402772053,0.646355831297568,0.653720450460614,0.577915713144851,0.598041838143111,0.614841046859153,0.626404297089104,0.662219142289546,0.615693351779743,0.62592397455107,0.65292423674192
"S1060",0.741619848709566,1,0.968880843009752,0.932858274568292,0.945383520059452,0.841897618834189,0.852029857951782,0.864326045387994,0.889980857533158,0.942994648765274,0.928387949813488,0.926772217937607,0.931017114780692
"S1081",0.689279402772053,0.968880843009752,1,0.952529744711733,0.963255311728165,0.912585789131801,0.920668885729164,0.933238884456318,0.956959190948274,0.971130294607342,0.972910009020974,0.974560355919082,0.986202894220887
"S1100",0.646355831297568,0.932858274568292,0.952529744711733,1,0.990503054407535,0.945436059335528,0.95056920933352,0.956046353226593,0.957467600346004,0.988067671618995,0.980880812062305,0.975270018274713,0.935237338343911
"S1111",0.653720450460614,0.945383520059452,0.963255311728165,0.990503054407535,1,0.924721015104343,0.931991855027215,0.943579102469622,0.949964234688609,0.982565881226882,0.986103771414094,0.983604092782747,0.945074034885321
"S1121",0.577915713144851,0.841897618834189,0.912585789131801,0.945436059335528,0.924721015104343,1,0.999486082376018,0.995874455105273,0.988174180651073,0.966455492777319,0.954232369223684,0.951082362570338,0.934059679086903
"S1129",0.598041838143111,0.852029857951782,0.920668885729164,0.95056920933352,0.931991855027215,0.999486082376018,1,0.998032860109075,0.991485574226558,0.970467422751715,0.959237349751669,0.957025046127061,0.940866419290877
"S1173",0.614841046859153,0.864326045387994,0.933238884456318,0.956046353226593,0.943579102469622,0.995874455105273,0.998032860109075,1,0.996047891845521,0.9747421550485,0.969445287322491,0.969057372112345,0.951396531704457
"S1191",0.626404297089104,0.889980857533158,0.956959190948274,0.957467600346004,0.949964234688609,0.988174180651073,0.991485574226558,0.996047891845521,1,0.978835050304916,0.977224579726927,0.978053214594132,0.973418947683203
"S1208",0.662219142289546,0.942994648765274,0.971130294607342,0.988067671618995,0.982565881226882,0.966455492777319,0.970467422751715,0.9747421550485,0.978835050304916,1,0.989976841174654,0.985609547854295,0.958128672865166
"S1213",0.615693351779743,0.928387949813488,0.972910009020974,0.980880812062305,0.986103771414094,0.954232369223684,0.959237349751669,0.969445287322491,0.977224579726927,0.989976841174654,1,0.998891975274525,0.964263191675092
"S1215",0.62592397455107,0.926772217937607,0.974560355919082,0.975270018274713,0.983604092782747,0.951082362570338,0.957025046127061,0.969057372112345,0.978053214594132,0.985609547854295,0.998891975274525,1,0.969039292442025
"S1266",0.65292423674192,0.931017114780692,0.986202894220887,0.935237338343911,0.945074034885321,0.934059679086903,0.940866419290877,0.951396531704457,0.973418947683203,0.958128672865166,0.964263191675092,0.969039292442025,1
