"","S8284","S8286","S8295","S8298","S8302","S8330","S8341","S8355","S8362","S8379","S8387","S8388","S8390","S8391","S8392","S8433","S8476","S8477","S8478","S8484","S8485","S8486","S8490","S8492","S8493","S8494","S8496"
"S8284",1,1,NA,NA,NA,0.0182555974160302,NA,-0.138383087802492,0.740998170486054,NA,0.556963641430922,0.448065945793725,0.474092321071272,0.477825982352167,NA,0.750784132370716,-0.227816648840801,NA,0.518815350787922,NA,NA,NA,-0.100869252722542,0.676264426133038,0.676264426133038,0.676264426133038,0.453636209231097
"S8286",1,1,NA,NA,NA,0.0182555974160302,NA,-0.138383087802492,0.740998170486054,NA,0.556963641430922,0.448065945793725,0.474092321071272,0.477825982352167,NA,0.750784132370716,-0.227816648840801,NA,0.518815350787922,NA,NA,NA,-0.100869252722542,0.676264426133038,0.676264426133038,0.676264426133038,0.453636209231097
"S8295",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S8298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S8302",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S8330",0.0182555974160302,0.0182555974160302,NA,NA,NA,1,NA,0.288675134594813,0.543676625136356,NA,0.605450312096997,0.516397779494322,0.0690065559342354,0.624628777997239,NA,0.525425456474203,0.346410161513775,NA,0.466666666666667,NA,NA,NA,-0.0430331482911935,0.30937915071342,0.30937915071342,0.30937915071342,0.430331482911935
"S8341",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S8355",-0.138383087802492,-0.138383087802492,NA,NA,NA,0.288675134594813,NA,1,0.00900327178322989,NA,0.0104814662869609,0.031943828249997,-0.418330013267038,0.116013011253162,NA,-0.0582420868076789,0.1,NA,-0.288675134594813,NA,NA,NA,-0.149071198499986,-0.220527167841086,-0.220527167841086,-0.220527167841086,-0.149071198499986
"S8362",0.740998170486054,0.740998170486054,NA,NA,NA,0.543676625136356,NA,0.00900327178322989,1,NA,0.941310466802676,0.708931454965245,0.500185735415794,0.90396193777415,NA,0.96738746089272,0.201906706101692,NA,0.786251889892662,NA,NA,NA,-0.0385240592310765,0.84808229529842,0.84808229529842,0.84808229529842,0.666839038174054
"S8379",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S8387",0.556963641430922,0.556963641430922,NA,NA,NA,0.605450312096997,NA,0.0104814662869609,0.941310466802676,NA,1,0.817960762140935,0.557171608931406,0.922594382860444,NA,0.92810037958284,0.312347695351433,NA,0.785784338088906,NA,NA,NA,0.208982334166858,0.872922686019655,0.872922686019655,0.872922686019655,0.67304030237289
"S8388",0.448065945793725,0.448065945793725,NA,NA,NA,0.516397779494322,NA,0.031943828249997,0.708931454965245,NA,0.817960762140935,1,0.343621596744546,0.721357687004535,NA,0.796283393263728,0.31943828249997,NA,0.497955001655239,NA,NA,NA,0.571428571428571,0.657046075703361,0.657046075703361,0.657046075703361,0.833333333333333
"S8390",0.474092321071272,0.474092321071272,NA,NA,NA,0.0690065559342354,NA,-0.418330013267038,0.500185735415794,NA,0.557171608931406,0.343621596744546,1,0.325694629781069,NA,0.554679188366876,-0.239045721866879,NA,0.690065559342354,NA,NA,NA,0.356348322549899,0.66264600240591,0.66264600240591,0.66264600240591,0.356348322549899
"S8391",0.477825982352167,0.477825982352167,NA,NA,NA,0.624628777997239,NA,0.116013011253162,0.90396193777415,NA,0.922594382860444,0.721357687004535,0.325694629781069,1,NA,0.83957998139206,0.358830941783035,NA,0.711858732031766,NA,NA,NA,-0.0261423932765483,0.775750215696254,0.775750215696254,0.775750215696254,0.659592691900602
"S8392",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S8433",0.750784132370716,0.750784132370716,NA,NA,NA,0.525425456474203,NA,-0.0582420868076789,0.96738746089272,NA,0.92810037958284,0.796283393263728,0.554679188366876,0.83957998139206,NA,1,0.213636931183911,NA,0.758947881573849,NA,NA,NA,0.132634729719079,0.793907053575567,0.793907053575567,0.793907053575567,0.750365281502647
"S8476",-0.227816648840801,-0.227816648840801,NA,NA,NA,0.346410161513775,NA,0.1,0.201906706101692,NA,0.312347695351433,0.31943828249997,-0.239045721866879,0.358830941783035,NA,0.213636931183911,1,NA,0.288675134594813,NA,NA,NA,0.149071198499986,-0.028854021960516,-0.028854021960516,-0.028854021960516,0.149071198499986
"S8477",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S8478",0.518815350787922,0.518815350787922,NA,NA,NA,0.466666666666667,NA,-0.288675134594813,0.786251889892662,NA,0.785784338088906,0.497955001655239,0.690065559342354,0.711858732031766,NA,0.758947881573849,0.288675134594813,NA,1,NA,NA,NA,0.0430331482911935,0.744294841427863,0.744294841427863,0.744294841427863,0.516397779494322
"S8484",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S8485",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S8486",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S8490",-0.100869252722542,-0.100869252722542,NA,NA,NA,-0.0430331482911935,NA,-0.149071198499986,-0.0385240592310765,NA,0.208982334166858,0.571428571428571,0.356348322549899,-0.0261423932765483,NA,0.132634729719079,0.149071198499986,NA,0.0430331482911935,NA,NA,NA,1,0.152849897036537,0.152849897036537,0.152849897036537,0.388888888888889
