"","S4939","S4948","S5173","S5226","S5241","S5258","S5263","S5267","S5358","S5373","S5432","S5537","S5603","S5648"
"S4939",1,0.0808730977168703,-0.0184844423052123,-0.0400593080387803,0.120470416259708,-0.262850238127682,NA,NA,-0.119823247631202,0.86493017772814,0.983022090845043,0.67980790347728,-0.210495618031366,-0.213803323149657
"S4948",0.0808730977168703,1,-0.224864675160809,-0.161151761139964,0.239113063355103,-0.104043408756234,NA,NA,0.417507027727935,0.285548072967595,0.173567198208873,0.168108882241697,0.317939015814292,0.324582201572349
"S5173",-0.0184844423052123,-0.224864675160809,1,-0.1748473580691,0.102953146065408,-0.219699289951222,NA,NA,-0.134742713170899,-0.167433172676058,-0.102907532183512,-0.172916649500649,-0.202211564069791,-0.111111111111111
"S5226",-0.0400593080387803,-0.161151761139964,-0.1748473580691,1,-0.960627577959327,0.543163089297367,NA,NA,-0.00332784426091017,-0.0102325339598792,-0.0227543728989096,-0.149493961299894,0.407574075408568,0.0485807564775707
"S5241",0.120470416259708,0.239113063355103,0.102953146065408,-0.960627577959327,1,-0.623315925214383,NA,NA,0.009279521027369,0.135846930928367,0.135863998684665,0.134944460865516,-0.236411158119381,0.163170665018205
"S5258",-0.262850238127682,-0.104043408756234,-0.219699289951222,0.543163089297367,-0.623315925214383,1,NA,NA,-0.0988017982910801,-0.301350547336167,-0.241716320406188,-0.342358475257071,-0.0390848985823418,-0.169860788725884
"S5263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S5267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S5358",-0.119823247631202,0.417507027727935,-0.134742713170899,-0.00332784426091017,0.009279521027369,-0.0988017982910801,NA,NA,1,0.343303585865953,-0.124105225739313,-0.207746176837502,0.568014008592925,-0.134742713170899
"S5373",0.86493017772814,0.285548072967595,-0.167433172676058,-0.0102325339598792,0.135846930928367,-0.301350547336167,NA,NA,0.343303585865953,1,0.874213286523968,0.524891866963232,0.208554206102329,-0.0853804216952481
"S5432",0.983022090845043,0.173567198208873,-0.102907532183512,-0.0227543728989096,0.135863998684665,-0.241716320406188,NA,NA,-0.124105225739313,0.874213286523968,1,0.657003124506742,-0.144292619750343,-0.102907532183512
"S5537",0.67980790347728,0.168108882241697,-0.172916649500649,-0.149493961299894,0.134944460865516,-0.342358475257071,NA,NA,-0.207746176837502,0.524891866963232,0.657003124506742,1,-0.283746134964983,-0.172916649500649
"S5603",-0.210495618031366,0.317939015814292,-0.202211564069791,0.407574075408568,-0.236411158119381,-0.0390848985823418,NA,NA,0.568014008592925,0.208554206102329,-0.144292619750343,-0.283746134964983,1,0.624469717160194
"S5648",-0.213803323149657,0.324582201572349,-0.111111111111111,0.0485807564775707,0.163170665018205,-0.169860788725884,NA,NA,-0.134742713170899,-0.0853804216952481,-0.102907532183512,-0.172916649500649,0.624469717160194,1
