"","S7985","S7986","S7989","S8007","S8017","S8023","S8033","S8052","S8053","S8065","S8074"
"S7985",1,0.420988092514278,0.417924666830079,0.418211173504674,0.425349704745066,0.428540268654261,0.438549804623662,0.364282920528114,0.364282920528114,0.19450387445419,0.240576232119964
"S7986",0.420988092514278,1,0.999656210955169,0.99961940821697,0.98648506086585,0.98354790964412,0.977676003293687,0.911489072856181,0.911489072856181,0.918806645268586,0.915678476134665
"S7989",0.417924666830079,0.999656210955169,1,0.99999840812479,0.988953325500527,0.986115168363976,0.980270251878191,0.909705403209625,0.909705403209625,0.925287279369449,0.918112449144402
"S8007",0.418211173504674,0.99961940821697,0.99999840812479,1,0.989189102701585,0.986375233710806,0.980564896355516,0.909294161472269,0.909294161472269,0.925663875101517,0.918161392589374
"S8017",0.425349704745066,0.98648506086585,0.988953325500527,0.989189102701585,1,0.999800272828658,0.99834366693158,0.869810443265503,0.869810443265503,0.949727535413762,0.915606195502389
"S8023",0.428540268654261,0.98354790964412,0.986115168363976,0.986375233710806,0.999800272828658,1,0.999226904838016,0.863140357615794,0.863140357615794,0.95054144044301,0.914300783723872
"S8033",0.438549804623662,0.977676003293687,0.980270251878191,0.980564896355516,0.99834366693158,0.999226904838016,1,0.850348454081198,0.850348454081198,0.948772822352949,0.905867747183055
"S8052",0.364282920528114,0.911489072856181,0.909705403209625,0.909294161472269,0.869810443265503,0.863140357615794,0.850348454081198,1,1,0.771584695879389,0.856490928808885
"S8053",0.364282920528114,0.911489072856181,0.909705403209625,0.909294161472269,0.869810443265503,0.863140357615794,0.850348454081198,1,1,0.771584695879389,0.856490928808885
"S8065",0.19450387445419,0.918806645268586,0.925287279369449,0.925663875101517,0.949727535413762,0.95054144044301,0.948772822352949,0.771584695879389,0.771584695879389,1,0.9215633044569
"S8074",0.240576232119964,0.915678476134665,0.918112449144402,0.918161392589374,0.915606195502389,0.914300783723872,0.905867747183055,0.856490928808885,0.856490928808885,0.9215633044569,1
