"","S1835","S1849","S1852","S1908","S2071","S2168","S2201","S2267","S2301","S2308","S2446","S2472","S2749"
"S1835",1,0.999920907903039,0.999755241399919,0.999606366889716,0.999840633903322,0.999716550153947,0.999716550153947,0.999519345068817,0.999468980659434,0.999168122585343,0.999176673989573,0.999288796765248,0.998873631593446
"S1849",0.999920907903039,1,0.999891563140935,0.999799174538802,0.999926449573624,0.999781432025826,0.999781432025826,0.999703792301706,0.999600902212141,0.999397936729702,0.999343564567323,0.999499634830037,0.999059603322357
"S1852",0.999755241399919,0.999891563140935,1,0.999889351536126,0.99995305674798,0.999791588927963,0.999791588927963,0.999637665788659,0.999366264536766,0.999258773239566,0.99929676511568,0.999569605569221,0.998947886281493
"S1908",0.999606366889716,0.999799174538802,0.999889351536126,1,0.999905343139188,0.999855440262521,0.999855440262521,0.999809068008135,0.999491497163883,0.999527374329826,0.999557461798996,0.999758413595899,0.999312042886389
"S2071",0.999840633903322,0.999926449573624,0.99995305674798,0.999905343139188,1,0.999828494288741,0.999828494288741,0.999725030622432,0.999501136661127,0.999401347612318,0.999427654085742,0.999618901839216,0.999179716587412
"S2168",0.999716550153947,0.999781432025826,0.999791588927963,0.999855440262521,0.999828494288741,1,1,0.999729915078621,0.999619516168018,0.999549571055816,0.99972278869596,0.999806467648094,0.999417320266646
"S2201",0.999716550153947,0.999781432025826,0.999791588927963,0.999855440262521,0.999828494288741,1,1,0.999729915078621,0.999619516168018,0.999549571055816,0.99972278869596,0.999806467648094,0.999417320266646
"S2267",0.999519345068817,0.999703792301706,0.999637665788659,0.999809068008135,0.999725030622432,0.999729915078621,0.999729915078621,1,0.999778853859272,0.999883405786097,0.999565666791211,0.999727255383688,0.999632551079119
"S2301",0.999468980659434,0.999600902212141,0.999366264536766,0.999491497163883,0.999501136661127,0.999619516168018,0.999619516168018,0.999778853859272,1,0.999816496116016,0.999729797319526,0.999708030204727,0.999686659691955
"S2308",0.999168122585343,0.999397936729702,0.999258773239566,0.999527374329826,0.999401347612318,0.999549571055816,0.999549571055816,0.999883405786097,0.999816496116016,1,0.999660931773537,0.999675540594192,0.999838305425116
"S2446",0.999176673989573,0.999343564567323,0.99929676511568,0.999557461798996,0.999427654085742,0.99972278869596,0.99972278869596,0.999565666791211,0.999729797319526,0.999660931773537,1,0.999876708275255,0.999764583706692
"S2472",0.999288796765248,0.999499634830037,0.999569605569221,0.999758413595899,0.999618901839216,0.999806467648094,0.999806467648094,0.999727255383688,0.999708030204727,0.999675540594192,0.999876708275255,1,0.999719032598385
"S2749",0.998873631593446,0.999059603322357,0.998947886281493,0.999312042886389,0.999179716587412,0.999417320266646,0.999417320266646,0.999632551079119,0.999686659691955,0.999838305425116,0.999764583706692,0.999719032598385,1
