"","S1177","S1193","S1242","S1249","S1251","S1277","S1288","S1397","S1427","S1438","S1542","S1917","S2081","S2172","S2292","S2432","S2445","S2463","S2478","S2580","S2581","S2611","S2628","S2709","S2715","S2723","S2740","S2768","S2783","S2803","S2813","S2855"
"S1177",1,0.999942560946162,0.999961291975426,0.999932052763909,0.999922730584281,0.99988871778781,0.999938712205247,0.999852988192662,0.999836465505995,0.999836465505995,0.999660370377799,0.998732247662389,0.99880112427316,0.998683541622558,0.998585104776632,0.998565492869139,0.998565492869139,0.998540002394784,0.99842114774959,0.99842114774959,0.99842114774959,0.998128772157781,0.998271047346823,0.997952735241329,0.997952735241329,0.998166613720393,0.998109898128598,0.998082931309501,0.99810435126417,0.99811637806586,0.99811637806586,0.998015986331444
"S1193",0.999942560946162,1,0.999920747899317,0.999903449697385,0.999931605364341,0.99983530390964,0.999941078257715,0.999937243458304,0.999909416509096,0.999909416509096,0.999782683967196,0.999093639940297,0.999144806816074,0.999001891026457,0.998870986962152,0.998802875205054,0.998802875205054,0.998815749632665,0.998637058941557,0.998637058941557,0.998637058941557,0.998475618935725,0.9985098733553,0.998259632519403,0.998259632519403,0.998459794044449,0.998327988130543,0.998389918700874,0.998347940567075,0.998424770367285,0.998424770367285,0.998284668951538
"S1242",0.999961291975426,0.999920747899317,1,0.999962902194336,0.999938616910358,0.999913491231997,0.999911720308238,0.999860443598464,0.999781488968195,0.999781488968195,0.999586254207268,0.998536878313991,0.998597694345983,0.998412463823593,0.998267774378131,0.998259808761967,0.998259808761967,0.998253092411211,0.998066852511462,0.998066852511462,0.998066852511462,0.997831173028494,0.997877848142488,0.997570238957498,0.997570238957498,0.997803970976259,0.997711873953785,0.997745477409966,0.99773240064507,0.997793488124958,0.997793488124958,0.99764836504071
"S1249",0.999932052763909,0.999903449697385,0.999962902194336,1,0.999944101789471,0.999963941464705,0.999901332076472,0.999846441511802,0.999830641793746,0.999830641793746,0.999614934078569,0.998542475206929,0.998673921500167,0.998456379945867,0.998330065811396,0.998343377225478,0.998343377225478,0.998341209558752,0.998127758470567,0.998127758470567,0.998127758470567,0.997928354525921,0.99792301903162,0.997627785515739,0.997627785515739,0.997899717146315,0.997806356648599,0.997832022075953,0.997810226091688,0.99788189810901,0.99788189810901,0.997736354998879
"S1251",0.999922730584281,0.999931605364341,0.999938616910358,0.999944101789471,1,0.999899269131242,0.999900707527739,0.999858429786454,0.999805213192619,0.999805213192619,0.999534901475913,0.998650004388715,0.998759154423914,0.998555175817818,0.998398375838823,0.99836257418315,0.99836257418315,0.998407758427875,0.998221816017313,0.998221816017313,0.998221816017313,0.998002491984061,0.998116287884411,0.997750263270708,0.997750263270708,0.998017630911337,0.997921025966605,0.997932997270843,0.997900168792077,0.997983985623829,0.997983985623829,0.997867904757139
"S1277",0.99988871778781,0.99983530390964,0.999913491231997,0.999963941464705,0.999899269131242,1,0.999871264897029,0.999797133461904,0.999807075293337,0.999807075293337,0.99956822765445,0.99835273563017,0.998481267146377,0.998271881698617,0.998192371629483,0.99819787559969,0.99819787559969,0.998210807276788,0.998003394896674,0.998003394896674,0.998003394896674,0.997800224488844,0.997762253227228,0.997465967280712,0.997465967280712,0.997773702700883,0.997662816682744,0.997652233842247,0.997694911903602,0.997720511486299,0.997720511486299,0.997600768679592
"S1288",0.999938712205247,0.999941078257715,0.999911720308238,0.999901332076472,0.999900707527739,0.999871264897029,1,0.999818363313606,0.999862814444091,0.999862814444091,0.999682808736569,0.998762076571614,0.998867944486042,0.998769126016982,0.998709511760667,0.998614316335615,0.998614316335615,0.99857395353069,0.998436397499286,0.998436397499286,0.998436397499286,0.998284966788865,0.998342339085473,0.998045532895059,0.998045532895059,0.998286241042139,0.998145766184232,0.998166384752855,0.998143462478134,0.998230745667217,0.998230745667217,0.998085296650217
"S1397",0.999852988192662,0.999937243458304,0.999860443598464,0.999846441511802,0.999858429786454,0.999797133461904,0.999818363313606,1,0.999926341223779,0.999926341223779,0.999782486005857,0.999053317522561,0.999085065010207,0.99895593548148,0.998789443502472,0.998837613433671,0.998837613433671,0.998902395287669,0.998674788676971,0.998674788676971,0.998674788676971,0.998551448673982,0.998413425021665,0.998240421216806,0.998240421216806,0.99844226517469,0.99831267562289,0.998418200414677,0.998413931246211,0.998474102122145,0.998474102122145,0.998339439859879
"S1427",0.999836465505995,0.999909416509096,0.999781488968195,0.999830641793746,0.999805213192619,0.999807075293337,0.999862814444091,0.999926341223779,1,1,0.999864137836033,0.999097461279351,0.999197777623115,0.9991291163496,0.999042839415627,0.999071401743298,0.999071401743298,0.999088020725561,0.99889699451875,0.99889699451875,0.99889699451875,0.998806179277826,0.998656098448954,0.998501320813843,0.998501320813843,0.998721070051146,0.998592640417497,0.998648104325607,0.998660842063991,0.998730209740249,0.998730209740249,0.998589152451963
"S1438",0.999836465505995,0.999909416509096,0.999781488968195,0.999830641793746,0.999805213192619,0.999807075293337,0.999862814444091,0.999926341223779,1,1,0.999864137836033,0.999097461279351,0.999197777623115,0.9991291163496,0.999042839415627,0.999071401743298,0.999071401743298,0.999088020725561,0.99889699451875,0.99889699451875,0.99889699451875,0.998806179277826,0.998656098448954,0.998501320813843,0.998501320813843,0.998721070051146,0.998592640417497,0.998648104325607,0.998660842063991,0.998730209740249,0.998730209740249,0.998589152451963
