"","S1034","S1087","S11286","S1199","S1236","S1275","S2447","S2462","S2483","S2494","S2751","S2806","S2928","S2992","S3042","S3058","S3189","S3209","S3383","S3473","S3680","S479","S5707","S6137","S6354","S663","S690"
"S1034",1,0.999727259416052,0.997900949308369,0.999727259416052,0.999735789217551,0.999765808171861,0.999163803614948,0.999163803614948,0.998941450276874,0.998941450276874,0.999428783681298,0.99933133727905,0.999204264334935,0.999223278040264,0.999090780755229,0.999090780755229,0.998763816777614,0.998436142845747,0.99864119136586,0.998398134795835,0.997103489800146,0.998846678531485,0.988862691438239,0.990239842629536,0.990239842629536,0.999892598944115,0.999892598944115
"S1087",0.999727259416052,1,0.997703342357187,1,0.999659255868085,0.999831510892407,0.999348345502544,0.999348345502544,0.999186725759566,0.999186725759566,0.999394774334416,0.999350510883344,0.999188628784523,0.999150962631803,0.998872757596138,0.998872757596138,0.998834492928395,0.998415075546589,0.998593125220926,0.998371853506677,0.997416404050585,0.999391784307092,0.989892054436303,0.990943766609142,0.990943766609142,0.999784636364719,0.999784636364719
"S11286",0.997900949308369,0.997703342357187,1,0.997703342357187,0.998299423222901,0.997842904480702,0.997363532373807,0.997363532373807,0.996705416309967,0.996705416309967,0.997390764020789,0.997342668813467,0.996818948265858,0.997133020775508,0.996174520212044,0.996174520212044,0.996561845742535,0.995689257479775,0.995743556123373,0.995400155658911,0.993894097738154,0.997617654428805,0.987367933724523,0.987755436634522,0.987755436634522,0.997760529615297,0.997760529615297
"S1199",0.999727259416052,1,0.997703342357187,1,0.999659255868085,0.999831510892407,0.999348345502544,0.999348345502544,0.999186725759566,0.999186725759566,0.999394774334416,0.999350510883344,0.999188628784523,0.999150962631803,0.998872757596138,0.998872757596138,0.998834492928395,0.998415075546589,0.998593125220926,0.998371853506677,0.997416404050585,0.999391784307092,0.989892054436303,0.990943766609142,0.990943766609142,0.999784636364719,0.999784636364719
"S1236",0.999735789217551,0.999659255868085,0.998299423222901,0.999659255868085,1,0.999657973589386,0.999609079380081,0.999609079380081,0.999437751721059,0.999437751721059,0.999565494487891,0.999438839340406,0.999348708368257,0.999148821687778,0.99906821838304,0.99906821838304,0.998976627267059,0.998780894466062,0.998664372886397,0.998549000317993,0.997346575530008,0.999404931595759,0.989753764851066,0.990719233564448,0.990719233564448,0.999716667680661,0.999716667680661
"S1275",0.999765808171861,0.999831510892407,0.997842904480702,0.999831510892407,0.999657973589386,1,0.999526820322306,0.999526820322306,0.999402250163148,0.999402250163148,0.999651744802625,0.99974512913347,0.999527176586198,0.999542387412907,0.999343659868331,0.999343659868331,0.999215965227703,0.998782013199252,0.998981711748171,0.998701782113884,0.997748085268764,0.999229268914971,0.990685238928866,0.991948069926479,0.991948069926479,0.999860694641571,0.999860694641571
"S2447",0.999163803614948,0.999348345502544,0.997363532373807,0.999348345502544,0.999609079380081,0.999526820322306,1,1,0.999829112317533,0.999829112317533,0.999755727750812,0.999710672486038,0.999488357708404,0.999223356145262,0.999321350057503,0.999321350057503,0.999115837249175,0.99927164272169,0.999115281692055,0.998942995662246,0.998034373947304,0.999590860376752,0.991728823874163,0.992540693548405,0.992540693548405,0.999236958186907,0.999236958186907
"S2462",0.999163803614948,0.999348345502544,0.997363532373807,0.999348345502544,0.999609079380081,0.999526820322306,1,1,0.999829112317533,0.999829112317533,0.999755727750812,0.999710672486038,0.999488357708404,0.999223356145262,0.999321350057503,0.999321350057503,0.999115837249175,0.99927164272169,0.999115281692055,0.998942995662246,0.998034373947304,0.999590860376752,0.991728823874163,0.992540693548405,0.992540693548405,0.999236958186907,0.999236958186907
"S2483",0.998941450276874,0.999186725759566,0.996705416309967,0.999186725759566,0.999437751721059,0.999402250163148,0.999829112317533,0.999829112317533,1,1,0.999682340226383,0.999704937016013,0.99971803366912,0.999348066884881,0.999462729497361,0.999462729497361,0.99948667048238,0.999463423682739,0.999316462848357,0.999121626080432,0.9984624462613,0.999303439231072,0.992281013874689,0.993174649668576,0.993174649668576,0.999182575061929,0.999182575061929
"S2494",0.998941450276874,0.999186725759566,0.996705416309967,0.999186725759566,0.999437751721059,0.999402250163148,0.999829112317533,0.999829112317533,1,1,0.999682340226383,0.999704937016013,0.99971803366912,0.999348066884881,0.999462729497361,0.999462729497361,0.99948667048238,0.999463423682739,0.999316462848357,0.999121626080432,0.9984624462613,0.999303439231072,0.992281013874689,0.993174649668576,0.993174649668576,0.999182575061929,0.999182575061929
"S2751",0.999428783681298,0.999394774334416,0.997390764020789,0.999394774334416,0.999565494487891,0.999651744802625,0.999755727750812,0.999755727750812,0.999682340226383,0.999682340226383,1,0.999862283515288,0.99981830327033,0.999783383525658,0.999639770256249,0.999639770256249,0.999426373325324,0.999508214217147,0.999666083159824,0.999352559986564,0.998520500762935,0.999156147130745,0.992062502463958,0.9930809108535,0.9930809108535,0.999489702390244,0.999489702390244
"S2806",0.99933133727905,0.999350510883344,0.997342668813467,0.999350510883344,0.999438839340406,0.99974512913347,0.999710672486038,0.999710672486038,0.999704937016013,0.999704937016013,0.999862283515288,1,0.999844052281415,0.999784398484902,0.999750477606389,0.999750477606389,0.999588425011993,0.999509202075375,0.999511271854128,0.99931019960044,0.998574571209619,0.998951996672691,0.992616438768121,0.993621372208776,0.993621372208776,0.999540741402819,0.999540741402819
"S2928",0.999204264334935,0.999188628784523,0.996818948265858,0.999188628784523,0.999348708368257,0.999527176586198,0.999488357708404,0.999488357708404,0.99971803366912,0.99971803366912,0.99981830327033,0.999844052281415,1,0.999875800549028,0.999835417720666,0.999835417720666,0.999837270270501,0.999692902714278,0.999747674513798,0.999596531961951,0.99903022801757,0.998669162635912,0.992968189305814,0.994094901864929,0.994094901864929,0.999490450811461,0.999490450811461
"S2992",0.999223278040264,0.999150962631803,0.997133020775508,0.999150962631803,0.999148821687778,0.999542387412907,0.999223356145262,0.999223356145262,0.999348066884881,0.999348066884881,0.999783383525658,0.999784398484902,0.999875800549028,1,0.999695920941868,0.999695920941868,0.999693806076073,0.999425780119969,0.999753541656908,0.999449310969366,0.998892902526379,0.998426162474886,0.993016295223544,0.994196761196223,0.994196761196223,0.999459030871558,0.999459030871558
"S3042",0.999090780755229,0.998872757596138,0.996174520212044,0.998872757596138,0.99906821838304,0.999343659868331,0.999321350057503,0.999321350057503,0.999462729497361,0.999462729497361,0.999639770256249,0.999750477606389,0.999835417720666,0.999695920941868,1,1,0.999699724220289,0.999741619854568,0.999684735120635,0.999720441024727,0.99909100023815,0.998138915384065,0.993178998327076,0.994480998599057,0.994480998599057,0.999352600954948,0.999352600954948
"S3058",0.999090780755229,0.998872757596138,0.996174520212044,0.998872757596138,0.99906821838304,0.999343659868331,0.999321350057503,0.999321350057503,0.999462729497361,0.999462729497361,0.999639770256249,0.999750477606389,0.999835417720666,0.999695920941868,1,1,0.999699724220289,0.999741619854568,0.999684735120635,0.999720441024727,0.99909100023815,0.998138915384065,0.993178998327076,0.994480998599057,0.994480998599057,0.999352600954948,0.999352600954948
"S3189",0.998763816777614,0.998834492928395,0.996561845742535,0.998834492928395,0.998976627267059,0.999215965227703,0.999115837249175,0.999115837249175,0.99948667048238,0.99948667048238,0.999426373325324,0.999588425011993,0.999837270270501,0.999693806076073,0.999699724220289,0.999699724220289,1,0.99953352249962,0.999544977016543,0.999544166784238,0.999263804362103,0.998184601796985,0.994213671239948,0.995265365979295,0.995265365979295,0.999224879717145,0.999224879717145
"S3209",0.998436142845747,0.998415075546589,0.995689257479775,0.998415075546589,0.998780894466062,0.998782013199252,0.99927164272169,0.99927164272169,0.999463423682739,0.999463423682739,0.999508214217147,0.999509202075375,0.999692902714278,0.999425780119969,0.999741619854568,0.999741619854568,0.99953352249962,1,0.99965862951211,0.999857884235826,0.999430873104225,0.998036115385332,0.994250717746297,0.994998117044447,0.994998117044447,0.998789474101324,0.998789474101324
"S3383",0.99864119136586,0.998593125220926,0.995743556123373,0.998593125220926,0.998664372886397,0.998981711748171,0.999115281692055,0.999115281692055,0.999316462848357,0.999316462848357,0.999666083159824,0.999511271854128,0.999747674513798,0.999753541656908,0.999684735120635,0.999684735120635,0.999544977016543,0.99965862951211,1,0.999690083593337,0.99930217140991,0.99809537205779,0.993793679957664,0.994941034860979,0.994941034860979,0.998856531730757,0.998856531730757
"S3473",0.998398134795835,0.998371853506677,0.995400155658911,0.998371853506677,0.998549000317993,0.998701782113884,0.998942995662246,0.998942995662246,0.999121626080432,0.999121626080432,0.999352559986564,0.99931019960044,0.999596531961951,0.999449310969366,0.999720441024727,0.999720441024727,0.999544166784238,0.999857884235826,0.999690083593337,1,0.99970852938538,0.997717315278206,0.994707241037507,0.995712228645455,0.995712228645455,0.998788535152115,0.998788535152115
"S3680",0.997103489800146,0.997416404050585,0.993894097738154,0.997416404050585,0.997346575530008,0.997748085268764,0.998034373947304,0.998034373947304,0.9984624462613,0.9984624462613,0.998520500762935,0.998574571209619,0.99903022801757,0.998892902526379,0.99909100023815,0.99909100023815,0.999263804362103,0.999430873104225,0.99930217140991,0.99970852938538,1,0.99670360836173,0.996496559939357,0.997297755690589,0.997297755690589,0.997775244821335,0.997775244821335
"S479",0.998846678531485,0.999391784307092,0.997617654428805,0.999391784307092,0.999404931595759,0.999229268914971,0.999590860376752,0.999590860376752,0.999303439231072,0.999303439231072,0.999156147130745,0.998951996672691,0.998669162635912,0.998426162474886,0.998138915384065,0.998138915384065,0.998184601796985,0.998036115385332,0.99809537205779,0.997717315278206,0.99670360836173,1,0.989596467827978,0.990396711003223,0.990396711003223,0.99882679394135,0.99882679394135
"S5707",0.988862691438239,0.989892054436303,0.987367933724523,0.989892054436303,0.989753764851066,0.990685238928866,0.991728823874163,0.991728823874163,0.992281013874689,0.992281013874689,0.992062502463958,0.992616438768121,0.992968189305814,0.993016295223544,0.993178998327076,0.993178998327076,0.994213671239948,0.994250717746297,0.993793679957664,0.994707241037507,0.996496559939357,0.989596467827978,1,0.999398877933426,0.999398877933426,0.990256032251951,0.990256032251951
"S6137",0.990239842629536,0.990943766609142,0.987755436634522,0.990943766609142,0.990719233564448,0.991948069926479,0.992540693548405,0.992540693548405,0.993174649668576,0.993174649668576,0.9930809108535,0.993621372208776,0.994094901864929,0.994196761196223,0.994480998599057,0.994480998599057,0.995265365979295,0.994998117044447,0.994941034860979,0.995712228645455,0.997297755690589,0.990396711003223,0.999398877933426,1,1,0.991547344501589,0.991547344501589
"S6354",0.990239842629536,0.990943766609142,0.987755436634522,0.990943766609142,0.990719233564448,0.991948069926479,0.992540693548405,0.992540693548405,0.993174649668576,0.993174649668576,0.9930809108535,0.993621372208776,0.994094901864929,0.994196761196223,0.994480998599057,0.994480998599057,0.995265365979295,0.994998117044447,0.994941034860979,0.995712228645455,0.997297755690589,0.990396711003223,0.999398877933426,1,1,0.991547344501589,0.991547344501589
