"","S1041","S1060","S1081","S1100","S1111","S1121","S1129","S1173","S1191","S1208","S1213","S1215","S1266"
"S1041",1,0.99987822895081,0.999914367476614,0.999890144135113,0.999890144135113,0.999914990593634,0.99988701796486,0.999852803176874,0.999900278412393,0.999746991735636,0.999800588178018,0.999800588178018,0.999689580016545
"S1060",0.99987822895081,1,0.999901943279465,0.999832713746996,0.999832713746996,0.999733735387152,0.999842919090486,0.999888278202323,0.999910405045373,0.999848706795119,0.999890142740259,0.999890142740259,0.999913659173003
"S1081",0.999914367476614,0.999901943279465,1,0.99991991587728,0.99991991587728,0.999802291714635,0.999825763783528,0.999807294134121,0.999895517184429,0.99975951928982,0.999790657478884,0.999790657478884,0.999791346531974
"S1100",0.999890144135113,0.999832713746996,0.99991991587728,1,1,0.999859203233796,0.999862019218141,0.999842716121643,0.999941668576763,0.999625718419162,0.999780052506692,0.999780052506692,0.999710339969372
"S1111",0.999890144135113,0.999832713746996,0.99991991587728,1,1,0.999859203233796,0.999862019218141,0.999842716121643,0.999941668576763,0.999625718419162,0.999780052506692,0.999780052506692,0.999710339969372
"S1121",0.999914990593634,0.999733735387152,0.999802291714635,0.999859203233796,0.999859203233796,1,0.999916897266731,0.999869275969625,0.999847111438766,0.99971995578086,0.999623806177767,0.999623806177767,0.99956971531523
"S1129",0.99988701796486,0.999842919090486,0.999825763783528,0.999862019218141,0.999862019218141,0.999916897266731,1,0.999963561642127,0.999891391481738,0.999818619946184,0.999742447469511,0.999742447469511,0.99973875848218
"S1173",0.999852803176874,0.999888278202323,0.999807294134121,0.999842716121643,0.999842716121643,0.999869275969625,0.999963561642127,1,0.999886213716561,0.999825879111809,0.999719292892719,0.999719292892719,0.999771289832152
"S1191",0.999900278412393,0.999910405045373,0.999895517184429,0.999941668576763,0.999941668576763,0.999847111438766,0.999891391481738,0.999886213716561,1,0.999719139186545,0.999844360828537,0.999844360828537,0.999842020207218
"S1208",0.999746991735636,0.999848706795119,0.99975951928982,0.999625718419162,0.999625718419162,0.99971995578086,0.999818619946184,0.999825879111809,0.999719139186545,1,0.99973677024136,0.99973677024136,0.999838802240904
"S1213",0.999800588178018,0.999890142740259,0.999790657478884,0.999780052506692,0.999780052506692,0.999623806177767,0.999742447469511,0.999719292892719,0.999844360828537,0.99973677024136,1,1,0.999843439311283
"S1215",0.999800588178018,0.999890142740259,0.999790657478884,0.999780052506692,0.999780052506692,0.999623806177767,0.999742447469511,0.999719292892719,0.999844360828537,0.99973677024136,1,1,0.999843439311283
"S1266",0.999689580016545,0.999913659173003,0.999791346531974,0.999710339969372,0.999710339969372,0.99956971531523,0.99973875848218,0.999771289832152,0.999842020207218,0.999838802240904,0.999843439311283,0.999843439311283,1
