"","S4939","S4948","S5173","S5226","S5241","S5258","S5263","S5267","S5358","S5373","S5432","S5537","S5603","S5648"
"S4939",1,0.999155336782466,0.999467280991877,0.999467280991877,0.999467280991877,0.99930686891753,0.999347895036186,0.999347895036186,0.999125995450053,0.999338533492871,0.998980030251354,0.998395027262296,0.99810568092252,0.997830575276306
"S4948",0.999155336782466,1,0.999405178471979,0.999405178471979,0.999405178471979,0.999313121388596,0.99907127704683,0.99907127704683,0.999212147818961,0.999451495080912,0.998225356882861,0.997687301217309,0.997336857563217,0.996985352692802
"S5173",0.999467280991877,0.999405178471979,1,1,1,0.999960739248365,0.999863696590049,0.999863696590049,0.99985536735378,0.999937429773858,0.999350001603958,0.999137652848782,0.998811317076689,0.998478114006304
"S5226",0.999467280991877,0.999405178471979,1,1,1,0.999960739248365,0.999863696590049,0.999863696590049,0.99985536735378,0.999937429773858,0.999350001603958,0.999137652848782,0.998811317076689,0.998478114006304
"S5241",0.999467280991877,0.999405178471979,1,1,1,0.999960739248365,0.999863696590049,0.999863696590049,0.99985536735378,0.999937429773858,0.999350001603958,0.999137652848782,0.998811317076689,0.998478114006304
"S5258",0.99930686891753,0.999313121388596,0.999960739248365,0.999960739248365,0.999960739248365,1,0.999884646244529,0.999884646244529,0.999874319582318,0.999913673926654,0.999466129079624,0.999274909541696,0.998979258566878,0.998636111722785
"S5263",0.999347895036186,0.99907127704683,0.999863696590049,0.999863696590049,0.999863696590049,0.999884646244529,1,1,0.999924286051408,0.999898098759307,0.99956220999953,0.99952614770489,0.999197006283718,0.999001332983726
"S5267",0.999347895036186,0.99907127704683,0.999863696590049,0.999863696590049,0.999863696590049,0.999884646244529,1,1,0.999924286051408,0.999898098759307,0.99956220999953,0.99952614770489,0.999197006283718,0.999001332983726
"S5358",0.999125995450053,0.999212147818961,0.99985536735378,0.99985536735378,0.99985536735378,0.999874319582318,0.999924286051408,0.999924286051408,1,0.999927431794094,0.999376576901666,0.999372834845558,0.999016410134366,0.998801314150026
"S5373",0.999338533492871,0.999451495080912,0.999937429773858,0.999937429773858,0.999937429773858,0.999913673926654,0.999898098759307,0.999898098759307,0.999927431794094,1,0.999240832600464,0.999170133261701,0.99881174911943,0.998568040162339
"S5432",0.998980030251354,0.998225356882861,0.999350001603958,0.999350001603958,0.999350001603958,0.999466129079624,0.99956220999953,0.99956220999953,0.999376576901666,0.999240832600464,1,0.999775943399523,0.999774776756555,0.999537761444152
"S5537",0.998395027262296,0.997687301217309,0.999137652848782,0.999137652848782,0.999137652848782,0.999274909541696,0.99952614770489,0.99952614770489,0.999372834845558,0.999170133261701,0.999775943399523,1,0.999896287818763,0.999805955068733
"S5603",0.99810568092252,0.997336857563217,0.998811317076689,0.998811317076689,0.998811317076689,0.998979258566878,0.999197006283718,0.999197006283718,0.999016410134366,0.99881174911943,0.999774776756555,0.999896287818763,1,0.999920316829553
"S5648",0.997830575276306,0.996985352692802,0.998478114006304,0.998478114006304,0.998478114006304,0.998636111722785,0.999001332983726,0.999001332983726,0.998801314150026,0.998568040162339,0.999537761444152,0.999805955068733,0.999920316829553,1
