"","S1112","S1265","S1355","S1387","S1392","S1414","S1416"
"S1112",1,0.561471961131911,0.541666666666667,0.535078827378073,0.451210723856131,0.519797203140489,0.519797203140489
"S1265",0.561471961131911,1,0.709980103609517,0.957142716980526,0.918831083176826,0.932562726996798,0.932562726996798
"S1355",0.541666666666667,0.709980103609517,1,0.697775251651788,0.70046031585526,0.734213549435941,0.734213549435941
"S1387",0.535078827378073,0.957142716980526,0.697775251651788,1,0.97419232972219,0.966660040714535,0.966660040714535
"S1392",0.451210723856131,0.918831083176826,0.70046031585526,0.97419232972219,1,0.985981668956733,0.985981668956733
"S1414",0.519797203140489,0.932562726996798,0.734213549435941,0.966660040714535,0.985981668956733,1,1
"S1416",0.519797203140489,0.932562726996798,0.734213549435941,0.966660040714535,0.985981668956733,1,1
