"","S7985","S7986","S7989","S8007","S8017","S8023","S8033","S8052","S8053","S8065","S8074"
"S7985",1,0.99996391387175,0.999943671362134,0.999943189603195,0.999943189603195,0.999843086065628,0.999720456326065,0.999533471268092,0.999533471268092,0.999078621797345,0.99907982064053
"S7986",0.99996391387175,1,0.999949641159132,0.999925418749994,0.999925418749994,0.999858205141687,0.999774580295364,0.999539591956156,0.999539591956156,0.999152519956639,0.999113547397388
"S7989",0.999943671362134,0.999949641159132,1,0.999942729691267,0.999942729691267,0.999930913779368,0.999839731140634,0.999667456253739,0.999667456253739,0.999280032601643,0.999270194746762
"S8007",0.999943189603195,0.999925418749994,0.999942729691267,1,1,0.999900052324461,0.99979976025786,0.999624383833867,0.999624383833867,0.999268902522656,0.999236518325985
"S8017",0.999943189603195,0.999925418749994,0.999942729691267,1,1,0.999900052324461,0.99979976025786,0.999624383833867,0.999624383833867,0.999268902522656,0.999236518325985
"S8023",0.999843086065628,0.999858205141687,0.999930913779368,0.999900052324461,0.999900052324461,1,0.999960548616306,0.999837754365891,0.999837754365891,0.999616138621594,0.999590901331741
"S8033",0.999720456326065,0.999774580295364,0.999839731140634,0.99979976025786,0.99979976025786,0.999960548616306,1,0.999857012738488,0.999857012738488,0.999699009156235,0.999677027101252
"S8052",0.999533471268092,0.999539591956156,0.999667456253739,0.999624383833867,0.999624383833867,0.999837754365891,0.999857012738488,1,1,0.999864950927897,0.999902883564611
"S8053",0.999533471268092,0.999539591956156,0.999667456253739,0.999624383833867,0.999624383833867,0.999837754365891,0.999857012738488,1,1,0.999864950927897,0.999902883564611
"S8065",0.999078621797345,0.999152519956639,0.999280032601643,0.999268902522656,0.999268902522656,0.999616138621594,0.999699009156235,0.999864950927897,0.999864950927897,1,0.999963757921147
"S8074",0.99907982064053,0.999113547397388,0.999270194746762,0.999236518325985,0.999236518325985,0.999590901331741,0.999677027101252,0.999902883564611,0.999902883564611,0.999963757921147,1
