"","S6784","S6810","S6811","S6815","S6879","S6883","S6905","S6909","S6945","S7043","S7105"
"S6784",1,0.162024757906974,0.160746092198178,0.22657493540305,0.198146930367555,0.232018549008479,0.259294939751402,0.259294939751402,0.274348254619536,0.278453167801858,0.375753611342164
"S6810",0.162024757906974,1,0.999994060025812,0.921089312359419,0.986273474157186,0.969595168151754,0.991218248364346,0.991218248364346,0.84786494695952,0.952028668559641,0.890874369779801
"S6811",0.160746092198178,0.999994060025812,1,0.921865646830657,0.986438008187709,0.969912295406932,0.99113130207441,0.99113130207441,0.848667787600766,0.952307385143368,0.890873946662276
"S6815",0.22657493540305,0.921089312359419,0.921865646830657,1,0.946016415224826,0.979674946769796,0.916551550918907,0.916551550918907,0.948985488627338,0.957660350717698,0.898652462346453
"S6879",0.198146930367555,0.986273474157186,0.986438008187709,0.946016415224826,1,0.989433299955831,0.987149305458614,0.987149305458614,0.898462559052737,0.970223687294029,0.914883433253452
"S6883",0.232018549008479,0.969595168151754,0.969912295406932,0.979674946769796,0.989433299955831,1,0.969963037674096,0.969963037674096,0.940912885364138,0.981533814927873,0.933783295921176
"S6905",0.259294939751402,0.991218248364346,0.99113130207441,0.916551550918907,0.987149305458614,0.969963037674096,1,1,0.861861078973504,0.965812582909154,0.924455348078135
"S6909",0.259294939751402,0.991218248364346,0.99113130207441,0.916551550918907,0.987149305458614,0.969963037674096,1,1,0.861861078973504,0.965812582909154,0.924455348078135
"S6945",0.274348254619536,0.84786494695952,0.848667787600766,0.948985488627338,0.898462559052737,0.940912885364138,0.861861078973504,0.861861078973504,1,0.937298123413916,0.938939793624395
"S7043",0.278453167801858,0.952028668559641,0.952307385143368,0.957660350717698,0.970223687294029,0.981533814927873,0.965812582909154,0.965812582909154,0.937298123413916,1,0.964273418889333
"S7105",0.375753611342164,0.890874369779801,0.890873946662276,0.898652462346453,0.914883433253452,0.933783295921176,0.924455348078135,0.924455348078135,0.938939793624395,0.964273418889333,1
