"","S6809","S6812","S6817","S6831","S6833","S6837","S6840","S6841","S6842","S6844","S6850","S6851","S6853","S6855","S6857","S6859","S6860","S6863","S6869","S6870","S6882","S6897","S6898","S6900","S6959","S6964"
"S6809",1,0.906230848887455,0.882747311230193,0.978886220172804,0.845835765186961,0.622745312923547,0.909086870952902,0.952915430365129,0.784839235577615,0.732929349089729,0.897070056961203,0.918597884221281,0.925355767312639,0.135948820764562,0.838579819797646,0.838606543145779,0.939166944749588,0.94412070173466,0.936513403760575,0.965779684734601,0.959998436066456,0.948832253031718,0.825361403155817,0.941477790321137,0.964447871391096,0.956403271233491
"S6812",0.906230848887455,1,0.996113386854269,0.929459436804489,0.935132118906604,0.752009017010559,0.94381434216802,0.989370839745954,0.867577550672003,0.840688916896984,0.953782501544456,0.98313266714255,0.988194653263193,0.249050690884294,0.955826023930746,0.955845306693358,0.975886120935848,0.944565709706807,0.968324997715023,0.928383981938642,0.946181060409408,0.936195464358684,0.949533169041599,0.935829690673237,0.871137999375418,0.917605899644571
"S6817",0.882747311230193,0.996113386854269,1,0.913807096508363,0.939048272044393,0.788274578807539,0.945115955899604,0.980020327969667,0.888001833194483,0.865604930483578,0.963208791567169,0.978504271181642,0.983237433577968,0.292983407853699,0.954393799571285,0.954402164259863,0.97374083981059,0.931802035717922,0.964965691468222,0.912861800602913,0.933769968008371,0.929114261917055,0.950290407687297,0.928338870296393,0.857034796648953,0.913329119452519
"S6831",0.978886220172804,0.929459436804489,0.913807096508363,1,0.83745433898944,0.638305645879315,0.92798139970987,0.96012336498308,0.792535693688614,0.749737906978515,0.908873492646942,0.937387328091603,0.943118910493828,0.106388655029014,0.861219807132452,0.861257884693381,0.97103750499057,0.977415709883704,0.952839465141976,0.980995199630277,0.989028075289441,0.983192077133945,0.849916762427188,0.975237709570477,0.970483492626189,0.986866242822873
"S6833",0.845835765186961,0.935132118906604,0.939048272044393,0.83745433898944,1,0.822050763313152,0.948291822287332,0.937663603689494,0.95181509362029,0.931705674070816,0.95015174738377,0.962343539516347,0.960352337735007,0.538403281230477,0.866874187531297,0.866897301030188,0.897382926210993,0.827287437555954,0.894269348001819,0.878601271020084,0.871898878033165,0.87955960973134,0.857803127373959,0.882439508646272,0.814179527457638,0.845984311895213
"S6837",0.622745312923547,0.752009017010559,0.788274578807539,0.638305645879315,0.822050763313152,1,0.805329595162006,0.738139031113127,0.834366738194153,0.904554717397282,0.828019770004559,0.746293984613354,0.757084801351057,0.541408053536098,0.734618941082822,0.734526991847432,0.709316889561066,0.627987595762431,0.749019536889023,0.649477539602469,0.651738392217198,0.670612494612019,0.740186317817119,0.673226677204547,0.648990259943351,0.702691873017445
"S6840",0.909086870952902,0.94381434216802,0.945115955899604,0.92798139970987,0.948291822287332,0.805329595162006,1,0.960628933473871,0.940622733491257,0.878128079839082,0.978961468198079,0.976872498630704,0.975470842842228,0.41945443178792,0.866287156663036,0.866293037800205,0.94893233057141,0.922516097662019,0.943531406808179,0.945528663153199,0.952376093410017,0.951516642027354,0.857519896706093,0.962295863914109,0.920386828109464,0.948730512740402
"S6841",0.952915430365129,0.989370839745954,0.980020327969667,0.96012336498308,0.937663603689494,0.738139031113127,0.960628933473871,1,0.879473557240881,0.84167693895229,0.963373318693417,0.986797337613487,0.992477904559855,0.24577299801753,0.9386674776143,0.938688452367675,0.983259239106046,0.958219967224978,0.978143516114124,0.958260018101445,0.968329489377174,0.956161918330691,0.930409233475386,0.956557858533702,0.914089195032903,0.947367272253677
"S6842",0.784839235577615,0.867577550672003,0.888001833194483,0.792535693688614,0.95181509362029,0.834366738194153,0.940622733491257,0.879473557240881,1,0.925876547709498,0.954859223093312,0.913713128946973,0.90901885984311,0.626453975601368,0.793195835028797,0.793184645452624,0.869040991660037,0.784391858134831,0.859194937036878,0.823815244029022,0.836872119873553,0.845035335314601,0.790024307865643,0.856810231979687,0.77848054268279,0.835653515044235
"S6844",0.732929349089729,0.840688916896984,0.865604930483578,0.749737906978515,0.931705674070816,0.904554717397282,0.878128079839082,0.84167693895229,0.925876547709498,1,0.896873627656822,0.86329167647414,0.868788798360857,0.576600485312883,0.818575874431332,0.818593172001884,0.818299502983575,0.7288831494825,0.831439880851493,0.780096726656776,0.776071219970128,0.797847927189213,0.816252232405373,0.789162336079406,0.728014626716997,0.790687804413347
