"","S6785","S6791","S6793","S6795","S6796","S6797","S6798","S6806","S6816","S6821","S6835","S6836","S6861","S6862","S6866","S6867","S6872","S6931","S6955","S7041","S7054"
"S6785",1,0.9999025036994,0.999855475033191,0.999915504982854,0.999855475033191,0.999855475033191,0.999867663302729,0.999799587789197,0.999714614882543,0.999708334803373,0.99956332306897,0.999420686090535,0.999322006848722,0.999322006848722,0.999129137206313,0.999129137206313,0.998916534959509,0.99777129753113,0.99777129753113,0.998002899621328,0.997409799769709
"S6791",0.9999025036994,1,0.999954888339631,0.99991383119652,0.999954888339631,0.999954888339631,0.999939363806343,0.999864246884056,0.999881854260393,0.999774143891254,0.99974520489318,0.999648500165706,0.999590148658625,0.999590148658625,0.99948485294991,0.99948485294991,0.999306853478615,0.998232543415604,0.998232543415604,0.998468888038436,0.997812177688122
"S6793",0.999855475033191,0.999954888339631,1,0.999911939698225,1,1,0.999928767418468,0.999931004661665,0.99991580041083,0.999856116672218,0.999843634772057,0.999793866589293,0.999700280218663,0.999700280218663,0.999624169358483,0.999624169358483,0.999423169629849,0.998344453901939,0.998344453901939,0.998523388525788,0.997916946792122
"S6795",0.999915504982854,0.99991383119652,0.999911939698225,1,0.999911939698225,0.999911939698225,0.999965374551066,0.999945228287486,0.99986020387085,0.999890056586518,0.99980090689394,0.999714436158511,0.99963506784922,0.99963506784922,0.999446972697094,0.999446972697094,0.999354257219352,0.998477918095116,0.998477918095116,0.998607447220538,0.998138070401136
"S6796",0.999855475033191,0.999954888339631,1,0.999911939698225,1,1,0.999928767418468,0.999931004661665,0.99991580041083,0.999856116672218,0.999843634772057,0.999793866589293,0.999700280218663,0.999700280218663,0.999624169358483,0.999624169358483,0.999423169629849,0.998344453901939,0.998344453901939,0.998523388525788,0.997916946792122
"S6797",0.999855475033191,0.999954888339631,1,0.999911939698225,1,1,0.999928767418468,0.999931004661665,0.99991580041083,0.999856116672218,0.999843634772057,0.999793866589293,0.999700280218663,0.999700280218663,0.999624169358483,0.999624169358483,0.999423169629849,0.998344453901939,0.998344453901939,0.998523388525788,0.997916946792122
"S6798",0.999867663302729,0.999939363806343,0.999928767418468,0.999965374551066,0.999928767418468,0.999928767418468,1,0.999926255095193,0.999933721911872,0.999910863941122,0.99983105074278,0.999756843344798,0.999679421044143,0.999679421044143,0.999517584672247,0.999517584672247,0.999442716870452,0.998519100628445,0.998519100628445,0.998677871894474,0.998081848476556
"S6806",0.999799587789197,0.999864246884056,0.999931004661665,0.999945228287486,0.999931004661665,0.999931004661665,0.999926255095193,1,0.999895652496003,0.99994225167384,0.999901320078071,0.999860842500655,0.999759036470678,0.999759036470678,0.999645646457355,0.999645646457355,0.99949835709655,0.998616460965931,0.998616460965931,0.998707292972409,0.998226184339243
"S6816",0.999714614882543,0.999881854260393,0.99991580041083,0.99986020387085,0.99991580041083,0.99991580041083,0.999933721911872,0.999895652496003,1,0.999911571655714,0.999920842339032,0.999849278385603,0.999819396204542,0.999819396204542,0.999691177065419,0.999691177065419,0.99962290587798,0.998641585864486,0.998641585864486,0.998844265276771,0.998208430715342
"S6821",0.999708334803373,0.999774143891254,0.999856116672218,0.999890056586518,0.999856116672218,0.999856116672218,0.999910863941122,0.99994225167384,0.999911571655714,1,0.999922869602519,0.999829730220581,0.999715428915109,0.999715428915109,0.999536207018198,0.999536207018198,0.999490551836037,0.998572749644868,0.998572749644868,0.998676474811993,0.998158282516855
