"","S10015","S10038","S11887","S11924","S11928","S12211","S12290","S12298","S12306","S12317"
"S10015",1,0.999652870281928,0.999761429908709,0.999722522406472,0.999724443843722,0.999870567285021,0.999722522406472,0.999912234200416,0.999912234200416,0.999722522406472
"S10038",0.999652870281928,1,0.999820865010628,0.99948953994862,0.999847562284587,0.999703725735347,0.99948953994862,0.99963688994801,0.99963688994801,0.99948953994862
"S11887",0.999761429908709,0.999820865010628,1,0.99929997678264,0.99994999410084,0.999691631526652,0.99929997678264,0.999672154115325,0.999672154115325,0.99929997678264
"S11924",0.999722522406472,0.99948953994862,0.99929997678264,1,0.999268439626345,0.999804619712158,1,0.999685236743097,0.999685236743097,1
"S11928",0.999724443843722,0.999847562284587,0.99994999410084,0.999268439626345,1,0.999699717892522,0.999268439626345,0.999698263000014,0.999698263000014,0.999268439626345
"S12211",0.999870567285021,0.999703725735347,0.999691631526652,0.999804619712158,0.999699717892522,1,0.999804619712158,0.999921767661788,0.999921767661788,0.999804619712158
"S12290",0.999722522406472,0.99948953994862,0.99929997678264,1,0.999268439626345,0.999804619712158,1,0.999685236743097,0.999685236743097,1
"S12298",0.999912234200416,0.99963688994801,0.999672154115325,0.999685236743097,0.999698263000014,0.999921767661788,0.999685236743097,1,1,0.999685236743097
"S12306",0.999912234200416,0.99963688994801,0.999672154115325,0.999685236743097,0.999698263000014,0.999921767661788,0.999685236743097,1,1,0.999685236743097
"S12317",0.999722522406472,0.99948953994862,0.99929997678264,1,0.999268439626345,0.999804619712158,1,0.999685236743097,0.999685236743097,1
