"","S2805","S2867","S2896","S2966","S2976","S3039","S3090","S3103","S3109","S3115","S3149","S3151","S3154","S3165","S3176","S3191","S3217","S3224","S3253","S3269","S3271","S3282","S3338","S3346","S3410"
"S2805",1,0.987005988995702,0.946994158096926,0.886228663065134,0.979756268445081,0.862338535098065,0.877553609522579,0.859310777515226,0.859310777515226,0.859310777515226,0.984932707441698,0.983999737199553,0.984932707441698,0.930151391717218,0.989720435873911,0.989136279345862,0.743548208412961,0.994630284210581,0.0191933538203304,0.826021925759281,0.943312858929027,0.956966909437917,0.643176377842058,0.951485881274078,0.834764622833471
"S2867",0.987005988995702,1,0.954468872328906,0.909902000846032,0.972888417387088,0.89076916018644,0.896962211835399,0.886493906995331,0.886493906995331,0.886493906995331,0.956196981674203,0.954441063901771,0.956196981674203,0.891554061836175,0.964357707902002,0.962929455256477,0.792200560703013,0.983011670693331,0.116634484665516,0.832474762827243,0.962883407898183,0.939420717434586,0.653710627129923,0.93038441564745,0.786799885073
"S2896",0.946994158096926,0.954468872328906,1,0.984718878424845,0.906315338680095,0.973643160382515,0.846044262283967,0.971264918958382,0.971264918958382,0.971264918958382,0.906750051129886,0.905183784721648,0.906750051129886,0.831719376618941,0.917665711358011,0.919629287426979,0.895165311837233,0.932384841076045,0.149502482793576,0.834058966295155,0.989476411074119,0.958019309260642,0.643586090140004,0.963765685683999,0.828166727074375
"S2966",0.886228663065134,0.909902000846032,0.984718878424845,1,0.83463309625828,0.99753008211417,0.799090792302371,0.996794248330365,0.996794248330365,0.996794248330365,0.827032745079564,0.82477167027501,0.827032745079564,0.729840683305393,0.843312326715401,0.842973635023917,0.95553101775314,0.866268707605361,0.223925210527873,0.796268174944095,0.974618829692146,0.910918998953478,0.611381028466335,0.921951162246245,0.772554434504327
"S2976",0.979756268445081,0.972888417387088,0.906315338680095,0.83463309625828,1,0.810861685666173,0.840249356756097,0.80829124385386,0.80829124385386,0.80829124385386,0.975816634051399,0.974317207263159,0.975816634051399,0.948759002618525,0.980188874615638,0.974988329669494,0.683882444537592,0.988638728750869,-0.0428890336673015,0.758339034793894,0.927514365025602,0.90076899442137,0.529278792471456,0.893083650065529,0.797279345088775
"S3039",0.862338535098065,0.89076916018644,0.973643160382515,0.99753008211417,0.810861685666173,1,0.771511220289715,0.999542711270244,0.999542711270244,0.999542711270244,0.799540961947952,0.797085165821421,0.799540961947952,0.698704745187384,0.817208349800248,0.814318613948576,0.967634361710731,0.844102396782891,0.259789400230877,0.774970808087847,0.965558059027828,0.891994811801431,0.585130343474511,0.903898627922963,0.745875424734366
"S3090",0.877553609522579,0.896962211835399,0.846044262283967,0.799090792302371,0.840249356756097,0.771511220289715,1,0.762284114629556,0.762284114629556,0.762284114629556,0.880775861007484,0.880925300457184,0.880775861007484,0.807208417801371,0.878361593444123,0.891362608461815,0.645778678040482,0.87771538927594,0.255771175656031,0.962857670978218,0.829270254736981,0.894344853111932,0.840842421766643,0.883777909928577,0.755020985392533
"S3103",0.859310777515226,0.886493906995331,0.971264918958382,0.996794248330365,0.80829124385386,0.999542711270244,0.762284114629556,1,1,1,0.796346566213802,0.79381302465141,0.796346566213802,0.693027749652217,0.814740679722193,0.810813208635941,0.970244670015847,0.840579887737429,0.244887277573409,0.763721099998954,0.96377783626391,0.885508217641862,0.568539032831589,0.899639800805753,0.745649789425604
"S3109",0.859310777515226,0.886493906995331,0.971264918958382,0.996794248330365,0.80829124385386,0.999542711270244,0.762284114629556,1,1,1,0.796346566213802,0.79381302465141,0.796346566213802,0.693027749652217,0.814740679722193,0.810813208635941,0.970244670015847,0.840579887737429,0.244887277573409,0.763721099998954,0.96377783626391,0.885508217641862,0.568539032831589,0.899639800805753,0.745649789425604
"S3115",0.859310777515226,0.886493906995331,0.971264918958382,0.996794248330365,0.80829124385386,0.999542711270244,0.762284114629556,1,1,1,0.796346566213802,0.79381302465141,0.796346566213802,0.693027749652217,0.814740679722193,0.810813208635941,0.970244670015847,0.840579887737429,0.244887277573409,0.763721099998954,0.96377783626391,0.885508217641862,0.568539032831589,0.899639800805753,0.745649789425604
