"","S10015","S10038","S11887","S11924","S11928","S12211","S12290","S12298","S12306","S12317"
"S10015",1,0.922371050425506,0.962984392168975,0.959819256087476,0.976812224797595,0.921923004383746,0.927018496679913,0.973609358025881,0.92977616757865,0.927042886050316
"S10038",0.922371050425506,1,0.969370958428943,0.905107276754225,0.948552736031939,0.973910893528566,0.984964404335567,0.935517527592978,0.98993222641178,0.985062586983721
"S11887",0.962984392168975,0.969370958428943,1,0.960177919202381,0.993853548055346,0.937610945835097,0.951408369794483,0.98389535713178,0.959150025800886,0.951566004826587
"S11924",0.959819256087476,0.905107276754225,0.960177919202381,1,0.967442866967726,0.911587377457929,0.92162551939626,0.979689896483339,0.925958398993934,0.921755071609474
"S11928",0.976812224797595,0.948552736031939,0.993853548055346,0.967442866967726,1,0.928045835114311,0.938976557029496,0.987185236679864,0.945156807934277,0.939098413683526
"S12211",0.921923004383746,0.973910893528566,0.937610945835097,0.911587377457929,0.928045835114311,1,0.997626409057769,0.918336830565837,0.994462360081538,0.997569877562659
"S12290",0.927018496679913,0.984964404335567,0.951408369794483,0.92162551939626,0.938976557029496,0.997626409057769,1,0.931699041332966,0.999206510157214,0.999999571988049
"S12298",0.973609358025881,0.935517527592978,0.98389535713178,0.979689896483339,0.987185236679864,0.918336830565837,0.931699041332966,1,0.939050762090992,0.931883380018984
"S12306",0.92977616757865,0.98993222641178,0.959150025800886,0.925958398993934,0.945156807934277,0.994462360081538,0.999206510157214,0.939050762090992,1,0.99923971454232
"S12317",0.927042886050316,0.985062586983721,0.951566004826587,0.921755071609474,0.939098413683526,0.997569877562659,0.999999571988049,0.931883380018984,0.99923971454232,1
