"","S7300","S7303","S7304","S7305","S7323","S7328","S7329","S7332","S7346","S7347","S7350","S7352"
"S7300",1,1,0.999920281008114,0.999920281008114,0.999922818101938,0.99978233883306,0.99978233883306,0.999458987757419,0.99944883198432,0.999397731506008,0.999397731506008,0.999397731506008
"S7303",1,1,0.999920281008114,0.999920281008114,0.999922818101938,0.99978233883306,0.99978233883306,0.999458987757419,0.99944883198432,0.999397731506008,0.999397731506008,0.999397731506008
"S7304",0.999920281008114,0.999920281008114,1,1,0.999873588010467,0.999896788805334,0.999896788805334,0.999637077512422,0.999561824145762,0.999547694003929,0.999547694003929,0.999547694003929
"S7305",0.999920281008114,0.999920281008114,1,1,0.999873588010467,0.999896788805334,0.999896788805334,0.999637077512422,0.999561824145762,0.999547694003929,0.999547694003929,0.999547694003929
"S7323",0.999922818101938,0.999922818101938,0.999873588010467,0.999873588010467,1,0.999900924189052,0.999900924189052,0.999685625567405,0.999647403598174,0.999664945760195,0.999664945760195,0.999664945760195
"S7328",0.99978233883306,0.99978233883306,0.999896788805334,0.999896788805334,0.999900924189052,1,1,0.999861049637207,0.99977948632917,0.999816003228406,0.999816003228406,0.999816003228406
"S7329",0.99978233883306,0.99978233883306,0.999896788805334,0.999896788805334,0.999900924189052,1,1,0.999861049637207,0.99977948632917,0.999816003228406,0.999816003228406,0.999816003228406
"S7332",0.999458987757419,0.999458987757419,0.999637077512422,0.999637077512422,0.999685625567405,0.999861049637207,0.999861049637207,1,0.99989862863924,0.99994454412932,0.99994454412932,0.99994454412932
"S7346",0.99944883198432,0.99944883198432,0.999561824145762,0.999561824145762,0.999647403598174,0.99977948632917,0.99977948632917,0.99989862863924,1,0.999903284098208,0.999903284098208,0.999903284098208
"S7347",0.999397731506008,0.999397731506008,0.999547694003929,0.999547694003929,0.999664945760195,0.999816003228406,0.999816003228406,0.99994454412932,0.999903284098208,1,1,1
"S7350",0.999397731506008,0.999397731506008,0.999547694003929,0.999547694003929,0.999664945760195,0.999816003228406,0.999816003228406,0.99994454412932,0.999903284098208,1,1,1
"S7352",0.999397731506008,0.999397731506008,0.999547694003929,0.999547694003929,0.999664945760195,0.999816003228406,0.999816003228406,0.99994454412932,0.999903284098208,1,1,1
