"","S1468","S1481","S1548","S1578","S3412","S3440","S5166","S5193","S5212","S5448","S5449","S5471","S5472","S5490","S5546"
"S1468",1,0.217905808873527,0.235696346675237,-0.595006593667793,-0.481913725616649,-0.168528044361405,NA,-0.327630394609078,-0.309425092664906,NA,0.250249997876941,-0.403307555485695,-0.00410571469681795,-0.138016286869501,-0.240843872024329
"S1481",0.217905808873527,1,0.122318308638794,0.161090465865876,-0.0713285776509081,0.719082772494198,NA,0.0828176271832865,0.358774302801335,NA,0.537065951112915,-0.341755765334572,0.0288171561847139,-0.166215782944826,0.267386844267262
"S1548",0.235696346675237,0.122318308638794,1,0.217543096648589,0.010175059700069,-0.366113451949335,NA,-0.752280387724974,-0.0617769000751599,NA,0.375258533246684,-0.207638283798691,-0.471694920245182,-0.326132351942896,0.0408907678384299
"S1578",-0.595006593667793,0.161090465865876,0.217543096648589,1,0.101605437704329,0.4461618341109,NA,0.30348787549635,0.323227275547581,NA,0.369122245960627,0.382671724012761,-0.473453755214862,0.00566744036126245,0.339680459729444
"S3412",-0.481913725616649,-0.0713285776509081,0.010175059700069,0.101605437704329,1,-0.0587132003926511,NA,-0.0355924914098274,-0.271969764555214,NA,-0.0205682590771,-0.132465281393726,0.280623355572581,0.290831717500126,0.676434051103774
"S3440",-0.168528044361405,0.719082772494198,-0.366113451949335,0.4461618341109,-0.0587132003926511,1,NA,0.597017865198991,0.473055777505185,NA,0.497182791980555,-0.0249117466056028,-0.0553247450802466,0.0132237222301876,0.349694732288871
"S5166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S5193",-0.327630394609078,0.0828176271832865,-0.752280387724974,0.30348787549635,-0.0355924914098274,0.597017865198991,NA,1,0.0955429922781669,NA,-0.0147674655170027,0.415875918651959,0.206348835035752,0.167127019441591,0.280289187365221
"S5212",-0.309425092664906,0.358774302801335,-0.0617769000751599,0.323227275547581,-0.271969764555214,0.473055777505185,NA,0.0955429922781669,1,NA,-0.0521321224841841,0.443279820554531,-0.0824503578255253,0.0983513693902289,-0.371972768428038
"S5448",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S5449",0.250249997876941,0.537065951112915,0.375258533246684,0.369122245960627,-0.0205682590771,0.497182791980555,NA,-0.0147674655170027,-0.0521321224841841,NA,1,-0.473191746737839,-0.309508503675344,-0.431590004309016,0.483522690716883
"S5471",-0.403307555485695,-0.341755765334572,-0.207638283798691,0.382671724012761,-0.132465281393726,-0.0249117466056028,NA,0.415875918651959,0.443279820554531,NA,-0.473191746737839,1,0.0286227964832684,0.504378493010761,-0.318438408942264
"S5472",-0.00410571469681795,0.0288171561847139,-0.471694920245182,-0.473453755214862,0.280623355572581,-0.0553247450802466,NA,0.206348835035752,-0.0824503578255253,NA,-0.309508503675344,0.0286227964832684,1,0.369090929114693,-0.133632730352634
"S5490",-0.138016286869501,-0.166215782944826,-0.326132351942896,0.00566744036126245,0.290831717500126,0.0132237222301876,NA,0.167127019441591,0.0983513693902289,NA,-0.431590004309016,0.504378493010761,0.369090929114693,1,-0.146526815278259
"S5546",-0.240843872024329,0.267386844267262,0.0408907678384299,0.339680459729444,0.676434051103774,0.349694732288871,NA,0.280289187365221,-0.371972768428038,NA,0.483522690716883,-0.318438408942264,-0.133632730352634,-0.146526815278259,1
