"","S7831","S7850","S7878","S7935","S7987","S8057","S8064","S8079","S8081","S8084","S8143","S8146","S8174","S8177","S8180","S8261","S8272","S8289","S8321","S8329","S8335","S8337","S8338","S8345","S8346","S8347","S8354","S8356","S8370","S8383"
"S7831",1,0.811749784400296,0.872849667363591,0.893701820397223,0.898196527344402,0.846622543530326,0.891566299461443,0.889844712317423,0.920684271792728,0.955263056276974,0.901227171500203,0.962686688481996,0.910709584912576,0.928545595110176,0.978888935039669,0.919653217199332,0.928237519690764,0.84262088111367,0.92145617111418,0.693460893390677,0.8274645495578,0.910163147757573,0.841871880964861,0.712722237247759,0.682816462209214,0.891284640439816,0.700322065453979,0.838694122218084,0.701342814585809,0.837698069274232
"S7850",0.811749784400296,1,0.971166821770823,0.956305280175894,0.962241269963341,0.96810891188554,0.922560756345044,0.924976694974502,0.643756503338161,0.901594659332101,0.965084411755105,0.911470588160255,0.92593241452682,0.721930317562429,0.852365102388531,0.700104426694521,0.709353024649363,0.623513124623658,0.781713438365403,0.484296963886316,0.63353147469295,0.76457327443015,0.670371492524012,0.495179622118254,0.471047386620139,0.690246359317066,0.508630909988174,0.741633586110817,0.513202680216489,0.716574259027557
"S7878",0.872849667363591,0.971166821770823,1,0.988957218820118,0.977507722437846,0.991851374444045,0.954545144721273,0.97705891941204,0.743005672074358,0.961959266558975,0.969511886903615,0.949721121604173,0.974778946418804,0.808438574394814,0.922651504786691,0.795497180821714,0.799937939138086,0.70377488077304,0.839002372821339,0.576590630914648,0.701804499973421,0.845004470834336,0.742152160894196,0.591640637872034,0.564423574780984,0.742028792688099,0.607805093957247,0.788528838821393,0.615290616502657,0.75167243756903
"S7935",0.893701820397223,0.956305280175894,0.988957218820118,1,0.980368735342747,0.987437986756349,0.984300311921016,0.960876333605631,0.738216545397138,0.961781661454562,0.951147534344054,0.963769498086227,0.962706466500939,0.796019102789904,0.936768015226173,0.792578270204509,0.79378747794519,0.703544286706964,0.828508467172564,0.549735991883077,0.714091715264037,0.830190833000004,0.745154841639459,0.576430252453399,0.5384408757856,0.748609234224321,0.591591530845076,0.758347436712007,0.597974470670067,0.774544315067159
"S7987",0.898196527344402,0.962241269963341,0.977507722437846,0.980368735342747,1,0.983171224921243,0.962574584603453,0.945352707525087,0.751009984316739,0.946266343267555,0.9812967184141,0.97271765939224,0.943757312489496,0.790530342278731,0.939640925259284,0.769799963630884,0.781402511836202,0.666851835124208,0.819790698206951,0.521007373568433,0.671757006215977,0.806857463334525,0.688501742331818,0.545130405207113,0.508194051335066,0.726193298254691,0.5534106100903,0.735328493029303,0.559073109691172,0.728649564724369
"S8057",0.846622543530326,0.96810891188554,0.991851374444045,0.987437986756349,0.983171224921243,1,0.957986086004177,0.964152551853065,0.708407469699461,0.940275428433188,0.957196766071948,0.936774436374975,0.952662264495511,0.767172501473129,0.903975120299014,0.757000601659936,0.760969223757569,0.644710838388382,0.793494760208846,0.52844033557097,0.668348705900712,0.800219627336511,0.693162260598272,0.553066606111478,0.516530528626753,0.699753765684841,0.57205577614916,0.736391051841263,0.580901013954721,0.72436756473728
"S8064",0.891566299461443,0.922560756345044,0.954545144721273,0.984300311921016,0.962574584603453,0.957986086004177,1,0.910436705495518,0.707961270466366,0.925907325628024,0.91474208093796,0.952008987098314,0.909175857360031,0.752713446038169,0.921579337013603,0.75955151759658,0.754585091878726,0.641839277421509,0.766380800999601,0.473346627148175,0.6577149314989,0.775220677471306,0.693466179501701,0.504453395994821,0.461407182419364,0.703972434804748,0.518905932005262,0.687840493729904,0.524146847716548,0.728658381193971
"S8079",0.889844712317423,0.924976694974502,0.97705891941204,0.960876333605631,0.945352707525087,0.964152551853065,0.910436705495518,1,0.822402608810484,0.979138458973841,0.94379742198222,0.932961696470636,0.9871902696711,0.875804114748213,0.932332939211965,0.864787467527658,0.869611122726084,0.78115714407833,0.894025857389006,0.689310003572493,0.79752037358889,0.8978072505103,0.83126426000586,0.700469668014852,0.67844549028031,0.811088915662464,0.708052673216218,0.858289768588359,0.718789793793651,0.814076437690077
"S8081",0.920684271792728,0.643756503338161,0.743005672074358,0.738216545397138,0.751009984316739,0.708407469699461,0.707961270466366,0.822402608810484,1,0.875859732347553,0.778280296255073,0.819298194555739,0.824566203530801,0.984076883671384,0.887207668396062,0.97309047014498,0.982373718608436,0.884121880714489,0.918013799323547,0.874388480822672,0.880423991142947,0.941748484906931,0.877866086048302,0.878269682660822,0.866844207383927,0.914657293586923,0.860972837971991,0.899921450252231,0.864908884016137,0.822931247727231
"S8084",0.955263056276974,0.901594659332101,0.961959266558975,0.961781661454562,0.946266343267555,0.940275428433188,0.925907325628024,0.979138458973841,0.875859732347553,1,0.94811421016833,0.971614926679497,0.989875745668676,0.920709324707662,0.97921436707098,0.912371443133466,0.918155861703561,0.847071380659998,0.939441859865816,0.7204073079528,0.840083452811393,0.938270092805408,0.869046765419016,0.73828329196038,0.710283371528559,0.868613523516414,0.740740157629923,0.878777743564042,0.744274599740693,0.857548199575091
