"","S6784","S6810","S6811","S6815","S6879","S6883","S6905","S6909","S6945","S7043","S7105"
"S6784",1,-0.151810201422745,-0.144817441787498,-0.389923319457165,-0.527087121103391,0.106427673399663,0.519076566323939,-0.178013040835277,0.692062188875335,-0.224459333813233,NA
"S6810",-0.151810201422745,1,0.901635786922996,-0.100237942618459,-0.0216483115745708,0.152739507569934,0.198497309991989,0.239055418986883,0.302004159499871,0.394848172733264,NA
"S6811",-0.144817441787498,0.901635786922996,1,-0.0515650416502513,-0.120457213463381,-0.131645439434723,0.299537173565811,0.300967329792885,0.384240872850563,0.555521444607204,NA
"S6815",-0.389923319457165,-0.100237942618459,-0.0515650416502513,1,0.744892057756999,-0.227252094558885,0.160191459469312,-0.0504024670763028,-0.512769597267772,-0.136969698886467,NA
"S6879",-0.527087121103391,-0.0216483115745708,-0.120457213463381,0.744892057756999,1,-0.212974766793142,-0.285853693550541,-0.225024259542257,-0.732712358152967,-0.0189950681842948,NA
"S6883",0.106427673399663,0.152739507569934,-0.131645439434723,-0.227252094558885,-0.212974766793142,1,-0.250590499191379,-0.113302543557528,-0.0123454488955519,-0.375580150929294,NA
"S6905",0.519076566323939,0.198497309991989,0.299537173565811,0.160191459469312,-0.285853693550541,-0.250590499191379,1,0.20937924341093,0.630316159180423,0.00801841144829563,NA
"S6909",-0.178013040835277,0.239055418986883,0.300967329792885,-0.0504024670763028,-0.225024259542257,-0.113302543557528,0.20937924341093,1,0.439128575423735,0.70500626703191,NA
"S6945",0.692062188875335,0.302004159499871,0.384240872850563,-0.512769597267772,-0.732712358152967,-0.0123454488955519,0.630316159180423,0.439128575423735,1,0.297888134682757,NA
"S7043",-0.224459333813233,0.394848172733264,0.555521444607204,-0.136969698886467,-0.0189950681842948,-0.375580150929294,0.00801841144829563,0.70500626703191,0.297888134682757,1,NA
"S7105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
