"","Sample","X","Y","site","year","HydroBasin","Country"
"S10015_2005","S10015_2005",-2.01850797283478,1.14016855746633,"S10015",2005,"2080029400","FIN"
"S10015_2006","S10015_2006",-1.44783272687075,-1.45756526676194,"S10015",2006,"2080029400","FIN"
"S10015_2007","S10015_2007",-1.11059185886026,-1.50602258458274,"S10015",2007,"2080029400","FIN"
"S10015_2008","S10015_2008",-0.810013138887247,-1.29665168312249,"S10015",2008,"2080029400","FIN"
"S10015_2009","S10015_2009",-1.22498968058797,-1.52012021441523,"S10015",2009,"2080029400","FIN"
"S10015_2010","S10015_2010",-0.899804036943381,-1.53515055585283,"S10015",2010,"2080029400","FIN"
"S10015_2011","S10015_2011",-0.47299433187919,-1.54215842886103,"S10015",2011,"2080029400","FIN"
"S10015_2012","S10015_2012",-0.854399012959334,-1.42338265589033,"S10015",2012,"2080029400","FIN"
"S10015_2013","S10015_2013",-1.17518883674882,-1.43751515487003,"S10015",2013,"2080029400","FIN"
"S10038_2005","S10038_2005",-2.15052094894869,1.03429435869393,"S10038",2005,"2080029400","FIN"
"S10038_2006","S10038_2006",-1.13909068307378,-1.58831670688551,"S10038",2006,"2080029400","FIN"
"S10038_2007","S10038_2007",-1.60727412067119,-1.45298917052953,"S10038",2007,"2080029400","FIN"
"S10038_2008","S10038_2008",-1.40054077421346,-1.4735738238128,"S10038",2008,"2080029400","FIN"
"S10038_2009","S10038_2009",-1.30977114535104,-1.53812181378253,"S10038",2009,"2080029400","FIN"
"S10038_2010","S10038_2010",-0.991373903692672,-1.52088256036858,"S10038",2010,"2080029400","FIN"
"S10038_2011","S10038_2011",-1.18349617325541,-1.55027543901785,"S10038",2011,"2080029400","FIN"
"S10038_2012","S10038_2012",-1.45402846206956,1.15693335160309,"S10038",2012,"2080029400","FIN"
"S10038_2013","S10038_2013",-0.763193522262016,-0.211636498025672,"S10038",2013,"2080029400","FIN"
"S10089_2004","S10089_2004",-3.1161155646486,0.943956038013769,"S10089",2004,"7080049270","USA"
"S10089_2005","S10089_2005",-3.51150563411614,-0.442447834190936,"S10089",2005,"7080049270","USA"
"S10089_2006","S10089_2006",-2.68550975317304,-1.36081081170311,"S10089",2006,"7080049270","USA"
"S10089_2007","S10089_2007",-2.60980907735644,-1.38539326100635,"S10089",2007,"7080049270","USA"
"S10089_2008","S10089_2008",-2.64182905213565,-1.32420039904987,"S10089",2008,"7080049270","USA"
"S10089_2009","S10089_2009",-2.61336693732862,-1.31987812626975,"S10089",2009,"7080049270","USA"
"S10089_2010","S10089_2010",-2.71343042332602,-1.33973308336353,"S10089",2010,"7080049270","USA"
"S10089_2011","S10089_2011",-3.08660257888193,0.929234299303364,"S10089",2011,"7080049270","USA"
"S10089_2012","S10089_2012",-3.1369463325507,0.971146969827621,"S10089",2012,"7080049270","USA"
"S10089_2013","S10089_2013",-3.25108101139897,1.02889655371639,"S10089",2013,"7080049270","USA"
"S10203_2005","S10203_2005",-0.404254973533644,-1.99133000304363,"S10203",2005,"7080047060","USA"
"S10203_2006","S10203_2006",-0.00725112699283053,-1.96734815531012,"S10203",2006,"7080047060","USA"
"S10203_2009","S10203_2009",-0.0412461631588855,-1.93610598342775,"S10203",2009,"7080047060","USA"
"S10203_2004","S10203_2004",0.483796351384367,-1.91234015276375,"S10203",2004,"7080047060","USA"
"S10203_2007","S10203_2007",0.36807061313294,-1.92393192962734,"S10203",2007,"7080047060","USA"
"S10203_2008","S10203_2008",0.169777930118399,-1.94581801838242,"S10203",2008,"7080047060","USA"
"S10203_2011","S10203_2011",-0.228882983938695,-1.9286700933088,"S10203",2011,"7080047060","USA"
"S10203_2012","S10203_2012",-0.520026435828942,-1.96507028088119,"S10203",2012,"7080047060","USA"
"S10203_2013","S10203_2013",0.119859830048472,-1.96006744021215,"S10203",2013,"7080047060","USA"
"S10203_2010","S10203_2010",0.417150844404856,-1.87914258214244,"S10203",2010,"7080047060","USA"
"S1026_2005","S1026_2005",1.27158387279162,0.546939216488023,"S1026",2005,"2080033010","SWE"
"S1026_2004","S1026_2004",1.02744309461116,0.415447653607991,"S1026",2004,"2080033010","SWE"
"S1026_2006","S1026_2006",0.735458242587096,0.253652946910185,"S1026",2006,"2080033010","SWE"
"S1026_2007","S1026_2007",0.774596524581116,0.284293200178526,"S1026",2007,"2080033010","SWE"
"S1026_2008","S1026_2008",0.437796243998347,0.118680389666291,"S1026",2008,"2080033010","SWE"
"S1026_2009","S1026_2009",1.23237590230589,0.525578817127214,"S1026",2009,"2080033010","SWE"
"S1026_2010","S1026_2010",-0.512000406007607,-1.2670508000169,"S1026",2010,"2080033010","SWE"
"S1026_2011","S1026_2011",-0.58389954422481,-1.28792503392997,"S1026",2011,"2080033010","SWE"
"S1026_2012","S1026_2012",1.2695662906454,0.545838949720544,"S1026",2012,"2080033010","SWE"
"S1026_2013","S1026_2013",-0.0196548923109261,-0.0980738676061197,"S1026",2013,"2080033010","SWE"
"S1029_2007","S1029_2007",0.106035557799086,-0.0403601060111969,"S1029",2007,"2080033010","SWE"
"S1029_2011","S1029_2011",-1.09574457592352,-1.41694192515975,"S1029",2011,"2080033010","SWE"
"S1029_2005","S1029_2005",0.0722948826251061,-1.06848431976037,"S1029",2005,"2080033010","SWE"
"S1029_2006","S1029_2006",0.0347195168771876,-0.0734640116191396,"S1029",2006,"2080033010","SWE"
"S1029_2009","S1029_2009",-0.237088405719208,-1.17923559191832,"S1029",2009,"2080033010","SWE"
"S1029_2012","S1029_2012",-0.816170699606056,-1.37788007042376,"S1029",2012,"2080033010","SWE"
"S1029_2004","S1029_2004",0.508994846969106,0.152810970682718,"S1029",2004,"2080033010","SWE"
"S1029_2008","S1029_2008",-0.335291087233076,-1.21179881262569,"S1029",2008,"2080033010","SWE"
"S1029_2010","S1029_2010",-0.788281482219118,-1.34321394932752,"S1029",2010,"2080033010","SWE"
"S1029_2013","S1029_2013",-0.446069263504212,-1.24702349745724,"S1029",2013,"2080033010","SWE"
"S1031_2007","S1031_2007",0.417359565891922,0.108968627549768,"S1031",2007,"2080033010","SWE"
"S1031_2011","S1031_2011",-0.417381957744571,-1.2380769649623,"S1031",2011,"2080033010","SWE"
"S1031_2005","S1031_2005",0.0572912728573641,-1.07422707681563,"S1031",2005,"2080033010","SWE"
"S1031_2006","S1031_2006",-1.11025689073068,-1.41995555913044,"S1031",2006,"2080033010","SWE"
"S1031_2009","S1031_2009",0.318130018463833,0.0622640904801473,"S1031",2009,"2080033010","SWE"
"S1031_2012","S1031_2012",-1.35150417092366,-1.47820027908145,"S1031",2012,"2080033010","SWE"
"S1031_2004","S1031_2004",-0.614111398198123,-1.29640348729664,"S1031",2004,"2080033010","SWE"
"S1031_2008","S1031_2008",-0.136326864108671,-1.14478448054677,"S1031",2008,"2080033010","SWE"
"S1031_2010","S1031_2010",-0.400620140603232,-1.23277822396574,"S1031",2010,"2080033010","SWE"
"S1031_2013","S1031_2013",-1.17882840119398,-1.43388466319303,"S1031",2013,"2080033010","SWE"
"S10328_2007","S10328_2007",0.506550381812152,-1.85930576776652,"S10328",2007,"7080047060","USA"
"S10328_2008","S10328_2008",0.720584484248344,-1.80356215019362,"S10328",2008,"7080047060","USA"
"S10328_2004","S10328_2004",-0.516146994969379,-2.01641571561006,"S10328",2004,"7080047060","USA"
"S10328_2012","S10328_2012",-0.950323540151212,-1.88548765354875,"S10328",2012,"7080047060","USA"
"S10328_2006","S10328_2006",0.0763149711191002,-1.97829263496865,"S10328",2006,"7080047060","USA"
"S10328_2009","S10328_2009",0.942281755372646,-1.74386885511877,"S10328",2009,"7080047060","USA"
"S10328_2010","S10328_2010",0.222738786347451,-1.93309253173685,"S10328",2010,"7080047060","USA"
"S10328_2011","S10328_2011",-0.776574288331824,-1.94656840065776,"S10328",2011,"7080047060","USA"
"S10328_2013","S10328_2013",0.0907636438045963,-1.96741679742058,"S10328",2013,"7080047060","USA"
"S10328_2005","S10328_2005",0.272751577835082,-1.90050010323866,"S10328",2005,"7080047060","USA"
"S10329_2004","S10329_2004",-3.12105923786,0.958823755662195,"S10329",2004,"7080049270","USA"
"S10329_2005","S10329_2005",-3.04545722271791,0.915551047825096,"S10329",2005,"7080049270","USA"
"S10329_2006","S10329_2006",-3.06352872533201,0.940656287365838,"S10329",2006,"7080049270","USA"
"S10329_2007","S10329_2007",-2.54845434170734,-1.3491759793661,"S10329",2007,"7080049270","USA"
"S10329_2008","S10329_2008",-2.51893709778759,-1.38647020583546,"S10329",2008,"7080049270","USA"
"S10329_2009","S10329_2009",-2.50204208840627,-1.40445259648165,"S10329",2009,"7080049270","USA"
"S10329_2010","S10329_2010",-2.50510209498348,-1.43496046813437,"S10329",2010,"7080049270","USA"
"S10329_2011","S10329_2011",-3.20118241875024,0.979152883719648,"S10329",2011,"7080049270","USA"
"S10329_2012","S10329_2012",-2.62403838058754,-1.29158707025723,"S10329",2012,"7080049270","USA"
"S10329_2013","S10329_2013",-3.09356320818442,0.912119516917235,"S10329",2013,"7080049270","USA"
"S1034_2012","S1034_2012",1.00770258952553,-1.61766061275616,"S1034",2012,"2080053790","GBR"
"S1034_2005","S1034_2005",0.687116866309166,-1.70569198099323,"S1034",2005,"2080053790","GBR"
"S1034_2007","S1034_2007",0.889199071400095,-1.7059834293711,"S1034",2007,"2080053790","GBR"
"S1034_2004","S1034_2004",1.12103714782251,-1.56012593814067,"S1034",2004,"2080053790","GBR"
"S1034_2006","S1034_2006",0.91852192525259,-1.65779566946173,"S1034",2006,"2080053790","GBR"
"S1034_2008","S1034_2008",0.843717894538599,-1.6812306677902,"S1034",2008,"2080053790","GBR"
