"","Species","AVG_MXL","AVG_LMAT","AVG_AGEMAT","AVG_LONGY","AVG_FECUND","AVG_EGGSIZE","AVG_RGUILD","number_nas"
"1","Barbatula quignardi",70,40,NA,NA,NA,NA,NA,5
"2","Gobio occitaniae",155,NA,NA,NA,NA,NA,NA,6
"3","Leuciscus burdigalensis",400,NA,NA,NA,NA,NA,"NG_OS",5
"4","Notropis wickliffi",78,NA,NA,NA,NA,NA,NA,6
"5","Pachychilon pictum",170,NA,NA,NA,NA,NA,"NG_OS",5
"6","Phoxinus bigerri",81,NA,NA,NA,NA,NA,NA,6
"7","Squalius laietanus",201,NA,NA,NA,NA,NA,NA,6
