"","Axis1","Axis2","site","year","HydroBasin","Country"
"S1031_2012",2.05867740089281,-0.445303433315726,"S1031",2012,"2080033010","SWE"
"S1031_2004",1.23741431754759,-0.11638529981011,"S1031",2004,"2080033010","SWE"
"S1031_2008",0.767475296598265,0.0476762375235119,"S1031",2008,"2080033010","SWE"
"S1031_2010",1.02509247073314,-0.0422611112557631,"S1031",2010,"2080033010","SWE"
"S1031_2013",1.84291267146306,-0.327772280605352,"S1031",2013,"2080033010","SWE"
"S10328_2007",0.428582905207522,-2.17058481453657,"S10328",2007,"7080047060","USA"
"S10328_2008",-0.0851708936919114,-2.62666341016509,"S10328",2008,"7080047060","USA"
"S10328_2004",1.44822479257057,-2.29749906146313,"S10328",2004,"7080047060","USA"
"S10328_2012",1.61665775148214,-1.56983362744632,"S10328",2012,"7080047060","USA"
"S10328_2006",0.916815488385769,-2.68948637691437,"S10328",2006,"7080047060","USA"
"S10328_2009",-0.103375092324426,-2.31238018803123,"S10328",2009,"7080047060","USA"
"S10328_2010",0.6003953163164,-2.64394664940092,"S10328",2010,"7080047060","USA"
"S10328_2011",1.55860107590179,-1.83792943284939,"S10328",2011,"7080047060","USA"
"S10328_2013",0.968332050320479,-2.7190059299954,"S10328",2013,"7080047060","USA"
"S10328_2005",0.590023135410926,-2.04363498113148,"S10328",2005,"7080047060","USA"
"S10329_2004",3.14155064641223,0.42798323785765,"S10329",2004,"7080049270","USA"
"S10329_2005",3.07635220632122,0.181965722448405,"S10329",2005,"7080049270","USA"
"S10329_2006",3.07283607921289,0.255726618907841,"S10329",2006,"7080049270","USA"
"S10329_2007",3.14018032242555,0.00446508378424798,"S10329",2007,"7080049270","USA"
"S10329_2008",3.09534080054577,0.0548112921055144,"S10329",2008,"7080049270","USA"
"S10329_2009",3.06493107636973,-0.147275178045079,"S10329",2009,"7080049270","USA"
"S10329_2010",3.10787361582111,-0.311238093620082,"S10329",2010,"7080049270","USA"
"S10329_2011",3.20839469343311,0.497910418818405,"S10329",2011,"7080049270","USA"
"S10329_2012",3.21865533007099,0.588748087875081,"S10329",2012,"7080049270","USA"
"S10329_2013",3.13654923117916,0.190704750635625,"S10329",2013,"7080049270","USA"
"S1034_2012",0.281896896946273,-2.01954966062954,"S1034",2012,"2080053790","GBR"
"S1034_2005",0.434622842939153,-1.88971937076409,"S1034",2005,"2080053790","GBR"
"S1034_2007",0.320471570373116,-2.12336683578028,"S1034",2007,"2080053790","GBR"
"S1034_2004",-1.73742195778218e-05,-2.05800696778776,"S1034",2004,"2080053790","GBR"
"S1034_2006",0.38144944873474,-1.99970827021767,"S1034",2006,"2080053790","GBR"
"S1034_2008",0.469812504521682,-1.96844376671759,"S1034",2008,"2080053790","GBR"
"S1034_2009",0.670724522077824,-1.68742735248933,"S1034",2009,"2080053790","GBR"
"S1034_2010",0.681139495813763,-1.68442249779177,"S1034",2010,"2080053790","GBR"
"S1034_2011",1.17283072726936,-1.50514890306218,"S1034",2011,"2080053790","GBR"
"S1034_2013",0.412705078155942,-1.78378174555908,"S1034",2013,"2080053790","GBR"
"S1038_2005",-0.792963247323209,0.592444675592845,"S1038",2005,"2080033010","SWE"
"S1038_2004",0.448499536336487,0.159034629288879,"S1038",2004,"2080033010","SWE"
"S1038_2006",1.1218504628442,-0.07604052566359,"S1038",2006,"2080033010","SWE"
"S1038_2007",0.671617139739198,0.0619133976679693,"S1038",2007,"2080033010","SWE"
"S1038_2008",1.53267240474337,-0.230057682613379,"S1038",2008,"2080033010","SWE"
"S1038_2009",1.56431398960626,-0.230510027404472,"S1038",2009,"2080033010","SWE"
"S1038_2010",1.24790402783664,-0.120047387697021,"S1038",2010,"2080033010","SWE"
"S1038_2011",0.803511309159324,0.035095618854737,"S1038",2011,"2080033010","SWE"
"S1038_2012",-0.408874191566432,0.458354425259556,"S1038",2012,"2080033010","SWE"
"S1038_2013",-0.774512115891705,0.586003156899458,"S1038",2013,"2080033010","SWE"
"S1041_2004",-4.53475462098044,-0.3396330173692,"S1041",2004,"2080033020","SWE"
"S1041_2005",-3.61026393379267,-0.107740981712598,"S1041",2005,"2080033020","SWE"
"S1041_2006",-3.64275117769397,-0.36199612739151,"S1041",2006,"2080033020","SWE"
"S1041_2007",-2.77562510833016,-0.0493544810981239,"S1041",2007,"2080033020","SWE"
"S1041_2010",-3.44921627042903,0.00744559114109943,"S1041",2010,"2080033020","SWE"
"S1041_2011",-3.4330709761711,-0.0939567308149262,"S1041",2011,"2080033020","SWE"
"S1041_2012",-3.85086711348864,-0.074079622422655,"S1041",2012,"2080033020","SWE"
"S1041_2013",-3.742469467723,-0.0893221957764401,"S1041",2013,"2080033020","SWE"
"S1041_2008",-1.06293614559539,-0.210343811810504,"S1041",2008,"2080033020","SWE"
"S10458_2004",0.362217507635164,-2.54486897485386,"S10458",2004,"7080047060","USA"
"S10458_2008",0.282071999595516,-2.80726649366623,"S10458",2008,"7080047060","USA"
"S10458_2012",0.666550578934286,-1.76420393574432,"S10458",2012,"7080047060","USA"
"S10458_2009",-0.946463486662168,-2.20772065852396,"S10458",2009,"7080047060","USA"
"S10458_2011",-1.05479553068968,-2.29786703943027,"S10458",2011,"7080047060","USA"
"S10458_2013",0.119680313905458,-2.77502462491957,"S10458",2013,"7080047060","USA"
"S10458_2005",0.979535449592032,-2.4455158428116,"S10458",2005,"7080047060","USA"
"S10458_2010",-0.814887523057499,-2.38190764133928,"S10458",2010,"7080047060","USA"
"S10458_2006",0.427210171937447,-2.74033958187117,"S10458",2006,"7080047060","USA"
"S10458_2007",-0.0427204653280897,-2.39249547580432,"S10458",2007,"7080047060","USA"
"S10459_2004",3.16490377184705,0.534031503753153,"S10459",2004,"7080049270","USA"
"S10459_2005",3.22034640678917,0.585661795084968,"S10459",2005,"7080049270","USA"
"S10459_2006",3.09203747736501,0.302866942307884,"S10459",2006,"7080049270","USA"
"S10459_2007",3.1952664453917,0.681499513355702,"S10459",2007,"7080049270","USA"
"S10459_2008",3.04537946978733,-0.33209581644052,"S10459",2008,"7080049270","USA"
"S10459_2009",3.11376565744013,-0.255174901961395,"S10459",2009,"7080049270","USA"
"S10459_2010",3.09697519638661,-0.360710058683858,"S10459",2010,"7080049270","USA"
"S10459_2011",3.06954659821412,0.313661505291361,"S10459",2011,"7080049270","USA"
"S10459_2012",3.10888458275071,0.513823324532797,"S10459",2012,"7080049270","USA"
"S10459_2013",3.1137847145301,0.49929220022228,"S10459",2013,"7080049270","USA"
"S1054_2007",-1.35163810374281,0.313424665652565,"S1054",2007,"2080033010","SWE"
"S1054_2011",-0.329049085616825,0.430486491301963,"S1054",2011,"2080033010","SWE"
"S1054_2005",-1.42236886746329,0.533398918764781,"S1054",2005,"2080033010","SWE"
"S1054_2006",-0.145682376131735,0.250072159009309,"S1054",2006,"2080033010","SWE"
"S1054_2009",1.56151019406436,-0.2295311876264,"S1054",2009,"2080033010","SWE"
"S1054_2012",1.39212871091931,-0.330153504598459,"S1054",2012,"2080033010","SWE"
"S1054_2004",-1.69970456338569,0.908999308525025,"S1054",2004,"2080033010","SWE"
"S1054_2008",1.18401215607607,-0.0977419432949255,"S1054",2008,"2080033010","SWE"
"S1054_2010",2.24260940576463,-0.621558047206857,"S1054",2010,"2080033010","SWE"
"S1054_2013",0.743489789819156,-0.0943731132372181,"S1054",2013,"2080033010","SWE"
"S10580_2005",-0.229361580272647,-2.13724949151018,"S10580",2005,"7080047060","USA"
"S10580_2006",-0.243113330788917,-2.02946911049248,"S10580",2006,"7080047060","USA"
"S10580_2007",-0.128930343287834,-2.31282252114578,"S10580",2007,"7080047060","USA"
