"","basin_ID","Axis","Country","Correlation","Site_ID1","Site_ID2"
"S10038.S10015","2080029400","Axis1","FIN","0.538264560760925","S10038","S10015"
"S11887.S10015","2080029400","Axis1","FIN","-0.0336776717993296","S11887","S10015"
"S11924.S10015","2080029400","Axis1","FIN","0.491633105682024","S11924","S10015"
"S11928.S10015","2080029400","Axis1","FIN","-0.0136056046537643","S11928","S10015"
"S12211.S10015","2080029400","Axis1","FIN","0.722384788090455","S12211","S10015"
"S12290.S10015","2080029400","Axis1","FIN","0.657145472302167","S12290","S10015"
"S12298.S10015","2080029400","Axis1","FIN","-0.344905845257866","S12298","S10015"
"S12306.S10015","2080029400","Axis1","FIN","0.443557531290369","S12306","S10015"
"S12317.S10015","2080029400","Axis1","FIN","0.517569816703866","S12317","S10015"
"S11887.S10038","2080029400","Axis1","FIN","0.417540246811804","S11887","S10038"
"S11924.S10038","2080029400","Axis1","FIN","0.588601125816128","S11924","S10038"
"S11928.S10038","2080029400","Axis1","FIN","0.631631280338238","S11928","S10038"
"S12211.S10038","2080029400","Axis1","FIN","0.344974865842387","S12211","S10038"
"S12290.S10038","2080029400","Axis1","FIN","0.283697592589186","S12290","S10038"
"S12298.S10038","2080029400","Axis1","FIN","-0.136595791314827","S12298","S10038"
"S12306.S10038","2080029400","Axis1","FIN","0.407417999415735","S12306","S10038"
"S12317.S10038","2080029400","Axis1","FIN","0.433684748568578","S12317","S10038"
"S11924.S11887","2080029400","Axis1","FIN","0.0224931762258345","S11924","S11887"
"S11928.S11887","2080029400","Axis1","FIN","0.89627622708931","S11928","S11887"
"S12211.S11887","2080029400","Axis1","FIN","-0.0602341893846916","S12211","S11887"
"S12290.S11887","2080029400","Axis1","FIN","-0.00604345224274368","S12290","S11887"
"S12298.S11887","2080029400","Axis1","FIN","0.185769309275129","S12298","S11887"
"S12306.S11887","2080029400","Axis1","FIN","0.146590036324745","S12306","S11887"
"S12317.S11887","2080029400","Axis1","FIN","-0.0167053120719629","S12317","S11887"
"S11928.S11924","2080029400","Axis1","FIN","0.239062166027846","S11928","S11924"
"S12211.S11924","2080029400","Axis1","FIN","0.407075598407431","S12211","S11924"
"S12290.S11924","2080029400","Axis1","FIN","0.760903360363664","S12290","S11924"
"S12298.S11924","2080029400","Axis1","FIN","0.236545150843837","S12298","S11924"
"S12306.S11924","2080029400","Axis1","FIN","0.453496751874786","S12306","S11924"
"S12317.S11924","2080029400","Axis1","FIN","0.333065409090759","S12317","S11924"
"S12211.S11928","2080029400","Axis1","FIN","0.0504467000899016","S12211","S11928"
"S12290.S11928","2080029400","Axis1","FIN","-0.0369190187576269","S12290","S11928"
"S12298.S11928","2080029400","Axis1","FIN","0.162861262224778","S12298","S11928"
"S12306.S11928","2080029400","Axis1","FIN","0.350616123985079","S12306","S11928"
"S12317.S11928","2080029400","Axis1","FIN","0.149119776818742","S12317","S11928"
"S12290.S12211","2080029400","Axis1","FIN","0.619758962595488","S12290","S12211"
"S12298.S12211","2080029400","Axis1","FIN","-0.227280219925684","S12298","S12211"
"S12306.S12211","2080029400","Axis1","FIN","0.436905554783495","S12306","S12211"
"S12317.S12211","2080029400","Axis1","FIN","0.562646810727474","S12317","S12211"
"S12298.S12290","2080029400","Axis1","FIN","0.222780817668327","S12298","S12290"
"S12306.S12290","2080029400","Axis1","FIN","0.318812064251052","S12306","S12290"
"S12317.S12290","2080029400","Axis1","FIN","0.378864658016599","S12317","S12290"
"S12306.S12298","2080029400","Axis1","FIN","-0.111341607249195","S12306","S12298"
"S12317.S12298","2080029400","Axis1","FIN","0.198031119354319","S12317","S12298"
"S12317.S12306","2080029400","Axis1","FIN","0.668676458134817","S12317","S12306"
"S10038.S10015.1","2080029400","Axis2","FIN","0.61036929384897","S10038","S10015"
"S11887.S10015.1","2080029400","Axis2","FIN","0.27559828247489","S11887","S10015"
"S11924.S10015.1","2080029400","Axis2","FIN","-0.053328085311137","S11924","S10015"
"S11928.S10015.1","2080029400","Axis2","FIN","-0.198211006563448","S11928","S10015"
"S12211.S10015.1","2080029400","Axis2","FIN","0.768967197181897","S12211","S10015"
"S12290.S10015.1","2080029400","Axis2","FIN","-0.182510455766349","S12290","S10015"
"S12298.S10015.1","2080029400","Axis2","FIN","0.499932806258483","S12298","S10015"
"S12306.S10015.1","2080029400","Axis2","FIN","-0.172712933344","S12306","S10015"
"S12317.S10015.1","2080029400","Axis2","FIN","0.531121972424795","S12317","S10015"
"S11887.S10038.1","2080029400","Axis2","FIN","0.361786870946797","S11887","S10038"
"S11924.S10038.1","2080029400","Axis2","FIN","0.177648670719434","S11924","S10038"
"S11928.S10038.1","2080029400","Axis2","FIN","-0.102124464455551","S11928","S10038"
"S12211.S10038.1","2080029400","Axis2","FIN","0.769067903589365","S12211","S10038"
"S12290.S10038.1","2080029400","Axis2","FIN","0.399047350296956","S12290","S10038"
"S12298.S10038.1","2080029400","Axis2","FIN","0.000977453348384052","S12298","S10038"
"S12306.S10038.1","2080029400","Axis2","FIN","0.054500265872155","S12306","S10038"
"S12317.S10038.1","2080029400","Axis2","FIN","0.66722129540657","S12317","S10038"
"S11924.S11887.1","2080029400","Axis2","FIN","0.0179163833913454","S11924","S11887"
"S11928.S11887.1","2080029400","Axis2","FIN","0.201763115175486","S11928","S11887"
"S12211.S11887.1","2080029400","Axis2","FIN","0.189158377648693","S12211","S11887"
"S12290.S11887.1","2080029400","Axis2","FIN","-0.264690130728018","S12290","S11887"
"S12298.S11887.1","2080029400","Axis2","FIN","0.304073255741698","S12298","S11887"
"S12306.S11887.1","2080029400","Axis2","FIN","0.376465524802742","S12306","S11887"
"S12317.S11887.1","2080029400","Axis2","FIN","0.454480996230733","S12317","S11887"
"S11928.S11924.1","2080029400","Axis2","FIN","0.381363469884274","S11928","S11924"
"S12211.S11924.1","2080029400","Axis2","FIN","0.0165813680023867","S12211","S11924"
"S12290.S11924.1","2080029400","Axis2","FIN","0.579404848521801","S12290","S11924"
"S12298.S11924.1","2080029400","Axis2","FIN","-0.604504198627437","S12298","S11924"
"S12306.S11924.1","2080029400","Axis2","FIN","0.440721312227149","S12306","S11924"
"S12317.S11924.1","2080029400","Axis2","FIN","0.361882615991456","S12317","S11924"
"S12211.S11928.1","2080029400","Axis2","FIN","-0.0893349585157831","S12211","S11928"
"S12290.S11928.1","2080029400","Axis2","FIN","-0.0961006979396207","S12290","S11928"
"S12298.S11928.1","2080029400","Axis2","FIN","-0.470384880167577","S12298","S11928"
"S12306.S11928.1","2080029400","Axis2","FIN","-0.139868194383926","S12306","S11928"
"S12317.S11928.1","2080029400","Axis2","FIN","0.436045338891844","S12317","S11928"
"S12290.S12211.1","2080029400","Axis2","FIN","0.103943649165011","S12290","S12211"
"S12298.S12211.1","2080029400","Axis2","FIN","0.260636124601961","S12298","S12211"
"S12306.S12211.1","2080029400","Axis2","FIN","0.0710247407416496","S12306","S12211"
"S12317.S12211.1","2080029400","Axis2","FIN","0.400329502009376","S12317","S12211"
"S12298.S12290.1","2080029400","Axis2","FIN","-0.741014830300943","S12298","S12290"
"S12306.S12290.1","2080029400","Axis2","FIN","0.235574319386751","S12306","S12290"
"S12317.S12290.1","2080029400","Axis2","FIN","0.0629579837233774","S12317","S12290"
"S12306.S12298.1","2080029400","Axis2","FIN","-0.0113369838558676","S12306","S12298"
"S12317.S12298.1","2080029400","Axis2","FIN","-0.0581207065960554","S12317","S12298"
"S12317.S12306.1","2080029400","Axis2","FIN","-0.244727543218059","S12317","S12306"
"S10329.S10089","7080049270","Axis1","USA","0.658226627128692","S10329","S10089"
"S10459.S10089","7080049270","Axis1","USA","0.540679853263799","S10459","S10089"
"S8637.S10089","7080049270","Axis1","USA","-0.542783867798655","S8637","S10089"
"S8762.S10089","7080049270","Axis1","USA","0.974122343750845","S8762","S10089"
"S8891.S10089","7080049270","Axis1","USA","-0.297209060582135","S8891","S10089"
"S9167.S10089","7080049270","Axis1","USA","0.858396207166549","S9167","S10089"
"S9315.S10089","7080049270","Axis1","USA","0.826010838458027","S9315","S10089"
"S9449.S10089","7080049270","Axis1","USA","0.454962935173388","S9449","S10089"
"S9583.S10089","7080049270","Axis1","USA","-0.110642099581237","S9583","S10089"
"S9721.S10089","7080049270","Axis1","USA","-0.00740956296057988","S9721","S10089"
"S9965.S10089","7080049270","Axis1","USA","0.351035333351386","S9965","S10089"
"S10459.S10329","7080049270","Axis1","USA","0.61788197577677","S10459","S10329"
"S8637.S10329","7080049270","Axis1","USA","-0.134626781858951","S8637","S10329"
"S8762.S10329","7080049270","Axis1","USA","0.68831290546996","S8762","S10329"
"S8891.S10329","7080049270","Axis1","USA","-0.121525543062504","S8891","S10329"
"S9167.S10329","7080049270","Axis1","USA","0.35520905313941","S9167","S10329"
"S9315.S10329","7080049270","Axis1","USA","0.315549914847872","S9315","S10329"
"S9449.S10329","7080049270","Axis1","USA","0.0570114357880223","S9449","S10329"
"S9583.S10329","7080049270","Axis1","USA","-0.301666412903009","S9583","S10329"
"S9721.S10329","7080049270","Axis1","USA","0.140213988508195","S9721","S10329"
"S9965.S10329","7080049270","Axis1","USA","0.434087095467614","S9965","S10329"
"S8637.S10459","7080049270","Axis1","USA","-0.275592735451914","S8637","S10459"
"S8762.S10459","7080049270","Axis1","USA","0.577183361005767","S8762","S10459"
"S8891.S10459","7080049270","Axis1","USA","-0.416266725257937","S8891","S10459"
"S9167.S10459","7080049270","Axis1","USA","0.427191204443401","S9167","S10459"
"S9315.S10459","7080049270","Axis1","USA","0.372047665658005","S9315","S10459"
"S9449.S10459","7080049270","Axis1","USA","0.56278135722979","S9449","S10459"
"S9583.S10459","7080049270","Axis1","USA","-0.132150862677704","S9583","S10459"
"S9721.S10459","7080049270","Axis1","USA","0.0274681229989601","S9721","S10459"
"S9965.S10459","7080049270","Axis1","USA","0.371887535814903","S9965","S10459"
"S8762.S8637","7080049270","Axis1","USA","-0.406380712598668","S8762","S8637"
"S8891.S8637","7080049270","Axis1","USA","0.742971078034138","S8891","S8637"
"S9167.S8637","7080049270","Axis1","USA","-0.481611243084332","S9167","S8637"
"S9315.S8637","7080049270","Axis1","USA","-0.812623367835339","S9315","S8637"
"S9449.S8637","7080049270","Axis1","USA","-0.520898026718478","S9449","S8637"
"S9583.S8637","7080049270","Axis1","USA","-0.176167721090604","S9583","S8637"
"S9721.S8637","7080049270","Axis1","USA","0.515504634827435","S9721","S8637"
"S9965.S8637","7080049270","Axis1","USA","-0.330248492911612","S9965","S8637"
"S8891.S8762","7080049270","Axis1","USA","-0.217065615748186","S8891","S8762"
"S9167.S8762","7080049270","Axis1","USA","0.820199521564625","S9167","S8762"
"S9315.S8762","7080049270","Axis1","USA","0.739473375850066","S9315","S8762"
"S9449.S8762","7080049270","Axis1","USA","0.360959892833603","S9449","S8762"
"S9583.S8762","7080049270","Axis1","USA","-0.132135760701007","S9583","S8762"
"S9721.S8762","7080049270","Axis1","USA","-0.00797083867890542","S9721","S8762"
"S9965.S8762","7080049270","Axis1","USA","0.340570755853482","S9965","S8762"
"S9167.S8891","7080049270","Axis1","USA","-0.224818897900989","S9167","S8891"
"S9315.S8891","7080049270","Axis1","USA","-0.441191651054544","S9315","S8891"
"S9449.S8891","7080049270","Axis1","USA","-0.372545463462962","S9449","S8891"
"S9583.S8891","7080049270","Axis1","USA","0.0308197495490638","S9583","S8891"
"S9721.S8891","7080049270","Axis1","USA","0.385935473078762","S9721","S8891"
"S9965.S8891","7080049270","Axis1","USA","-0.771758462255469","S9965","S8891"
"S9315.S9167","7080049270","Axis1","USA","0.709290781587163","S9315","S9167"
"S9449.S9167","7080049270","Axis1","USA","0.433642941785672","S9449","S9167"
"S9583.S9167","7080049270","Axis1","USA","-0.30046636099402","S9583","S9167"
"S9721.S9167","7080049270","Axis1","USA","-0.120110682696873","S9721","S9167"
"S9965.S9167","7080049270","Axis1","USA","0.159275458582294","S9965","S9167"
"S9449.S9315","7080049270","Axis1","USA","0.688193137785438","S9449","S9315"
"S9583.S9315","7080049270","Axis1","USA","0.324286895417657","S9583","S9315"
"S9721.S9315","7080049270","Axis1","USA","-0.140729926067969","S9721","S9315"
"S9965.S9315","7080049270","Axis1","USA","0.21671268211699","S9965","S9315"
"S9583.S9449","7080049270","Axis1","USA","0.459137957864063","S9583","S9449"
"S9721.S9449","7080049270","Axis1","USA","0.23491335860228","S9721","S9449"
"S9965.S9449","7080049270","Axis1","USA","0.0702173264201794","S9965","S9449"
"S9721.S9583","7080049270","Axis1","USA","0.129907693478136","S9721","S9583"
"S9965.S9583","7080049270","Axis1","USA","-0.205441734323422","S9965","S9583"
"S9965.S9721","7080049270","Axis1","USA","-0.0431742462681469","S9965","S9721"
"S10329.S10089.1","7080049270","Axis2","USA","0.520325972007493","S10329","S10089"
"S10459.S10089.1","7080049270","Axis2","USA","0.583330571019788","S10459","S10089"
"S8637.S10089.1","7080049270","Axis2","USA","0.581721065210258","S8637","S10089"
"S8762.S10089.1","7080049270","Axis2","USA","0.924674482069281","S8762","S10089"
"S8891.S10089.1","7080049270","Axis2","USA","-0.284713687362055","S8891","S10089"
"S9167.S10089.1","7080049270","Axis2","USA","0.707577901056583","S9167","S10089"
"S9315.S10089.1","7080049270","Axis2","USA","0.496302021142482","S9315","S10089"
"S9449.S10089.1","7080049270","Axis2","USA","0.264188855345781","S9449","S10089"
"S9583.S10089.1","7080049270","Axis2","USA","0.48176386172789","S9583","S10089"
"S9721.S10089.1","7080049270","Axis2","USA","0.418611378076869","S9721","S10089"
"S9965.S10089.1","7080049270","Axis2","USA","0.306685713650937","S9965","S10089"
"S10459.S10329.1","7080049270","Axis2","USA","0.665354360055135","S10459","S10329"
"S8637.S10329.1","7080049270","Axis2","USA","0.638643666683521","S8637","S10329"
"S8762.S10329.1","7080049270","Axis2","USA","0.609247586410426","S8762","S10329"
"S8891.S10329.1","7080049270","Axis2","USA","-0.293791889857325","S8891","S10329"
"S9167.S10329.1","7080049270","Axis2","USA","0.3954685673536","S9167","S10329"
"S9315.S10329.1","7080049270","Axis2","USA","0.246928292126367","S9315","S10329"
"S9449.S10329.1","7080049270","Axis2","USA","0.000920185820758696","S9449","S10329"
"S9583.S10329.1","7080049270","Axis2","USA","-0.0523209204125859","S9583","S10329"
"S9721.S10329.1","7080049270","Axis2","USA","0.289148616356127","S9721","S10329"
"S9965.S10329.1","7080049270","Axis2","USA","0.41335745330972","S9965","S10329"
"S8637.S10459.1","7080049270","Axis2","USA","0.425066514632973","S8637","S10459"
"S8762.S10459.1","7080049270","Axis2","USA","0.643592434289681","S8762","S10459"
"S8891.S10459.1","7080049270","Axis2","USA","0.186051540533965","S8891","S10459"
"S9167.S10459.1","7080049270","Axis2","USA","0.529616665167483","S9167","S10459"
"S9315.S10459.1","7080049270","Axis2","USA","0.429388448831876","S9315","S10459"
"S9449.S10459.1","7080049270","Axis2","USA","0.538251812141313","S9449","S10459"
"S9583.S10459.1","7080049270","Axis2","USA","0.510028213671185","S9583","S10459"
"S9721.S10459.1","7080049270","Axis2","USA","0.211257061487996","S9721","S10459"
"S9965.S10459.1","7080049270","Axis2","USA","0.362978211857415","S9965","S10459"
"S8762.S8637.1","7080049270","Axis2","USA","0.655328681949827","S8762","S8637"
"S8891.S8637.1","7080049270","Axis2","USA","-0.436554514269722","S8891","S8637"
"S9167.S8637.1","7080049270","Axis2","USA","0.300455059746352","S9167","S8637"
"S9315.S8637.1","7080049270","Axis2","USA","-0.0151945479015992","S9315","S8637"
"S9449.S8637.1","7080049270","Axis2","USA","-0.211116306766169","S9449","S8637"
"S9583.S8637.1","7080049270","Axis2","USA","0.396923137412636","S9583","S8637"
"S9721.S8637.1","7080049270","Axis2","USA","-0.18316648115355","S9721","S8637"
"S9965.S8637.1","7080049270","Axis2","USA","0.54457575440677","S9965","S8637"
"S8891.S8762.1","7080049270","Axis2","USA","-0.222004395395529","S8891","S8762"
"S9167.S8762.1","7080049270","Axis2","USA","0.823710511027823","S9167","S8762"
"S9315.S8762.1","7080049270","Axis2","USA","0.680512470758916","S9315","S8762"
"S9449.S8762.1","7080049270","Axis2","USA","0.402635556117822","S9449","S8762"
"S9583.S8762.1","7080049270","Axis2","USA","0.368950949997839","S9583","S8762"
"S9721.S8762.1","7080049270","Axis2","USA","0.316182087387497","S9721","S8762"
"S9965.S8762.1","7080049270","Axis2","USA","0.406545447997908","S9965","S8762"
"S9167.S8891.1","7080049270","Axis2","USA","-0.0285420930629054","S9167","S8891"
"S9315.S8891.1","7080049270","Axis2","USA","0.149996427494067","S9315","S8891"
"S9449.S8891.1","7080049270","Axis2","USA","0.365302469804557","S9449","S8891"
"S9583.S8891.1","7080049270","Axis2","USA","0.158885668886433","S9583","S8891"
"S9721.S8891.1","7080049270","Axis2","USA","-0.314811103322595","S9721","S8891"
"S9965.S8891.1","7080049270","Axis2","USA","-0.538831955757753","S9965","S8891"
"S9315.S9167.1","7080049270","Axis2","USA","0.81120184381453","S9315","S9167"
"S9449.S9167.1","7080049270","Axis2","USA","0.582217060558096","S9449","S9167"
"S9583.S9167.1","7080049270","Axis2","USA","0.100208044875433","S9583","S9167"
