"","basin_ID","Axis","Country","Correlation","Site_ID1","Site_ID2"
"S10038.S10015","2080029400","Axis1","FIN","0.177267657920128","S10038","S10015"
"S11887.S10015","2080029400","Axis1","FIN","-0.479160811807892","S11887","S10015"
"S11924.S10015","2080029400","Axis1","FIN","0.404997010688437","S11924","S10015"
"S11928.S10015","2080029400","Axis1","FIN","-0.254623087764224","S11928","S10015"
"S12211.S10015","2080029400","Axis1","FIN","0.607138776268136","S12211","S10015"
"S12290.S10015","2080029400","Axis1","FIN","0.718800121054197","S12290","S10015"
"S12298.S10015","2080029400","Axis1","FIN","-0.535413249057162","S12298","S10015"
"S12306.S10015","2080029400","Axis1","FIN","0.409642403728319","S12306","S10015"
"S12317.S10015","2080029400","Axis1","FIN","0.305117604832183","S12317","S10015"
"S11887.S10038","2080029400","Axis1","FIN","0.191774096129583","S11887","S10038"
"S11924.S10038","2080029400","Axis1","FIN","0.7231466115934","S11924","S10038"
"S11928.S10038","2080029400","Axis1","FIN","0.454955267984738","S11928","S10038"
"S12211.S10038","2080029400","Axis1","FIN","0.298750089186122","S12211","S10038"
"S12290.S10038","2080029400","Axis1","FIN","0.503751980502519","S12290","S10038"
"S12298.S10038","2080029400","Axis1","FIN","-0.427305781675033","S12298","S10038"
"S12306.S10038","2080029400","Axis1","FIN","0.142675141173525","S12306","S10038"
"S12317.S10038","2080029400","Axis1","FIN","0.222727403482543","S12317","S10038"
"S11924.S11887","2080029400","Axis1","FIN","0.122887689566924","S11924","S11887"
"S11928.S11887","2080029400","Axis1","FIN","0.847679875665524","S11928","S11887"
"S12211.S11887","2080029400","Axis1","FIN","-0.192890207519256","S12211","S11887"
"S12290.S11887","2080029400","Axis1","FIN","-0.16041826963929","S12290","S11887"
"S12298.S11887","2080029400","Axis1","FIN","0.211582192881477","S12298","S11887"
"S12306.S11887","2080029400","Axis1","FIN","-0.0767334476341554","S12306","S11887"
"S12317.S11887","2080029400","Axis1","FIN","0.0445172719730412","S12317","S11887"
"S11928.S11924","2080029400","Axis1","FIN","0.434130537056194","S11928","S11924"
"S12211.S11924","2080029400","Axis1","FIN","0.319637287377052","S12211","S11924"
"S12290.S11924","2080029400","Axis1","FIN","0.701776849946096","S12290","S11924"
"S12298.S11924","2080029400","Axis1","FIN","-0.144511842315925","S12298","S11924"
"S12306.S11924","2080029400","Axis1","FIN","0.494114925088466","S12306","S11924"
"S12317.S11924","2080029400","Axis1","FIN","0.283601316132311","S12317","S11924"
"S12211.S11928","2080029400","Axis1","FIN","0.0791640096582341","S12211","S11928"
"S12290.S11928","2080029400","Axis1","FIN","-0.00942441410561932","S12290","S11928"
"S12298.S11928","2080029400","Axis1","FIN","-0.121053092248802","S12298","S11928"
"S12306.S11928","2080029400","Axis1","FIN","0.12367939869684","S12306","S11928"
"S12317.S11928","2080029400","Axis1","FIN","0.0621510445478134","S12317","S11928"
"S12290.S12211","2080029400","Axis1","FIN","0.632541301552417","S12290","S12211"
"S12298.S12211","2080029400","Axis1","FIN","-0.61234292976434","S12298","S12211"
"S12306.S12211","2080029400","Axis1","FIN","0.522795882657068","S12306","S12211"
"S12317.S12211","2080029400","Axis1","FIN","0.582253881750293","S12317","S12211"
"S12298.S12290","2080029400","Axis1","FIN","-0.347245069368458","S12298","S12290"
"S12306.S12290","2080029400","Axis1","FIN","0.330388181500692","S12306","S12290"
"S12317.S12290","2080029400","Axis1","FIN","0.37507032115907","S12317","S12290"
"S12306.S12298","2080029400","Axis1","FIN","0.00305546417698538","S12306","S12298"
"S12317.S12298","2080029400","Axis1","FIN","0.109140333895452","S12317","S12298"
"S12317.S12306","2080029400","Axis1","FIN","0.662709826275765","S12317","S12306"
"S10038.S10015.1","2080029400","Axis2","FIN","0.518788604626623","S10038","S10015"
"S11887.S10015.1","2080029400","Axis2","FIN","0.773070318383423","S11887","S10015"
"S11924.S10015.1","2080029400","Axis2","FIN","0.230855746862667","S11924","S10015"
"S11928.S10015.1","2080029400","Axis2","FIN","-0.0428785997586291","S11928","S10015"
"S12211.S10015.1","2080029400","Axis2","FIN","-0.0537250703774419","S12211","S10015"
"S12290.S10015.1","2080029400","Axis2","FIN","0.82738753553158","S12290","S10015"
"S12298.S10015.1","2080029400","Axis2","FIN","0.378370039770802","S12298","S10015"
"S12306.S10015.1","2080029400","Axis2","FIN","0.293280922967162","S12306","S10015"
"S12317.S10015.1","2080029400","Axis2","FIN","0.0615186035524197","S12317","S10015"
"S11887.S10038.1","2080029400","Axis2","FIN","0.577316511473567","S11887","S10038"
"S11924.S10038.1","2080029400","Axis2","FIN","0.0563675171618298","S11924","S10038"
"S11928.S10038.1","2080029400","Axis2","FIN","0.10757027770897","S11928","S10038"
"S12211.S10038.1","2080029400","Axis2","FIN","0.610414983027504","S12211","S10038"
"S12290.S10038.1","2080029400","Axis2","FIN","0.163500035386064","S12290","S10038"
"S12298.S10038.1","2080029400","Axis2","FIN","-0.0787308051949676","S12298","S10038"
"S12306.S10038.1","2080029400","Axis2","FIN","0.133603977411648","S12306","S10038"
"S12317.S10038.1","2080029400","Axis2","FIN","0.301198575042789","S12317","S10038"
"S11924.S11887.1","2080029400","Axis2","FIN","0.19174044750865","S11924","S11887"
"S11928.S11887.1","2080029400","Axis2","FIN","-0.298248466040555","S11928","S11887"
"S12211.S11887.1","2080029400","Axis2","FIN","-0.0834264760460778","S12211","S11887"
"S12290.S11887.1","2080029400","Axis2","FIN","0.366477310693269","S12290","S11887"
"S12298.S11887.1","2080029400","Axis2","FIN","0.160605236621011","S12298","S11887"
"S12306.S11887.1","2080029400","Axis2","FIN","0.107463955521931","S12306","S11887"
"S12317.S11887.1","2080029400","Axis2","FIN","0.170659972587134","S12317","S11887"
"S11928.S11924.1","2080029400","Axis2","FIN","0.310927420325084","S11928","S11924"
"S12211.S11924.1","2080029400","Axis2","FIN","0.000320493433989165","S12211","S11924"
"S12290.S11924.1","2080029400","Axis2","FIN","0.228314521500106","S12290","S11924"
"S12298.S11924.1","2080029400","Axis2","FIN","-0.39522532891817","S12298","S11924"
"S12306.S11924.1","2080029400","Axis2","FIN","0.404869848678101","S12306","S11924"
"S12317.S11924.1","2080029400","Axis2","FIN","0.696287263031353","S12317","S11924"
"S12211.S11928.1","2080029400","Axis2","FIN","0.6396549314393","S12211","S11928"
"S12290.S11928.1","2080029400","Axis2","FIN","0.116719409862042","S12290","S11928"
"S12298.S11928.1","2080029400","Axis2","FIN","-0.16380000344666","S12298","S11928"
"S12306.S11928.1","2080029400","Axis2","FIN","-0.122719681524497","S12306","S11928"
"S12317.S11928.1","2080029400","Axis2","FIN","0.438022225098432","S12317","S11928"
"S12290.S12211.1","2080029400","Axis2","FIN","-0.203858171824027","S12290","S12211"
"S12298.S12211.1","2080029400","Axis2","FIN","-0.140654630167795","S12298","S12211"
"S12306.S12211.1","2080029400","Axis2","FIN","0.057731051240499","S12306","S12211"
"S12317.S12211.1","2080029400","Axis2","FIN","0.431933841740695","S12317","S12211"
"S12298.S12290.1","2080029400","Axis2","FIN","0.2407551104705","S12298","S12290"
"S12306.S12290.1","2080029400","Axis2","FIN","0.0987962214399826","S12306","S12290"
"S12317.S12290.1","2080029400","Axis2","FIN","-0.0086095602615873","S12317","S12290"
"S12306.S12298.1","2080029400","Axis2","FIN","0.428689070225263","S12306","S12298"
"S12317.S12298.1","2080029400","Axis2","FIN","-0.667078434404917","S12317","S12298"
"S12317.S12306.1","2080029400","Axis2","FIN","0.0237169932739603","S12317","S12306"
"S10329.S10089","7080049270","Axis1","USA","-0.523060778380026","S10329","S10089"
"S10459.S10089","7080049270","Axis1","USA","0.523966895363223","S10459","S10089"
"S8637.S10089","7080049270","Axis1","USA","-0.884198812877807","S8637","S10089"
"S8762.S10089","7080049270","Axis1","USA","0.781125910840409","S8762","S10089"
"S8891.S10089","7080049270","Axis1","USA","-0.811699590540229","S8891","S10089"
"S9167.S10089","7080049270","Axis1","USA","0.506954381390488","S9167","S10089"
"S9315.S10089","7080049270","Axis1","USA","0.611175445329504","S9315","S10089"
"S9449.S10089","7080049270","Axis1","USA","0.282709148625865","S9449","S10089"
"S9583.S10089","7080049270","Axis1","USA","0.309884445160607","S9583","S10089"
"S9721.S10089","7080049270","Axis1","USA","-0.850931983150201","S9721","S10089"
"S9965.S10089","7080049270","Axis1","USA","0.487815507717747","S9965","S10089"
"S10459.S10329","7080049270","Axis1","USA","-0.11460001161817","S10459","S10329"
"S8637.S10329","7080049270","Axis1","USA","0.328854088588625","S8637","S10329"
"S8762.S10329","7080049270","Axis1","USA","-0.701207815402078","S8762","S10329"
"S8891.S10329","7080049270","Axis1","USA","0.333220955595971","S8891","S10329"
"S9167.S10329","7080049270","Axis1","USA","0.182707571350798","S9167","S10329"
"S9315.S10329","7080049270","Axis1","USA","-0.0356302299888319","S9315","S10329"
"S9449.S10329","7080049270","Axis1","USA","-0.398734897869446","S9449","S10329"
"S9583.S10329","7080049270","Axis1","USA","-0.139823852220868","S9583","S10329"
"S9721.S10329","7080049270","Axis1","USA","0.514344663821497","S9721","S10329"
"S9965.S10329","7080049270","Axis1","USA","-0.494140648613765","S9965","S10329"
"S8637.S10459","7080049270","Axis1","USA","-0.633690105413172","S8637","S10459"
"S8762.S10459","7080049270","Axis1","USA","0.575791520815071","S8762","S10459"
"S8891.S10459","7080049270","Axis1","USA","-0.748452246232039","S8891","S10459"
"S9167.S10459","7080049270","Axis1","USA","0.399027831129692","S9167","S10459"
"S9315.S10459","7080049270","Axis1","USA","0.202855468890357","S9315","S10459"
"S9449.S10459","7080049270","Axis1","USA","-0.566878718503116","S9449","S10459"
"S9583.S10459","7080049270","Axis1","USA","-0.371596067135826","S9583","S10459"
"S9721.S10459","7080049270","Axis1","USA","-0.593137767694963","S9721","S10459"
"S9965.S10459","7080049270","Axis1","USA","0.221926270044202","S9965","S10459"
"S8762.S8637","7080049270","Axis1","USA","-0.699377022777161","S8762","S8637"
"S8891.S8637","7080049270","Axis1","USA","0.860614097347568","S8891","S8637"
"S9167.S8637","7080049270","Axis1","USA","-0.650692848709972","S9167","S8637"
"S9315.S8637","7080049270","Axis1","USA","-0.798587233115579","S9315","S8637"
"S9449.S8637","7080049270","Axis1","USA","-0.0267985650118748","S9449","S8637"
"S9583.S8637","7080049270","Axis1","USA","-0.118097471729027","S9583","S8637"
"S9721.S8637","7080049270","Axis1","USA","0.883758592303346","S9721","S8637"
"S9965.S8637","7080049270","Axis1","USA","-0.548873609894177","S9965","S8637"
"S8891.S8762","7080049270","Axis1","USA","-0.701597586093155","S8891","S8762"
"S9167.S8762","7080049270","Axis1","USA","0.0275221854013181","S9167","S8762"
"S9315.S8762","7080049270","Axis1","USA","0.319025528221956","S9315","S8762"
"S9449.S8762","7080049270","Axis1","USA","0.225125550943593","S9449","S8762"
"S9583.S8762","7080049270","Axis1","USA","-0.0614270694417573","S9583","S8762"
"S9721.S8762","7080049270","Axis1","USA","-0.671584132947335","S9721","S8762"
"S9965.S8762","7080049270","Axis1","USA","0.667925155345354","S9965","S8762"
"S9167.S8891","7080049270","Axis1","USA","-0.494089234621067","S9167","S8891"
"S9315.S8891","7080049270","Axis1","USA","-0.53630186137899","S9315","S8891"
"S9449.S8891","7080049270","Axis1","USA","0.187421820319941","S9449","S8891"
"S9583.S8891","7080049270","Axis1","USA","-0.0661130498495917","S9583","S8891"
"S9721.S8891","7080049270","Axis1","USA","0.738866493038492","S9721","S8891"
"S9965.S8891","7080049270","Axis1","USA","-0.570702601148837","S9965","S8891"
"S9315.S9167","7080049270","Axis1","USA","0.536184632586619","S9315","S9167"
"S9449.S9167","7080049270","Axis1","USA","-0.279806534440157","S9449","S9167"
"S9583.S9167","7080049270","Axis1","USA","0.0138708833881785","S9583","S9167"
"S9721.S9167","7080049270","Axis1","USA","-0.67340134670232","S9721","S9167"
"S9965.S9167","7080049270","Axis1","USA","-0.0136785125665136","S9965","S9167"
"S9449.S9315","7080049270","Axis1","USA","0.265801137794973","S9449","S9315"
"S9583.S9315","7080049270","Axis1","USA","0.461316572702061","S9583","S9315"
"S9721.S9315","7080049270","Axis1","USA","-0.576973385118721","S9721","S9315"
"S9965.S9315","7080049270","Axis1","USA","0.350455335577794","S9965","S9315"
"S9583.S9449","7080049270","Axis1","USA","0.668997165995965","S9583","S9449"
"S9721.S9449","7080049270","Axis1","USA","-0.0259924260121269","S9721","S9449"
"S9965.S9449","7080049270","Axis1","USA","0.180957840288179","S9965","S9449"
"S9721.S9583","7080049270","Axis1","USA","-0.0653970742850092","S9721","S9583"
"S9965.S9583","7080049270","Axis1","USA","-0.0660242070360691","S9965","S9583"
"S9965.S9721","7080049270","Axis1","USA","-0.334991082300939","S9965","S9721"
"S10329.S10089.1","7080049270","Axis2","USA","0.318258811088459","S10329","S10089"
"S10459.S10089.1","7080049270","Axis2","USA","0.458999041798539","S10459","S10089"
"S8637.S10089.1","7080049270","Axis2","USA","0.191391475929274","S8637","S10089"
"S8762.S10089.1","7080049270","Axis2","USA","0.82597970619773","S8762","S10089"
"S8891.S10089.1","7080049270","Axis2","USA","0.0652003228678967","S8891","S10089"
"S9167.S10089.1","7080049270","Axis2","USA","0.810286034676842","S9167","S10089"
"S9315.S10089.1","7080049270","Axis2","USA","0.776090342090389","S9315","S10089"
"S9449.S10089.1","7080049270","Axis2","USA","0.225259728787334","S9449","S10089"
"S9583.S10089.1","7080049270","Axis2","USA","-0.0548772530556619","S9583","S10089"
"S9721.S10089.1","7080049270","Axis2","USA","-0.251345567225639","S9721","S10089"
"S9965.S10089.1","7080049270","Axis2","USA","0.691647877784016","S9965","S10089"
"S10459.S10329.1","7080049270","Axis2","USA","0.649278032564251","S10459","S10329"
"S8637.S10329.1","7080049270","Axis2","USA","0.548460710841985","S8637","S10329"
"S8762.S10329.1","7080049270","Axis2","USA","0.672692451206002","S8762","S10329"
"S8891.S10329.1","7080049270","Axis2","USA","0.167288000903716","S8891","S10329"
"S9167.S10329.1","7080049270","Axis2","USA","0.543694238210767","S9167","S10329"
"S9315.S10329.1","7080049270","Axis2","USA","0.519808831224607","S9315","S10329"
"S9449.S10329.1","7080049270","Axis2","USA","0.0698642252939534","S9449","S10329"
"S9583.S10329.1","7080049270","Axis2","USA","0.688584882775907","S9583","S10329"
"S9721.S10329.1","7080049270","Axis2","USA","0.174962933007044","S9721","S10329"
"S9965.S10329.1","7080049270","Axis2","USA","0.163953460174002","S9965","S10329"
"S8637.S10459.1","7080049270","Axis2","USA","0.41550133643682","S8637","S10459"
"S8762.S10459.1","7080049270","Axis2","USA","0.752578206130534","S8762","S10459"
"S8891.S10459.1","7080049270","Axis2","USA","-0.168684127123662","S8891","S10459"
"S9167.S10459.1","7080049270","Axis2","USA","0.620823641964855","S9167","S10459"
"S9315.S10459.1","7080049270","Axis2","USA","0.414492094240374","S9315","S10459"
"S9449.S10459.1","7080049270","Axis2","USA","0.260201607691414","S9449","S10459"
"S9583.S10459.1","7080049270","Axis2","USA","0.211951809734188","S9583","S10459"
"S9721.S10459.1","7080049270","Axis2","USA","0.2629108010074","S9721","S10459"
