"","BasinPairs","Axis","Correlation","BasinID1","BasinID2","Euclid_Dist_Meters","MeanLat","MeanLon","MaxDist","Similarity"
"1","X2080017150.2080016960","Axis1",-0.0761285824843495,2080017150,2080016960,442880.979478336,42.3363716130686,-0.0288962802985948,17279330.5116857,0.974369320664431
"2","X2080020120.2080016960","Axis1",0.106091080668293,2080020120,2080016960,464950.042690162,42.556347357778,-0.0991954013641798,17279330.5116857,0.973092126319609
"3","X2080020330.2080016960","Axis1",-0.0123875069361445,2080020330,2080016960,291864.846697865,42.6257848664674,1.09417393339925,17279330.5116857,0.983109018807153
"4","X2080020590.2080016960","Axis1",0.393872200158815,2080020590,2080016960,234030.303716139,42.9811740499642,2.61900994990596,17279330.5116857,0.986456054905723
"5","X2080021030.2080016960","Axis1",-0.609284835952453,2080021030,2080016960,523738.374446136,44.2663712985872,2.19371064150596,17279330.5116857,0.969689891972843
"6","X2080022150.2080016960","Axis1",0.510994436348374,2080022150,2080016960,760875.475798296,45.3448109121658,2.89483330515861,17279330.5116857,0.955966148382674
"7","X2080023010.2080016960","Axis1",-0.345279999039355,2080023010,2080016960,795159.939757525,44.9377336268987,5.33000523484631,17279330.5116857,0.953982016883133
"8","X2080029400.2080016960","Axis1",0.186307328534643,2080029400,2080016960,2588033.5345251,52.0758257374482,12.1536952200575,17279330.5116857,0.850223737963988
"9","X2080030100.2080016960","Axis1",0.664619135432801,2080030100,2080016960,3099245.4955398,54.7887044135759,12.4657310680034,17279330.5116857,0.820638566208116
"10","X2080030160.2080016960","Axis1",0.0313283992724067,2080030160,2080016960,3022601.31238714,54.4328894842554,12.2548093289135,17279330.5116857,0.825074165324692
"11","X2080030220.2080016960","Axis1",0.0687054211633559,2080030220,2080016960,2953746.34775046,54.1409394792063,11.9616397683745,17279330.5116857,0.829058982015947
"12","X2080030370.2080016960","Axis1",0.283420421199457,2080030370,2080016960,2830278.25756112,53.5197551606232,11.8199051708011,17279330.5116857,0.836204402963005
"13","X2080030420.2080016960","Axis1",0.00152704805489819,2080030420,2080016960,2822732.50773454,53.4185897826551,12.0337864323796,17279330.5116857,0.836641095219194
"14","X2080030460.2080016960","Axis1",-0.0440686283818542,2080030460,2080016960,2801601.65898885,53.4125429300907,11.6520101394438,17279330.5116857,0.837863992641719
"15","X2080030560.2080016960","Axis1",0.548799644885979,2080030560,2080016960,2758980.33736515,53.3094044181884,11.1959599253349,17279330.5116857,0.840330599874845
"16","X2080030610.2080016960","Axis1",-0.0912616539211921,2080030610,2080016960,2723011.48378166,53.0348669790484,11.49789805234,17279330.5116857,0.842412211402511
"17","X2080030630.2080016960","Axis1",0.528629591537107,2080030630,2080016960,2701033.80503936,52.9328461709653,11.4423944217693,17279330.5116857,0.843684117089334
"18","X2080030660.2080016960","Axis1",-0.561900222277202,2080030660,2080016960,2677735.18181657,52.9375627462562,10.9848881545416,17279330.5116857,0.845032469284289
"19","X2080030710.2080016960","Axis1",-0.235020388018654,2080030710,2080016960,2663540.01965298,52.8525136525005,11.0211201543364,17279330.5116857,0.84585398040441
"20","X2080030760.2080016960","Axis1",-0.821823656747147,2080030760,2080016960,2653878.57091711,52.8669972242645,10.7817203474968,17279330.5116857,0.84641311368387
"21","X2080031060.2080016960","Axis1",0.331120441398249,2080031060,2080016960,2620071.87534563,52.9607293325838,9.69748778013507,17279330.5116857,0.848369595478614
"22","X2080031740.2080016960","Axis1",0.594581609345831,2080031740,2080016960,2168159.13649123,50.8692557209568,8.87724434047967,17279330.5116857,0.87452296632529
"23","X2080031750.2080016960","Axis1",0.212436882443467,2080031750,2080016960,2186336.51817423,50.5084534608683,10.2863795606224,17279330.5116857,0.873470993757793
"24","X2080031960.2080016960","Axis1",0.0681103420360609,2080031960,2080016960,1963477.66248631,49.8988926804108,8.57925457606222,17279330.5116857,0.886368417968599
"25","X2080032230.2080016960","Axis1",-0.238241741300049,2080032230,2080016960,1955041.80252574,49.6703027525932,9.12266181397782,17279330.5116857,0.886856623223708
"26","X2080032600.2080016960","Axis1",-0.340554828746994,2080032600,2080016960,1889522.8156158,49.4572346351377,8.73327390869127,17279330.5116857,0.890648378168475
"27","X2080032670.2080016960","Axis1",-0.0134393002271863,2080032670,2080016960,1807659.54578976,49.1746090557911,8.29540535517417,17279330.5116857,0.895386019466016
"28","X2080032980.2080016960","Axis1",-0.441046486926172,2080032980,2080016960,1753135.92065153,49.1068197232148,7.62844830543767,17279330.5116857,0.898541444099011
"29","X2080033010.2080016960","Axis1",-0.276480976856619,2080033010,2080016960,1869523.59494112,49.4991105371596,8.29585006386227,17279330.5116857,0.891805785318083
"30","X2080033020.2080016960","Axis1",-0.535055652701917,2080033020,2080016960,1807872.53926622,49.3232015784116,7.83926886809352,17279330.5116857,0.895373692977075
"31","X2080033080.2080016960","Axis1",0.0583716386655783,2080033080,2080016960,1853473.7605425,49.5245310410092,7.94709023149252,17279330.5116857,0.892734631165888
"32","X2080033090.2080016960","Axis1",-0.258829123100125,2080033090,2080016960,1808892.06539678,49.3674436911385,7.70878937099107,17279330.5116857,0.895314690336327
"33","X2080033120.2080016960","Axis1",-0.350827130027111,2080033120,2080016960,1852297.48693846,49.5744298194892,7.75596115249462,17279330.5116857,0.892802705192439
"34","X2080033190.2080016960","Axis1",-0.698792135906376,2080033190,2080016960,1868661.86980662,49.6923963433358,7.62921422454492,17279330.5116857,0.891855655602925
"35","X2080033320.2080016960","Axis1",-0.435412741546747,2080033320,2080016960,1769929.00343588,49.2690871103032,7.36310937821972,17279330.5116857,0.897569584525343
"36","X2080053790.2080016960","Axis1",-0.295984479194949,2080053790,2080016960,1200629.35792849,47.0987041892411,0.30840023892124,17279330.5116857,0.930516442340372
"37","X5080070260.2080016960","Axis1",0.27248211792231,5080070260,2080016960,16847512.7363179,7.5615982591032,77.8089114587712,17279330.5116857,0.0249904228104101
"38","X5080070390.2080016960","Axis1",0.00626948829644328,5080070390,2080016960,16845119.393027,7.2732245324762,77.5302959527092,17279330.5116857,0.0251289318394031
"39","X5080070440.2080016960","Axis1",0.180795034102734,5080070440,2080016960,16924239.5151209,6.94409091057895,77.7493888936077,17279330.5116857,0.0205500436677585
"40","X7080047060.2080016960","Axis1",0.129635965475108,7080047060,2080016960,7182663.83911066,40.6510703057521,-42.0163424462434,17279330.5116857,0.58432047849
"41","X7080049270.2080016960","Axis1",0.673460745306798,7080049270,2080016960,8812258.23757426,37.7668686278204,-50.8535273086533,17279330.5116857,0.490011593237673
"42","X2080020120.2080017150","Axis1",-0.434932621777584,2080020120,2080017150,50203.1830551153,42.9647810010514,-2.72965512400621,17279330.5116857,0.99709461063777
"43","X2080020330.2080017150","Axis1",0.216450255656936,2080020330,2080017150,194009.1312626,43.0342185097409,-1.53628578924278,17279330.5116857,0.988772184713326
"44","X2080020590.2080017150","Axis1",0.0940097784805799,2080020590,2080017150,452275.606728761,43.3896076932376,-0.0114497727360749,17279330.5116857,0.973825629041421
"45","X2080021030.2080017150","Axis1",0.147656323938043,2080021030,2080017150,554987.160106424,44.6748049418606,-0.436749081136075,17279330.5116857,0.967881443107353
"46","X2080022150.2080017150","Axis1",0.163876920998926,2080022150,2080017150,808299.137303024,45.7532445554392,0.264373582516575,17279330.5116857,0.953221617194232
"47","X2080023010.2080017150","Axis1",0.252609746683015,2080023010,2080017150,1018260.98070209,45.3461672701721,2.69954551220428,17279330.5116857,0.941070576778802
"48","X2080029400.2080017150","Axis1",-0.454269002884077,2080029400,2080017150,2692634.32402,52.4842593807216,9.52323549741548,17279330.5116857,0.844170217000073
"49","X2080030100.2080017150","Axis1",0.105705366638965,2080030100,2080017150,3146660.28228084,55.1971380568494,9.83527134536133,17279330.5116857,0.817894548625434
"50","X2080030160.2080017150","Axis1",-0.666142614077348,2080030160,2080017150,3074922.17185461,54.8413231275288,9.62434960627144,17279330.5116857,0.822046220495922
"51","X2080030220.2080017150","Axis1",-0.0744585897009923,2080030220,2080017150,3008835.64483631,54.5493731224797,9.33118004573243,17279330.5116857,0.825870820469492
"52","X2080030370.2080017150","Axis1",-0.032516625266837,2080030370,2080017150,2896804.00247973,53.9281888038966,9.18944544815909,17279330.5116857,0.832354384302061
"53","X2080030420.2080017150","Axis1",0.369898172099519,2080030420,2080017150,2893972.50278321,53.8270234259286,9.40332670973759,17279330.5116857,0.832518250586962
"54","X2080030460.2080017150","Axis1",0.564621712988038,2080030460,2080017150,2868458.15230123,53.8209765733641,9.02155041680174,17279330.5116857,0.833994832707127
"55","X2080030560.2080017150","Axis1",-0.0527791577301396,2080030560,2080017150,2822485.75902706,53.7178380614618,8.56550020269284,17279330.5116857,0.836655375211542
"56","X2080030610.2080017150","Axis1",0.163355650172967,2080030610,2080017150,2796310.853573,53.4433006223219,8.86743832969793,17279330.5116857,0.838170185373681
"57","X2080030630.2080017150","Axis1",-0.107883799441893,2080030630,2080017150,2775932.20462183,53.3412798142388,8.81193469912728,17279330.5116857,0.839349551028929
"58","X2080030660.2080017150","Axis1",-0.158474497415308,2080030660,2080017150,2746633.17589192,53.3459963895296,8.35442843189954,17279330.5116857,0.841045162367001
"59","X2080030710.2080017150","Axis1",-0.344022669848973,2080030710,2080017150,2734803.54916874,53.260947295774,8.39066043169439,17279330.5116857,0.841729773771082
"60","X2080030760.2080017150","Axis1",0.111672477668204,2080030760,2080017150,2721647.22908765,53.2754308675379,8.15126062485474,17279330.5116857,0.842491164385851
"61","X2080031060.2080017150","Axis1",-0.233107593634119,2080031060,2080017150,2670916.33510037,53.3691629758573,7.06702805749303,17279330.5116857,0.845427093758402
"62","X2080031740.2080017150","Axis1",0.14050353538426,2080031740,2080017150,2253177.56454084,51.2776893642302,6.24678461783764,17279330.5116857,0.86960272777831
"63","X2080031750.2080017150","Axis1",0.241816232179947,2080031750,2080017150,2305957.15530183,50.9168871041418,7.65591983798038,17279330.5116857,0.86654823497112
"64","X2080031960.2080017150","Axis1",-0.0909266674645376,2080031960,2080017150,2069056.80652297,50.3073263236843,5.94879485342019,17279330.5116857,0.880258277071342
"65","X2080032230.2080017150","Axis1",0.0311176856164936,2080032230,2080017150,2078420.83814582,50.0787363958666,6.49220209133578,17279330.5116857,0.879716356097233
"66","X2080032600.2080017150","Axis1",0.028688171008193,2080032600,2080017150,2011590.44662187,49.8656682784111,6.10281418604924,17279330.5116857,0.883584005453136
"67","X2080032670.2080017150","Axis1",-0.312856352920759,2080032670,2080017150,1929187.60336951,49.5830426990645,5.66494563253214,17279330.5116857,0.888352873274527
"68","X2080032980.2080017150","Axis1",-0.188099294475056,2080032980,2080017150,1861254.0318705,49.5152533664883,4.99798858279564,17279330.5116857,0.89228436653771
"69","X2080033010.2080017150","Axis1",0.188090879187327,2080033010,2080017150,1980945.42054347,49.907544180433,5.66539034122023,17279330.5116857,0.885357513174264
