"","Axis.1","Axis.2","site","year","HydroBasin","Country"
"S10015_2005",-0.182782963844716,-0.0581957234297034,"S10015",2005,"2080029400","FIN"
"S10015_2006",-0.157679297095659,-0.0175749183524119,"S10015",2006,"2080029400","FIN"
"S10015_2007",-0.121059677100143,-0.0088154065856435,"S10015",2007,"2080029400","FIN"
"S10015_2008",-0.104236367103837,-0.0378353945308618,"S10015",2008,"2080029400","FIN"
"S10015_2009",-0.13045404383236,-0.00455782777689702,"S10015",2009,"2080029400","FIN"
"S10015_2010",-0.10575147008463,0.000341736353924415,"S10015",2010,"2080029400","FIN"
"S10015_2011",-0.0762027462695351,0.0144844233596182,"S10015",2011,"2080029400","FIN"
"S10015_2012",-0.103926112373534,-0.0215983679943553,"S10015",2012,"2080029400","FIN"
"S10015_2013",-0.129667830458123,-0.0223464530862469,"S10015",2013,"2080029400","FIN"
"S10038_2005",-0.189977370811248,-0.0443369721047051,"S10038",2005,"2080029400","FIN"
"S10038_2006",-0.12790908158892,0.0074781924821014,"S10038",2006,"2080029400","FIN"
"S10038_2007",-0.172254726770884,-0.0159436340007097,"S10038",2007,"2080029400","FIN"
"S10038_2008",-0.148253626421616,-0.0156615130699728,"S10038",2008,"2080029400","FIN"
"S10038_2009",-0.138501877599739,0.00156178555584299,"S10038",2009,"2080029400","FIN"
"S10038_2010",-0.112321359410748,-0.0066482771363558,"S10038",2010,"2080029400","FIN"
"S10038_2011",-0.128495865935374,0.00513844649124757,"S10038",2011,"2080029400","FIN"
"S10038_2012",-0.124908087602199,-0.0577352628700671,"S10038",2012,"2080029400","FIN"
"S10038_2013",-0.0654245396947507,-0.0642826875638734,"S10038",2013,"2080029400","FIN"
"S10089_2004",-0.363501547883541,-0.0399198010539179,"S10089",2004,"7080049270","USA"
"S10089_2005",-0.43308551759886,-0.0466401767528051,"S10089",2005,"7080049270","USA"
"S10089_2006",-0.315873957256479,0.0106428871023972,"S10089",2006,"7080049270","USA"
"S10089_2007",-0.300149546892963,-0.00930523678425465,"S10089",2007,"7080049270","USA"
"S10089_2008",-0.327117919670759,-0.025475512856421,"S10089",2008,"7080049270","USA"
