"","Axis1","Axis2","site_year","site","MAIN_BAS","origin","sINGEO_ID","year"
"1001_2005",-1.0692076237007,0.654308745746273,"1001_2005",1001,"2080030100","Sweden",1001,2005
"1001_2006",-1.69761156865215,0.869207908099094,"1001_2006",1001,"2080030100","Sweden",1001,2006
"1001_2007",-2.26217015506909,0.719630589495929,"1001_2007",1001,"2080030100","Sweden",1001,2007
"1001_2008",-2.70716890616825,0.582049416505992,"1001_2008",1001,"2080030100","Sweden",1001,2008
"1001_2009",-1.79040494219109,0.702155503074286,"1001_2009",1001,"2080030100","Sweden",1001,2009
"1001_2010",-0.286156231007038,1.55128334689075,"1001_2010",1001,"2080030100","Sweden",1001,2010
"1001_2012",-1.86792828653781,0.514652815288999,"1001_2012",1001,"2080030100","Sweden",1001,2012
"1001_2013",-1.86323179215278,0.791793678438142,"1001_2013",1001,"2080030100","Sweden",1001,2013
"1004_2004",-1.53229066780209,0.452950432441112,"1004_2004",1004,"2080033080","Sweden",1004,2004
"1004_2005",-1.68337482824524,0.452668035642438,"1004_2005",1004,"2080033080","Sweden",1004,2005
"1004_2007",-2.60739282830059,0.45094092060691,"1004_2007",1004,"2080033080","Sweden",1004,2007
"1004_2008",-2.12932591071542,0.386406769773153,"1004_2008",1004,"2080033080","Sweden",1004,2008
"1004_2009",-1.63780337220898,0.371700961286663,"1004_2009",1004,"2080033080","Sweden",1004,2009
"1004_2010",-1.41077282881807,0.385296303389928,"1004_2010",1004,"2080033080","Sweden",1004,2010
"1004_2011",-1.48521478708455,0.413108269307779,"1004_2011",1004,"2080033080","Sweden",1004,2011
"1004_2012",-1.47957543356052,0.453048964367605,"1004_2012",1004,"2080033080","Sweden",1004,2012
"1004_2013",-1.33704905949996,0.453315365502198,"1004_2013",1004,"2080033080","Sweden",1004,2013
"1012_2004",-3.37657620558477,0.362537069010256,"1012_2004",1012,"2080030160","Sweden",1012,2004
"1012_2005",-4.18757654071113,0.447987342810332,"1012_2005",1012,"2080030160","Sweden",1012,2005
"1012_2006",-4.05800710974699,0.448229525659962,"1012_2006",1012,"2080030160","Sweden",1012,2006
"1012_2007",-2.42322844468311,0.0291351116756516,"1012_2007",1012,"2080030160","Sweden",1012,2007
"1012_2008",-3.19969622127223,0.339595051758237,"1012_2008",1012,"2080030160","Sweden",1012,2008
"1012_2009",-3.41158829758864,0.321127066642566,"1012_2009",1012,"2080030160","Sweden",1012,2009
