"","Axis","Correlation","BasinID1","BasinID2"
"X2080017150.2080016960","Axis1","-0.0761285824843495","2080017150","2080016960"
"X2080020120.2080016960","Axis1","0.106091080668293","2080020120","2080016960"
"X2080020330.2080016960","Axis1","-0.0123875069361445","2080020330","2080016960"
"X2080020590.2080016960","Axis1","0.393872200158815","2080020590","2080016960"
"X2080021030.2080016960","Axis1","-0.609284835952453","2080021030","2080016960"
"X2080022150.2080016960","Axis1","0.510994436348374","2080022150","2080016960"
"X2080023010.2080016960","Axis1","-0.345279999039355","2080023010","2080016960"
"X2080029400.2080016960","Axis1","0.186307328534643","2080029400","2080016960"
"X2080030100.2080016960","Axis1","0.664619135432801","2080030100","2080016960"
"X2080030160.2080016960","Axis1","0.0313283992724067","2080030160","2080016960"
"X2080030220.2080016960","Axis1","0.0687054211633559","2080030220","2080016960"
"X2080030370.2080016960","Axis1","0.283420421199457","2080030370","2080016960"
"X2080030420.2080016960","Axis1","0.00152704805489819","2080030420","2080016960"
"X2080030460.2080016960","Axis1","-0.0440686283818542","2080030460","2080016960"
"X2080030560.2080016960","Axis1","0.548799644885979","2080030560","2080016960"
"X2080030610.2080016960","Axis1","-0.0912616539211921","2080030610","2080016960"
"X2080030630.2080016960","Axis1","0.528629591537107","2080030630","2080016960"
"X2080030660.2080016960","Axis1","-0.561900222277202","2080030660","2080016960"
"X2080030710.2080016960","Axis1","-0.235020388018654","2080030710","2080016960"
"X2080030760.2080016960","Axis1","-0.821823656747147","2080030760","2080016960"
"X2080031060.2080016960","Axis1","0.331120441398249","2080031060","2080016960"
"X2080031740.2080016960","Axis1","0.594581609345831","2080031740","2080016960"
"X2080031750.2080016960","Axis1","0.212436882443467","2080031750","2080016960"
"X2080031960.2080016960","Axis1","0.0681103420360609","2080031960","2080016960"
"X2080032230.2080016960","Axis1","-0.238241741300049","2080032230","2080016960"
"X2080032600.2080016960","Axis1","-0.340554828746994","2080032600","2080016960"
"X2080032670.2080016960","Axis1","-0.0134393002271863","2080032670","2080016960"
"X2080032980.2080016960","Axis1","-0.441046486926172","2080032980","2080016960"
"X2080033010.2080016960","Axis1","-0.276480976856619","2080033010","2080016960"
"X2080033020.2080016960","Axis1","-0.535055652701917","2080033020","2080016960"
"X2080033080.2080016960","Axis1","0.0583716386655783","2080033080","2080016960"
"X2080033090.2080016960","Axis1","-0.258829123100125","2080033090","2080016960"
"X2080033120.2080016960","Axis1","-0.350827130027111","2080033120","2080016960"
"X2080033190.2080016960","Axis1","-0.698792135906376","2080033190","2080016960"
"X2080033320.2080016960","Axis1","-0.435412741546747","2080033320","2080016960"
"X2080053790.2080016960","Axis1","-0.295984479194949","2080053790","2080016960"
"X5080070260.2080016960","Axis1","0.27248211792231","5080070260","2080016960"
