"","basin_ID","Axis","Correlation","Site_ID1","Site_ID2"
"S1481.S1468","2080016510","Axis1","0.228184254377193","S1481","S1468"
"S1548.S1468","2080016510","Axis1","0.163480008718367","S1548","S1468"
"S1578.S1468","2080016510","Axis1","-0.641949539163458","S1578","S1468"
"S3412.S1468","2080016510","Axis1","-0.476300263407331","S3412","S1468"
"S3440.S1468","2080016510","Axis1","0.0877405693684213","S3440","S1468"
"S5166.S1468","2080016510","Axis1",NA,"S5166","S1468"
"S5193.S1468","2080016510","Axis1","-0.246308301527912","S5193","S1468"
"S5212.S1468","2080016510","Axis1","-0.326478209825924","S5212","S1468"
"S5448.S1468","2080016510","Axis1",NA,"S5448","S1468"
"S5449.S1468","2080016510","Axis1","0.356154246108841","S5449","S1468"
"S5471.S1468","2080016510","Axis1","-0.463735064141457","S5471","S1468"
"S5472.S1468","2080016510","Axis1","0.0611895906721909","S5472","S1468"
"S5490.S1468","2080016510","Axis1","-0.0838269145653846","S5490","S1468"
"S5546.S1468","2080016510","Axis1","-0.134330809369281","S5546","S1468"
"S1548.S1481","2080016510","Axis1","0.0938470108672667","S1548","S1481"
"S1578.S1481","2080016510","Axis1","0.304120665882905","S1578","S1481"
"S3412.S1481","2080016510","Axis1","-0.0552451026359877","S3412","S1481"
"S3440.S1481","2080016510","Axis1","0.535873920421318","S3440","S1481"
"S5166.S1481","2080016510","Axis1",NA,"S5166","S1481"
"S5193.S1481","2080016510","Axis1","0.0956571297669181","S5193","S1481"
"S5212.S1481","2080016510","Axis1","0.310450942134666","S5212","S1481"
"S5448.S1481","2080016510","Axis1",NA,"S5448","S1481"
"S5449.S1481","2080016510","Axis1","0.551509102350072","S5449","S1481"
"S5471.S1481","2080016510","Axis1","-0.334216557081118","S5471","S1481"
"S5472.S1481","2080016510","Axis1","-0.262600689769998","S5472","S1481"
"S5490.S1481","2080016510","Axis1","-0.226706495117851","S5490","S1481"
"S5546.S1481","2080016510","Axis1","0.233941519288789","S5546","S1481"
"S1578.S1548","2080016510","Axis1","0.28096411430405","S1578","S1548"
"S3412.S1548","2080016510","Axis1","0.134554552227724","S3412","S1548"
"S3440.S1548","2080016510","Axis1","-0.323201098581453","S3440","S1548"
"S5166.S1548","2080016510","Axis1",NA,"S5166","S1548"
"S5193.S1548","2080016510","Axis1","-0.777105590228975","S5193","S1548"
"S5212.S1548","2080016510","Axis1","-0.295709867166743","S5212","S1548"
"S5448.S1548","2080016510","Axis1",NA,"S5448","S1548"
"S5449.S1548","2080016510","Axis1","0.382902896368178","S5449","S1548"
"S5471.S1548","2080016510","Axis1","-0.382178937904446","S5471","S1548"
"S5472.S1548","2080016510","Axis1","-0.511621120842515","S5472","S1548"
"S5490.S1548","2080016510","Axis1","-0.52481745401102","S5490","S1548"
"S5546.S1548","2080016510","Axis1","0.307224980809508","S5546","S1548"
"S3412.S1578","2080016510","Axis1","0.297966959495243","S3412","S1578"
"S3440.S1578","2080016510","Axis1","0.135633159874755","S3440","S1578"
"S5166.S1578","2080016510","Axis1",NA,"S5166","S1578"
"S5193.S1578","2080016510","Axis1","0.0965159568920263","S5193","S1578"
"S5212.S1578","2080016510","Axis1","0.238979060976556","S5212","S1578"
"S5448.S1578","2080016510","Axis1",NA,"S5448","S1578"
"S5449.S1578","2080016510","Axis1","0.265170976914672","S5449","S1578"
"S5471.S1578","2080016510","Axis1","0.282489053782074","S5471","S1578"
"S5472.S1578","2080016510","Axis1","-0.569718147490639","S5472","S1578"
"S5490.S1578","2080016510","Axis1","-0.0517962745876238","S5490","S1578"
"S5546.S1578","2080016510","Axis1","0.353413219037484","S5546","S1578"
"S3440.S3412","2080016510","Axis1","-0.0226515122384254","S3440","S3412"
"S5166.S3412","2080016510","Axis1",NA,"S5166","S3412"
"S5193.S3412","2080016510","Axis1","-0.0444162695754074","S5193","S3412"
"S5212.S3412","2080016510","Axis1","-0.180795790620852","S5212","S3412"
"S5448.S3412","2080016510","Axis1",NA,"S5448","S3412"
"S5449.S3412","2080016510","Axis1","-0.114286565073128","S5449","S3412"
"S5471.S3412","2080016510","Axis1","0.0114750774082411","S5471","S3412"
"S5472.S3412","2080016510","Axis1","0.264566309938883","S5472","S3412"
"S5490.S3412","2080016510","Axis1","0.199815131124904","S5490","S3412"
"S5546.S3412","2080016510","Axis1","0.698398112045962","S5546","S3412"
