"","Country","Axis","Correlation","BasinID1","BasinID2"
"X2080033190.2080030160","SWE","Axis1","0.0797886290108004","2080033190","2080030160"
"X2080033320.2080030160","SWE","Axis1","-0.241558528476166","2080033320","2080030160"
"X2080030370.2080030220","SWE","Axis1","0.207563925965067","2080030370","2080030220"
"X2080030420.2080030220","SWE","Axis1","-0.133776605513231","2080030420","2080030220"
"X2080030460.2080030220","SWE","Axis1","-0.174978224185323","2080030460","2080030220"
"X2080030560.2080030220","SWE","Axis1","-0.434502071995289","2080030560","2080030220"
"X2080030610.2080030220","SWE","Axis1","0.103272512952393","2080030610","2080030220"
"X2080030630.2080030220","SWE","Axis1","-0.217025019391279","2080030630","2080030220"
"X2080030660.2080030220","SWE","Axis1","-0.32903078865733","2080030660","2080030220"
"X2080030710.2080030220","SWE","Axis1","0.590845963929092","2080030710","2080030220"
"X2080030760.2080030220","SWE","Axis1","0.125444858334841","2080030760","2080030220"
"X2080031060.2080030220","SWE","Axis1","0.744011565142006","2080031060","2080030220"
"X2080031740.2080030220","SWE","Axis1","0.258148575136755","2080031740","2080030220"
"X2080031750.2080030220","SWE","Axis1","-0.449976024289761","2080031750","2080030220"
"X2080031960.2080030220","SWE","Axis1","0.382662923956072","2080031960","2080030220"
"X2080032230.2080030220","SWE","Axis1","-0.628647294344209","2080032230","2080030220"
"X2080032600.2080030220","SWE","Axis1","0.0941056232124539","2080032600","2080030220"
"X2080032670.2080030220","SWE","Axis1","0.565569967411798","2080032670","2080030220"
"X2080032980.2080030220","SWE","Axis1","0.0760087240557626","2080032980","2080030220"
"X2080033010.2080030220","SWE","Axis1","-0.85170188701447","2080033010","2080030220"
"X2080033020.2080030220","SWE","Axis1","-0.431307835417695","2080033020","2080030220"
"X2080033080.2080030220","SWE","Axis1","-0.472302372964439","2080033080","2080030220"
"X2080033090.2080030220","SWE","Axis1","-0.428699736197484","2080033090","2080030220"
"X2080033120.2080030220","SWE","Axis1","0.612263238577068","2080033120","2080030220"
"X2080033190.2080030220","SWE","Axis1","-0.313755502629348","2080033190","2080030220"
"X2080033320.2080030220","SWE","Axis1","0.357979748772261","2080033320","2080030220"
"X2080030420.2080030370","SWE","Axis1","0.375822891059381","2080030420","2080030370"
"X2080030460.2080030370","SWE","Axis1","-0.0276920048751805","2080030460","2080030370"
"X2080030560.2080030370","SWE","Axis1","0.440669424400933","2080030560","2080030370"
