"","Country","Axis","Correlation","BasinID1","BasinID2"
"X2080020330.2080016510","FRA","Axis1","-0.311419308590399","2080020330","2080016510"
"X2080020590.2080016510","FRA","Axis1","0.704542655167352","2080020590","2080016510"
"X2080021030.2080016510","FRA","Axis1","-0.03940557469705","2080021030","2080016510"
"X2080022150.2080016510","FRA","Axis1","0.760618891862382","2080022150","2080016510"
"X2080023010.2080016510","FRA","Axis1","0.0794435433418903","2080023010","2080016510"
"X2080020590.2080020330","FRA","Axis1","-0.261332731082697","2080020590","2080020330"
"X2080021030.2080020330","FRA","Axis1","0.119815672176279","2080021030","2080020330"
"X2080022150.2080020330","FRA","Axis1","0.00249704455338711","2080022150","2080020330"
"X2080023010.2080020330","FRA","Axis1","-0.712555675275234","2080023010","2080020330"
"X2080021030.2080020590","FRA","Axis1","-0.380545793819692","2080021030","2080020590"
"X2080022150.2080020590","FRA","Axis1","0.757142968754635","2080022150","2080020590"
"X2080023010.2080020590","FRA","Axis1","-0.266710144717644","2080023010","2080020590"
"X2080022150.2080021030","FRA","Axis1","-0.308961280324025","2080022150","2080021030"
"X2080023010.2080021030","FRA","Axis1","-0.148505745172705","2080023010","2080021030"
"X2080023010.2080022150","FRA","Axis1","-0.212545632459999","2080023010","2080022150"
"X2080020330.2080016510.1","FRA","Axis2","-0.165782862877803","2080020330","2080016510"
"X2080020590.2080016510.1","FRA","Axis2","0.235449344792033","2080020590","2080016510"
"X2080021030.2080016510.1","FRA","Axis2","-0.181822175938703","2080021030","2080016510"
"X2080022150.2080016510.1","FRA","Axis2","0.623378872926195","2080022150","2080016510"
"X2080023010.2080016510.1","FRA","Axis2","0.21869741448209","2080023010","2080016510"
"X2080020590.2080020330.1","FRA","Axis2","0.191545668700129","2080020590","2080020330"
"X2080021030.2080020330.1","FRA","Axis2","-0.174487767874576","2080021030","2080020330"
"X2080022150.2080020330.1","FRA","Axis2","0.141204696961663","2080022150","2080020330"
"X2080023010.2080020330.1","FRA","Axis2","-0.359241471890531","2080023010","2080020330"
"X2080021030.2080020590.1","FRA","Axis2","-0.522794939967714","2080021030","2080020590"
"X2080022150.2080020590.1","FRA","Axis2","0.720073332330872","2080022150","2080020590"
"X2080023010.2080020590.1","FRA","Axis2","0.019717773260071","2080023010","2080020590"
"X2080022150.2080021030.1","FRA","Axis2","-0.672431424930643","2080022150","2080021030"
"X2080023010.2080021030.1","FRA","Axis2","0.347197883181671","2080023010","2080021030"
"X2080023010.2080022150.1","FRA","Axis2","-0.31887023847316","2080023010","2080022150"
"X2080017150.2080016960","ESP","Axis1","-0.159109681883898","2080017150","2080016960"
"X2080020120.2080016960","ESP","Axis1","-0.259012406508304","2080020120","2080016960"
"X2080020120.2080017150","ESP","Axis1","0.472656926429296","2080020120","2080017150"
"X2080017150.2080016960.1","ESP","Axis2","0.236703242785537","2080017150","2080016960"
"X2080020120.2080016960.1","ESP","Axis2","0.0995738499882508","2080020120","2080016960"
"X2080020120.2080017150.1","ESP","Axis2","0.316126146744177","2080020120","2080017150"
"X2080030160.2080030100","SWE","Axis1","-0.127238969057214","2080030160","2080030100"
"X2080030220.2080030100","SWE","Axis1","0.0938581375920887","2080030220","2080030100"
"X2080030370.2080030100","SWE","Axis1","0.530000008557483","2080030370","2080030100"
"X2080030420.2080030100","SWE","Axis1","0.391266260321117","2080030420","2080030100"
"X2080030460.2080030100","SWE","Axis1","0.112712135321943","2080030460","2080030100"
"X2080030560.2080030100","SWE","Axis1","0.682550949607175","2080030560","2080030100"
"X2080030610.2080030100","SWE","Axis1","0.642133708148441","2080030610","2080030100"
"X2080030630.2080030100","SWE","Axis1","0.487222803713099","2080030630","2080030100"
"X2080030660.2080030100","SWE","Axis1","0.124508192101166","2080030660","2080030100"
"X2080030710.2080030100","SWE","Axis1","-0.0433766797036155","2080030710","2080030100"
"X2080030760.2080030100","SWE","Axis1","-0.156555815841384","2080030760","2080030100"
"X2080031060.2080030100","SWE","Axis1","0.169500156538216","2080031060","2080030100"
"X2080031740.2080030100","SWE","Axis1","0.681013357619941","2080031740","2080030100"
"X2080031750.2080030100","SWE","Axis1","0.653156856565439","2080031750","2080030100"
"X2080031960.2080030100","SWE","Axis1","0.0751957247520557","2080031960","2080030100"
"X2080032230.2080030100","SWE","Axis1","-0.406544101919","2080032230","2080030100"
"X2080032600.2080030100","SWE","Axis1","-0.312923568676188","2080032600","2080030100"
"X2080032670.2080030100","SWE","Axis1","0.0577238280864429","2080032670","2080030100"
"X2080032980.2080030100","SWE","Axis1","0.0649205716412099","2080032980","2080030100"
"X2080033010.2080030100","SWE","Axis1","0.0720577204567634","2080033010","2080030100"
"X2080033020.2080030100","SWE","Axis1","-0.450894329203345","2080033020","2080030100"
"X2080033080.2080030100","SWE","Axis1","-0.0363324545455235","2080033080","2080030100"
"X2080033090.2080030100","SWE","Axis1","-0.291347129647257","2080033090","2080030100"
"X2080033120.2080030100","SWE","Axis1","-0.473598888898271","2080033120","2080030100"
"X2080033190.2080030100","SWE","Axis1","-0.141357726341383","2080033190","2080030100"
"X2080033320.2080030100","SWE","Axis1","-0.602498891746053","2080033320","2080030100"
"X2080030220.2080030160","SWE","Axis1","0.194644335994265","2080030220","2080030160"
"X2080030370.2080030160","SWE","Axis1","0.390273129117677","2080030370","2080030160"
"X2080030420.2080030160","SWE","Axis1","-0.478325907262482","2080030420","2080030160"
"X2080030460.2080030160","SWE","Axis1","-0.478845878852613","2080030460","2080030160"
"X2080030560.2080030160","SWE","Axis1","-0.0914972843389381","2080030560","2080030160"
"X2080030610.2080030160","SWE","Axis1","-0.0994336863283858","2080030610","2080030160"
"X2080030630.2080030160","SWE","Axis1","0.458674581260171","2080030630","2080030160"
"X2080030660.2080030160","SWE","Axis1","0.067640545097623","2080030660","2080030160"
"X2080030710.2080030160","SWE","Axis1","0.466096252118413","2080030710","2080030160"
"X2080030760.2080030160","SWE","Axis1","0.157918654411852","2080030760","2080030160"
"X2080031060.2080030160","SWE","Axis1","0.479347062541548","2080031060","2080030160"
"X2080031740.2080030160","SWE","Axis1","0.197008723066652","2080031740","2080030160"
"X2080031750.2080030160","SWE","Axis1","-0.361858322607519","2080031750","2080030160"
"X2080031960.2080030160","SWE","Axis1","0.211974655556795","2080031960","2080030160"
"X2080032230.2080030160","SWE","Axis1","-0.102249581624666","2080032230","2080030160"
"X2080032600.2080030160","SWE","Axis1","0.0965763389075911","2080032600","2080030160"
"X2080032670.2080030160","SWE","Axis1","0.506972979702123","2080032670","2080030160"
"X2080032980.2080030160","SWE","Axis1","0.827965124308833","2080032980","2080030160"
"X2080033010.2080030160","SWE","Axis1","-0.428512311359722","2080033010","2080030160"
"X2080033020.2080030160","SWE","Axis1","-0.141194809064967","2080033020","2080030160"
"X2080033080.2080030160","SWE","Axis1","-0.209691336472395","2080033080","2080030160"
"X2080033090.2080030160","SWE","Axis1","0.344679750090893","2080033090","2080030160"
"X2080033120.2080030160","SWE","Axis1","0.380234870217205","2080033120","2080030160"
"X2080033190.2080030160","SWE","Axis1","0.297701185532436","2080033190","2080030160"
"X2080033320.2080030160","SWE","Axis1","-0.445152651405883","2080033320","2080030160"
"X2080030370.2080030220","SWE","Axis1","0.445384645854899","2080030370","2080030220"
"X2080030420.2080030220","SWE","Axis1","0.0659635543762864","2080030420","2080030220"
"X2080030460.2080030220","SWE","Axis1","-0.0612044932066792","2080030460","2080030220"
"X2080030560.2080030220","SWE","Axis1","-0.350683384074897","2080030560","2080030220"
"X2080030610.2080030220","SWE","Axis1","0.394276338011412","2080030610","2080030220"
"X2080030630.2080030220","SWE","Axis1","0.0192597730349338","2080030630","2080030220"
"X2080030660.2080030220","SWE","Axis1","-0.137794602976797","2080030660","2080030220"
"X2080030710.2080030220","SWE","Axis1","0.604612068784887","2080030710","2080030220"
"X2080030760.2080030220","SWE","Axis1","0.216422272269643","2080030760","2080030220"
"X2080031060.2080030220","SWE","Axis1","0.791119564315793","2080031060","2080030220"
"X2080031740.2080030220","SWE","Axis1","0.458494036473162","2080031740","2080030220"
"X2080031750.2080030220","SWE","Axis1","-0.35143579920245","2080031750","2080030220"
"X2080031960.2080030220","SWE","Axis1","0.255521557713327","2080031960","2080030220"
"X2080032230.2080030220","SWE","Axis1","-0.59891847467062","2080032230","2080030220"
"X2080032600.2080030220","SWE","Axis1","0.231178308303859","2080032600","2080030220"
"X2080032670.2080030220","SWE","Axis1","0.349524134151546","2080032670","2080030220"
"X2080032980.2080030220","SWE","Axis1","-0.041041115346375","2080032980","2080030220"
"X2080033010.2080030220","SWE","Axis1","-0.782937793534497","2080033010","2080030220"
"X2080033020.2080030220","SWE","Axis1","-0.546550159874784","2080033020","2080030220"
"X2080033080.2080030220","SWE","Axis1","-0.497460410914445","2080033080","2080030220"
"X2080033090.2080030220","SWE","Axis1","-0.539932208856651","2080033090","2080030220"
"X2080033120.2080030220","SWE","Axis1","0.606904392257429","2080033120","2080030220"
"X2080033190.2080030220","SWE","Axis1","-0.215316414450087","2080033190","2080030220"
"X2080033320.2080030220","SWE","Axis1","0.0635684383237856","2080033320","2080030220"
"X2080030420.2080030370","SWE","Axis1","0.170013919609944","2080030420","2080030370"
"X2080030460.2080030370","SWE","Axis1","0.0265157158773891","2080030460","2080030370"
"X2080030560.2080030370","SWE","Axis1","0.445553226998546","2080030560","2080030370"
"X2080030610.2080030370","SWE","Axis1","0.405254516971547","2080030610","2080030370"
"X2080030630.2080030370","SWE","Axis1","0.597557079760504","2080030630","2080030370"
"X2080030660.2080030370","SWE","Axis1","0.320868379588152","2080030660","2080030370"
"X2080030710.2080030370","SWE","Axis1","0.670228244915527","2080030710","2080030370"
"X2080030760.2080030370","SWE","Axis1","0.133629112333672","2080030760","2080030370"
"X2080031060.2080030370","SWE","Axis1","0.578428918449911","2080031060","2080030370"
"X2080031740.2080030370","SWE","Axis1","0.518415048318722","2080031740","2080030370"
"X2080031750.2080030370","SWE","Axis1","0.034771412045141","2080031750","2080030370"
"X2080031960.2080030370","SWE","Axis1","0.311438059162936","2080031960","2080030370"
"X2080032230.2080030370","SWE","Axis1","-0.544952898818109","2080032230","2080030370"
"X2080032600.2080030370","SWE","Axis1","0.164717709489646","2080032600","2080030370"
"X2080032670.2080030370","SWE","Axis1","0.342012248785097","2080032670","2080030370"
"X2080032980.2080030370","SWE","Axis1","0.43701038255406","2080032980","2080030370"
"X2080033010.2080030370","SWE","Axis1","-0.515365911776845","2080033010","2080030370"
"X2080033020.2080030370","SWE","Axis1","-0.871468162257541","2080033020","2080030370"
"X2080033080.2080030370","SWE","Axis1","-0.380358647715291","2080033080","2080030370"
"X2080033090.2080030370","SWE","Axis1","-0.180373034747633","2080033090","2080030370"
"X2080033120.2080030370","SWE","Axis1","-0.0999986307863906","2080033120","2080030370"
"X2080033190.2080030370","SWE","Axis1","0.0920107788285139","2080033190","2080030370"
"X2080033320.2080030370","SWE","Axis1","-0.279829707223414","2080033320","2080030370"
"X2080030460.2080030420","SWE","Axis1","0.0356188216737095","2080030460","2080030420"
"X2080030560.2080030420","SWE","Axis1","0.0776242339228672","2080030560","2080030420"
"X2080030610.2080030420","SWE","Axis1","0.702432239792044","2080030610","2080030420"
"X2080030630.2080030420","SWE","Axis1","-0.114441139956754","2080030630","2080030420"
"X2080030660.2080030420","SWE","Axis1","0.368891370806247","2080030660","2080030420"
"X2080030710.2080030420","SWE","Axis1","0.229430629551731","2080030710","2080030420"
"X2080030760.2080030420","SWE","Axis1","0.161288638823279","2080030760","2080030420"
"X2080031060.2080030420","SWE","Axis1","-0.243747245483359","2080031060","2080030420"
"X2080031740.2080030420","SWE","Axis1","0.27315923682447","2080031740","2080030420"
"X2080031750.2080030420","SWE","Axis1","0.172945269579803","2080031750","2080030420"
"X2080031960.2080030420","SWE","Axis1","-0.218167128081304","2080031960","2080030420"
"X2080032230.2080030420","SWE","Axis1","-0.02825154382809","2080032230","2080030420"
"X2080032600.2080030420","SWE","Axis1","0.0465587474950051","2080032600","2080030420"
"X2080032670.2080030420","SWE","Axis1","0.278752013010776","2080032670","2080030420"
"X2080032980.2080030420","SWE","Axis1","-0.331776287641234","2080032980","2080030420"
"X2080033010.2080030420","SWE","Axis1","0.413470768588437","2080033010","2080030420"
"X2080033020.2080030420","SWE","Axis1","-0.312441290070963","2080033020","2080030420"
"X2080033080.2080030420","SWE","Axis1","0.122720782486884","2080033080","2080030420"
"X2080033090.2080030420","SWE","Axis1","-0.191687561524973","2080033090","2080030420"
"X2080033120.2080030420","SWE","Axis1","-0.218093686839989","2080033120","2080030420"
"X2080033190.2080030420","SWE","Axis1","0.229411994558093","2080033190","2080030420"
"X2080033320.2080030420","SWE","Axis1","0.116293020017479","2080033320","2080030420"
"X2080030560.2080030460","SWE","Axis1","0.00757876681922898","2080030560","2080030460"
"X2080030610.2080030460","SWE","Axis1","-0.00174133159382257","2080030610","2080030460"
"X2080030630.2080030460","SWE","Axis1","-0.407950139932044","2080030630","2080030460"
"X2080030660.2080030460","SWE","Axis1","-0.168553037582233","2080030660","2080030460"
"X2080030710.2080030460","SWE","Axis1","-0.0824136489998522","2080030710","2080030460"
"X2080030760.2080030460","SWE","Axis1","-0.0312618380115945","2080030760","2080030460"
"X2080031060.2080030460","SWE","Axis1","-0.180117243373888","2080031060","2080030460"
"X2080031740.2080030460","SWE","Axis1","0.108998435921345","2080031740","2080030460"
"X2080031750.2080030460","SWE","Axis1","0.0481268232434172","2080031750","2080030460"
"X2080031960.2080030460","SWE","Axis1","0.00647325229327995","2080031960","2080030460"
"X2080032230.2080030460","SWE","Axis1","-0.546151289942898","2080032230","2080030460"
"X2080032600.2080030460","SWE","Axis1","0.119974888186648","2080032600","2080030460"
"X2080032670.2080030460","SWE","Axis1","-0.149051956404117","2080032670","2080030460"
"X2080032980.2080030460","SWE","Axis1","-0.370408266182021","2080032980","2080030460"
"X2080033010.2080030460","SWE","Axis1","-0.0163749664188731","2080033010","2080030460"
"X2080033020.2080030460","SWE","Axis1","-0.277376940820554","2080033020","2080030460"
"X2080033080.2080030460","SWE","Axis1","0.296308093286074","2080033080","2080030460"
"X2080033090.2080030460","SWE","Axis1","-0.394017758162706","2080033090","2080030460"
"X2080033120.2080030460","SWE","Axis1","-0.0675288853022415","2080033120","2080030460"
