"","Pair","basin_ID","Axis","Country","Correlation","Site_ID1","Site_ID2","Euclid_Dist_Meters","Similarity","MeanLat","MeanLon","MaxDist"
"1","S10038.S10015",2080029400,"Axis1","FIN",0.538264560760925,"S10038","S10015",5368.31786565645,0.744812454514398,62.243985,21.66378,21036.7549695302
"2","S11887.S10015",2080029400,"Axis1","FIN",-0.0336776717993296,"S11887","S10015",10447.1396411338,0.50338635135193,62.254575,21.606835,21036.7549695302
"3","S11924.S10015",2080029400,"Axis1","FIN",0.491633105682024,"S11924","S10015",8932.75093568832,0.575374103628312,62.222625,21.75137,21036.7549695302
"4","S11928.S10015",2080029400,"Axis1","FIN",-0.0136056046537643,"S11928","S10015",7503.1681917983,0.643330532552861,62.24887,21.63718,21036.7549695302
"5","S12211.S10015",2080029400,"Axis1","FIN",0.722384788090455,"S12211","S10015",12851.463058612,0.389094797309464,62.213885,21.789225,21036.7549695302
"6","S12290.S10015",2080029400,"Axis1","FIN",0.657145472302167,"S12290","S10015",9497.60621412152,0.548523228612116,62.22157,21.757945,21036.7549695302
"7","S12298.S10015",2080029400,"Axis1","FIN",-0.344905845257866,"S12298","S10015",2873.37490593532,0.863411685400284,62.247275,21.725375,21036.7549695302
"8","S12306.S10015",2080029400,"Axis1","FIN",0.443557531290369,"S12306","S10015",2350.4487398607,0.88826942447801,62.24972,21.72359,21036.7549695302
"9","S12317.S10015",2080029400,"Axis1","FIN",0.517569816703866,"S12317","S10015",7953.69127413322,0.621914535504482,62.227705,21.75089,21036.7549695302
"10","S11887.S10038",2080029400,"Axis1","FIN",0.417540246811804,"S11887","S10038",6373.56300831904,0.697027273571872,62.24156,21.563385,21036.7549695302
"11","S11924.S10038",2080029400,"Axis1","FIN",0.588601125816128,"S11924","S10038",10284.4267515633,0.511121046641494,62.20961,21.70792,21036.7549695302
"12","S11928.S10038",2080029400,"Axis1","FIN",0.631631280338238,"S11928","S10038",2972.61629903607,0.858694161559536,62.235855,21.59373,21036.7549695302
"13","S12211.S10038",2080029400,"Axis1","FIN",0.344974865842387,"S12211","S10038",14682.1459867862,0.302071730737374,62.20087,21.745775,21036.7549695302
"14","S12290.S10038",2080029400,"Axis1","FIN",0.283697592589186,"S12290","S10038",11000.6820475146,0.477073243309244,62.208555,21.714495,21036.7549695302
"15","S12298.S10038",2080029400,"Axis1","FIN",-0.136595791314827,"S12298","S10038",6447.16496342194,0.693528542174872,62.23426,21.681925,21036.7549695302
"16","S12306.S10038",2080029400,"Axis1","FIN",0.407417999415735,"S12306","S10038",6349.2125844539,0.69818479163492,62.236705,21.68014,21036.7549695302
"17","S12317.S10038",2080029400,"Axis1","FIN",0.433684748568578,"S12317","S10038",9763.88805926259,0.535865295127282,62.21469,21.70744,21036.7549695302
"18","S11924.S11887",2080029400,"Axis1","FIN",0.0224931762258345,"S11924","S11887",16638.4432593275,0.209077479705083,62.2202,21.650975,21036.7549695302
"19","S11928.S11887",2080029400,"Axis1","FIN",0.89627622708931,"S11928","S11887",3401.0118673183,0.838330014669831,62.246445,21.536785,21036.7549695302
"20","S12211.S11887",2080029400,"Axis1","FIN",-0.0602341893846916,"S12211","S11887",21036.7549695302,0,62.21146,21.68883,21036.7549695302
"21","S12290.S11887",2080029400,"Axis1","FIN",-0.00604345224274368,"S12290","S11887",17358.0061912809,0.174872445088497,62.219145,21.65755,21036.7549695302
"22","S12298.S11887",2080029400,"Axis1","FIN",0.185769309275129,"S12298","S11887",12429.7251362328,0.409142467351256,62.24485,21.62498,21036.7549695302
"23","S12306.S11887",2080029400,"Axis1","FIN",0.146590036324745,"S12306","S11887",12184.3714017513,0.420805565335565,62.247295,21.623195,21036.7549695302
"24","S12317.S11887",2080029400,"Axis1","FIN",-0.0167053120719629,"S12317","S11887",16137.4497393364,0.232892631838418,62.22528,21.650495,21036.7549695302
"25","S11928.S11924",2080029400,"Axis1","FIN",0.239062166027846,"S11928","S11924",13244.4517846872,0.370413744711552,62.214495,21.68132,21036.7549695302
"26","S12211.S11924",2080029400,"Axis1","FIN",0.407075598407431,"S12211","S11924",4398.63840340371,0.790906990656366,62.17951,21.833365,21036.7549695302
"27","S12290.S11924",2080029400,"Axis1","FIN",0.760903360363664,"S12290","S11924",724.056150304235,0.965581376436006,62.187195,21.802085,21036.7549695302
"28","S12298.S11924",2080029400,"Axis1","FIN",0.236545150843837,"S12298","S11924",6124.27178542613,0.708877543409306,62.2129,21.769515,21036.7549695302
"29","S12306.S11924",2080029400,"Axis1","FIN",0.453496751874786,"S12306","S11924",6695.57053484242,0.681720372531774,62.215345,21.76773,21036.7549695302
"30","S12317.S11924",2080029400,"Axis1","FIN",0.333065409090759,"S12317","S11924",1133.42158635643,0.94612184303149,62.19333,21.79503,21036.7549695302
"31","S12211.S11928",2080029400,"Axis1","FIN",0.0504467000899016,"S12211","S11928",17643.0885083803,0.161320815214385,62.205755,21.719175,21036.7549695302
"32","S12290.S11928",2080029400,"Axis1","FIN",-0.0369190187576269,"S12290","S11928",13962.8402735527,0.336264538243822,62.21344,21.687895,21036.7549695302
"33","S12298.S11928",2080029400,"Axis1","FIN",0.162861262224778,"S12298","S11928",9176.88614228774,0.563768929400965,62.239145,21.655325,21036.7549695302
"34","S12306.S11928",2080029400,"Axis1","FIN",0.350616123985079,"S12306","S11928",8985.67351281494,0.572858384012655,62.24159,21.65354,21036.7549695302
"35","S12317.S11928",2080029400,"Axis1","FIN",0.149119776818742,"S12317","S11928",12736.4860672464,0.394560326167511,62.219575,21.68084,21036.7549695302
"36","S12290.S12211",2080029400,"Axis1","FIN",0.619758962595488,"S12290","S12211",3681.61775042231,0.824991175884551,62.178455,21.83994,21036.7549695302
"37","S12298.S12211",2080029400,"Axis1","FIN",-0.227280219925684,"S12298","S12211",9978.31219160183,0.525672462028745,62.20416,21.80737,21036.7549695302
"38","S12306.S12211",2080029400,"Axis1","FIN",0.436905554783495,"S12306","S12211",10510.6056082373,0.500369442746236,62.206605,21.805585,21036.7549695302
"39","S12317.S12211",2080029400,"Axis1","FIN",0.562646810727474,"S12317","S12211",5043.16541035305,0.76026885241295,62.18459,21.832885,21036.7549695302
"40","S12298.S12290",2080029400,"Axis1","FIN",0.222780817668327,"S12298","S12290",6657.09658231407,0.683549264515546,62.211845,21.77609,21036.7549695302
"41","S12306.S12290",2080029400,"Axis1","FIN",0.318812064251052,"S12306","S12290",7221.54966540401,0.656717508196309,62.21429,21.774305,21036.7549695302
