"","AVG_MXL","AVG_LMAT","AVG_AGEMAT","AVG_LONGY","AVG_FECUND","AVG_EGGSIZE","AVG_RGUILD_ORD"
"S10015_2005",5.35586023577378,4.06132872463638,0.563324218715231,2.04190763129202,7.00993508413057,0.602372257165598,"4"
"S10015_2006",5.34562151378111,4.09053693650532,0.621415100398849,2.0315946166775,7.57099399249693,0.328590632897162,"1"
"S10015_2007",5.5197567325913,4.19190729314828,0.694904958136187,2.16516466317081,7.79872096149852,0.332936949767964,"1"
"S10015_2008",5.67687221903045,4.27760932459644,0.706028926286668,2.28419994965755,7.6341108107444,0.56932267112393,"1"
"S10015_2009",5.46472974646554,4.14965773217499,0.682447660659492,2.13189971685056,7.75942626033134,0.283669656128659,"1"
"S10015_2010",5.59610459988424,4.2728589022667,0.726784503237326,2.22289619952907,8.01663299653398,0.336237734700455,"1"
"S10015_2011",5.76701499090391,4.41518077111081,0.792559985360292,2.32901605810712,8.35992731302731,0.371979160967412,"1"
"S10015_2012",5.62919354284761,4.29206625505294,0.711908141915384,2.23609870185698,7.86703690556578,0.464334084022731,"1"
"S10015_2013",5.49885301275602,4.16976398147355,0.670630839528146,2.1509881349092,7.62948867941541,0.398840542849469,"1"
"S10038_2005",5.28212053652626,4.01317408546409,0.558687765098896,1.98702059288092,7.06850253640711,0.487984337036831,"4"
"S10038_2006",5.43337040861637,4.17796061747156,0.723905401721692,2.12838098708048,8.12199875494124,0.227755029081276,"1"
"S10038_2007",5.26664392382701,4.01917011203964,0.599861235247708,1.98204371450655,7.44555472270337,0.27604159800035,"1"
"S10038_2008",5.38261822211396,4.09227634033366,0.642485793425325,2.06884831750984,7.56985108118578,0.307276301040498,"1"
"S10038_2009",5.41339777028902,4.12848375518195,0.672390284431952,2.09120407479039,7.78791398201731,0.235332761979496,"1"
"S10038_2010",5.56338987474078,4.22886032095337,0.714553197230453,2.20319513325072,7.92058353207386,0.33981739428303,"1"
"S10038_2011",5.47131149143237,4.17343335228099,0.693473422313693,2.13174036301486,7.88537551119424,0.250994893722925,"1"
"S10038_2012",5.63400443268662,4.24625519779754,0.659372587486063,2.25218052294499,7.34969144130138,0.692942979778786,"4"
"S10038_2013",5.94931845897803,4.46721736430522,0.753469433396998,2.4715734649237,7.66760189734212,0.866380619435506,"2"
"S10089_2004",4.47291364597894,3.76106812004502,0.147853008792046,1.12022477508356,6.87580885075051,0.127365061250141,"4"
"S10089_2005",4.14408882902555,3.41960915377257,-0.863167282978115,0.957463876122643,5.4415929740847,0.170710962621692,"2"
"S10089_2006",4.41409595402934,3.89194495973689,-0.0145234206865126,0.684652818435995,6.69893259127444,-0.0118893319606337,"1"
"S10089_2007",4.45071409423448,3.89920924051742,0.124345942726071,0.830976044659202,6.87112660671939,-0.00582271248326191,"1"
"S10089_2008",4.4516681634212,3.77865011058513,0.0233829940118015,0.854145283475409,6.80576563695097,0.162498615349286,"1"
"S10089_2009",4.43440557170447,3.76669058457992,0.0184795633274364,0.886747901937064,6.93237936754651,0.213510508545507,"1"
"S10089_2010",4.41050436149234,3.78929532314944,-0.15030430577253,0.731612530263551,6.78689244718568,0.0922733395085983,"1"
"S10089_2011",4.51410147956905,3.78383262566429,0.250609016100757,1.04910138269522,6.87837646448237,0.100793370047284,"4"
"S10089_2012",4.46039732942082,3.76218492231525,0.139712719862383,1.08270665197789,6.70393190289049,0.158935946507269,"4"
"S10089_2013",4.39189755556253,3.67635871839215,-0.102015858939573,1.01787104403781,6.37271427462972,0.221499553721529,"4"
"S10203_2005",5.78902332766034,4.86454983636538,0.633579771240579,2.06757966587053,10.6743158595792,-0.109394715237611,"1"
