"","Axis","Correlation","BasinID1","BasinID2"
"X5080070260.2080017150","Axis1","0.702814355401782","5080070260","2080017150"
"X5080070390.2080017150","Axis1","0.475926406220553","5080070390","2080017150"
"X5080070440.2080017150","Axis1","0.178755901047698","5080070440","2080017150"
"X7080047060.2080017150","Axis1","-0.388679162844457","7080047060","2080017150"
"X7080049270.2080017150","Axis1","-0.0771539694675259","7080049270","2080017150"
"X2080020330.2080020120","Axis1","-0.0710365149754402","2080020330","2080020120"
"X2080020590.2080020120","Axis1","-0.0970744370066527","2080020590","2080020120"
"X2080021030.2080020120","Axis1","0.723924998086089","2080021030","2080020120"
"X2080022150.2080020120","Axis1","0.0416858414846548","2080022150","2080020120"
"X2080023010.2080020120","Axis1","-0.0704960874549829","2080023010","2080020120"
"X2080029400.2080020120","Axis1","-0.0189559441880957","2080029400","2080020120"
"X2080030100.2080020120","Axis1","0.44639961456123","2080030100","2080020120"
"X2080030160.2080020120","Axis1","0.538154432407687","2080030160","2080020120"
"X2080030220.2080020120","Axis1","0.440530638152581","2080030220","2080020120"
"X2080030370.2080020120","Axis1","0.686306370205913","2080030370","2080020120"
"X2080030420.2080020120","Axis1","0.170554390311568","2080030420","2080020120"
"X2080030460.2080020120","Axis1","-0.502505394710615","2080030460","2080020120"
"X2080030560.2080020120","Axis1","0.204109778903904","2080030560","2080020120"
"X2080030610.2080020120","Axis1","0.631254482693892","2080030610","2080020120"
"X2080030630.2080020120","Axis1","0.606838794126503","2080030630","2080020120"
"X2080030660.2080020120","Axis1","0.593752373921856","2080030660","2080020120"
"X2080030710.2080020120","Axis1","0.547631716427171","2080030710","2080020120"
"X2080030760.2080020120","Axis1","0.490761863849581","2080030760","2080020120"
"X2080031060.2080020120","Axis1","0.523194214780928","2080031060","2080020120"
"X2080031740.2080020120","Axis1","0.3261402919708","2080031740","2080020120"
"X2080031750.2080020120","Axis1","0.207988493035635","2080031750","2080020120"
"X2080031960.2080020120","Axis1","0.243110887090703","2080031960","2080020120"
"X2080032230.2080020120","Axis1","-0.270718861621498","2080032230","2080020120"
"X2080032600.2080020120","Axis1","0.198476523730752","2080032600","2080020120"
"X2080032670.2080020120","Axis1","0.354882740931631","2080032670","2080020120"
"X2080032980.2080020120","Axis1","0.582270707529488","2080032980","2080020120"
"X2080033010.2080020120","Axis1","-0.284582494980322","2080033010","2080020120"
"X2080033020.2080020120","Axis1","-0.366483882665737","2080033020","2080020120"
"X2080033080.2080020120","Axis1","-0.616185635965648","2080033080","2080020120"
"X2080033090.2080020120","Axis1","0.139573504196334","2080033090","2080020120"
"X2080033120.2080020120","Axis1","0.169225972787777","2080033120","2080020120"
"X2080033190.2080020120","Axis1","0.28901142943461","2080033190","2080020120"
"X2080033320.2080020120","Axis1","-0.561387360061646","2080033320","2080020120"
"X2080053790.2080020120","Axis1","0.279915645925875","2080053790","2080020120"
"X5080070260.2080020120","Axis1","0.522454581403245","5080070260","2080020120"
"X5080070390.2080020120","Axis1","0.523899214151393","5080070390","2080020120"
"X5080070440.2080020120","Axis1","0.19054280197277","5080070440","2080020120"
"X7080047060.2080020120","Axis1","0.330358371039459","7080047060","2080020120"
"X7080049270.2080020120","Axis1","-0.254921276888775","7080049270","2080020120"
