"","Axis1","Axis2","site","year","HydroBasin","Country"
"S10015_2005",2.103414507613,0.609665951613771,"S10015",2005,"2080029400","FIN"
"S10015_2006",2.13581229494107,0.00335018407371016,"S10015",2006,"2080029400","FIN"
"S10015_2007",1.7683263640725,-0.0859432412531821,"S10015",2007,"2080029400","FIN"
"S10015_2008",1.41701921663134,0.274610311971242,"S10015",2008,"2080029400","FIN"
"S10015_2009",1.88052271789588,-0.119158193521827,"S10015",2009,"2080029400","FIN"
"S10015_2010",1.5533396278946,-0.230642201368814,"S10015",2010,"2080029400","FIN"
"S10015_2011",1.20017917553723,-0.377634110972266,"S10015",2011,"2080029400","FIN"
"S10015_2012",1.49777108243137,-0.00740385829021775,"S10015",2012,"2080029400","FIN"
"S10015_2013",1.80970584464358,0.0761370041634623,"S10015",2013,"2080029400","FIN"
"S10038_2005",2.27929612707397,0.456582168227602,"S10038",2005,"2080029400","FIN"
"S10038_2006",1.96764697561429,-0.479050738720581,"S10038",2006,"2080029400","FIN"
"S10038_2007",2.31274062563213,0.0234047562999249,"S10038",2007,"2080029400","FIN"
"S10038_2008",2.05985935714332,0.001043819579682,"S10038",2008,"2080029400","FIN"
"S10038_2009",1.98378148483091,-0.202474409691305,"S10038",2009,"2080029400","FIN"
"S10038_2010",1.66940262195363,-0.162235419135995,"S10038",2010,"2080029400","FIN"
"S10038_2011",1.85535982062943,-0.238564779470091,"S10038",2011,"2080029400","FIN"
"S10038_2012",1.48929706841923,0.546457449420455,"S10038",2012,"2080029400","FIN"
"S10038_2013",0.817037990771929,0.5823311182558,"S10038",2013,"2080029400","FIN"
"S10089_2004",3.1249755929751,0.467493603169181,"S10089",2004,"7080049270","USA"
"S10089_2005",3.54123683513232,1.31837079758211,"S10089",2005,"7080049270","USA"
"S10089_2006",3.26660321114916,0.182433146263893,"S10089",2006,"7080049270","USA"
"S10089_2007",3.21788404718988,0.123801866073551,"S10089",2007,"7080049270","USA"
"S10089_2008",3.19925471177357,0.311263349147132,"S10089",2008,"7080049270","USA"
"S10089_2009",3.16471942241418,0.226177966487262,"S10089",2009,"7080049270","USA"
"S10089_2010",3.27814559743162,0.191090273161322,"S10089",2010,"7080049270","USA"
"S10089_2011",3.12222833683001,0.38032777236575,"S10089",2011,"7080049270","USA"
"S10089_2012",3.15049926319683,0.582940511603898,"S10089",2012,"7080049270","USA"
"S10089_2013",3.24055030921548,0.805980260276741,"S10089",2013,"7080049270","USA"
